Handle,Max Rating,Result
juancs,1648,No
picramide,1793,No
sTepbysTep723,1648,No
tarun_kishore,1652,No
tushargoyal1,1648,No
yexisu,1648,No
yunipoke,1768,No
zxr123,1748,No
Ieathamcheesebugers,1693,No
QazallMaleki-,1785,No
ab121,1788,No
bruce_x001,1647,No
budu7,1691,No
coding_monk3,1689,No
etian6795,1772,No
heropro,1647,No
jayeshasawa001,1647,No
liujiameng,1647,No
new-wave,1671,No
onetap,1844,No
srikkanthr,2281,Yes
steven_cnyali,1665,N/A
ycccc319,1708,No
2020akadaver,2145,No
3bdo_Farah,1735,No
CYhuang,1727,No
EthanH3514,1646,Yes
I_Love_Dota,1802,No
I_love_IldarKA,1849,No
Its_Joe,1646,No
Menos,1788,Yes
Ryu204,1841,No
Steve_Tu,1670,No
aayush_chhabra,1827,No
jiamengtong,1646,No
nikhil_thogaru,1646,No
notaapoorv,1646,Yes
samhitap,1680,No
ye_to_easy_hai,1648,Yes
zERo_Inf,1646,No
ALeonidou,1645,No
AliRagab313,1645,No
Egormi7,1645,No
Guevara74,1645,No
Looo,1719,No
Maatt,1645,Yes
MarwenElarbi,1645,Yes
Sahil_32,1645,Yes
chakrala_s,1645,No
chrysalis,1645,No
cyrxdzj,1758,No
harshil2004.hj,1684,No
jican000,1645,Yes
kenzo.nobre,1954,N/A
kingsneverdie1411,1678,No
laupm,1645,Yes
ly2003,1747,No
moridoufu,1645,No
pehle_1200_kar_le,1645,No
qdhys,1645,Yes
shivam_360,1645,No
xyxoro,1680,No
E777slam,1652,No
Fighter_sky,1657,No
G01o5R,1644,No
IskhakKutBilim,1685,No
ItsLastDay,2314,No
Jasonwei08,1804,No
Pravin2020,1817,No
SirajUddin,1644,No
Tang__Tang,1644,No
XZQQWQ,1644,No
Zinc-acetate,1674,Yes
laalci_baba,1709,Yes
metelkov,1672,No
momoyao,1771,No
remake2023,1751,No
taras_2_2,1644,No
vibhug507,1865,No
1-96,1681,No
Jason_Jiang,1649,No
ansh,1787,Yes
daoqi,1651,No
hHap,1695,No
hanbro0112,1692,No
ibimschecker,1643,No
jiangzhihui,1686,Yes
jsh00325,1643,No
maraHuaAadmi,1852,No
raktcharita2000,1656,Yes
totally_securite,1645,Yes
yimuhua,1732,No
Agimadeev2026_off,1642,No
BusIgor,1939,N/A
Captainfly,1707,No
E003219,1746,No
Eldar_H1,1642,No
Favel,1642,No
Green_is_best,1684,No
Grieg,2107,N/A
Jungly,1709,No
Lihg,1652,No
MaxDYF,1642,Yes
MirioTogata,1745,Yes
QwQwf,1642,No
T9Sasha,1658,No
anuj_anand,1815,No
gosse,1642,No
hritik426,1738,No
i3ta,1797,No
praneeth6116,1642,Yes
random.cpp,1693,No
rebornndisillusioned,1987,No
ryanright,1734,No
wcqqqqq,1642,No
ycx2010,1692,No
zjaaa,1642,No
4444nomp,1770,No
Abel51,1764,No
D4nnyLee,2038,No
MasterofsnippetS,1784,No
Omegaconstant,1689,No
Play_With_Mino,2012,N/A
bugdone,1811,N/A
chinh2006,1641,No
dzhi,1788,No
jay_patel_101,1641,No
kadamrohan0215,1641,No
killer_2011,1641,Yes
marinkaa,1796,No
ritikjainrj18,1751,No
umang_singla,1707,No
vigilant_coder,1641,No
ztl58553116,1641,No
AhmedM00,1640,Yes
Azaml,1742,No
GRB_080319B,1792,No
I_want,1711,Yes
MayankSavaliya,1640,No
NortGlG-,1684,No
PotatoPower_,1640,No
TrendBattles,1818,No
Valee,1711,N/A
_believe,1689,No
abhilash_8642,1731,No
devil_duck,1780,No
dilwala_21,1666,No
importlogic,1782,No
libantian,1640,No
licer,1640,No
minipaoxiaomo,1640,No
pattagobhii,1640,Yes
shivaram_22,1935,Yes
shreyash_11,1652,No
shubhu11,1640,No
timaktimak,2007,No
zengjun,1640,No
65_67_77,1682,No
Blue_Poison,1900,Yes
Dead_Stone,1639,No
FlyingFeather,1652,No
RohamOmidi,1642,No
Suliman_Awad,1648,N/A
Tehjeeb,1823,No
Vaibhav_Kumar,1804,No
alexkrunker,1724,No
altdegilim,1639,No
assazzin_2,1654,No
bkdn23._N_H_A_T_,1639,Yes
chaitanyad81,1639,Yes
harsha24,1722,No
iuxan,1639,No
psn2706,1752,No
rahulwadhwa157,1639,No
tanakanotarou2,1681,No
trqrizu,1847,No
wendadawen,1683,No
yan_wei_zhe,1871,No
Ahmed_Ghazal,1638,No
Explode,1675,No
F7487,1741,No
ForDiv3Only-DontGoBlue,1638,Yes
Huanmwk,1645,No
KushBansal,1759,Yes
Mag1sk,1820,Yes
Mohammad.Nour,1783,No
Nafis_Ahmed_174,1698,No
Vibhor_Gupta,1689,No
YatinUtreja,1705,No
ayush_malviya,1657,No
cjc__orz,1702,No
eloipages2,1638,No
hbx,1638,No
hung8A,1805,Yes
mouhua,1650,No
sarthak_tirpude,1828,No
sumairu,1680,Yes
uditpd3000,1638,No
xiaofanger,1638,No
yopade9157,1638,No
Abdelaleem-OR-Yousef,1717,No
Abo_alzeek,1637,No
AnCheng,1637,No
