Handle,Max Rating_x,Result,Max Rating_y,Solved Problems,Problem Count
998batrr,3020,Yes,3020,"{(1765, 'K'), (269, 'B'), (1326, 'D1'), (474, 'D'), (439, 'D'), (991, 'D'), (1237, 'C1'), (898, 'E'), (1505, 'B'), (1209, 'C'), (960, 'C'), (493, 'D'), (1105, 'C'), (1765, 'D'), (1299, 'A'), (949, 'A'), (993, 'A'), (722, 'C'), (1305, 'C'), (1043, 'C'), (1112, 'B'), (1093, 'D'), (1338, 'A'), (966, 'A'), (977, 'F'), (1252, 'C'), (935, 'C'), (990, 'C'), (1250, 'L'), (980, 'B'), (1256, 'C'), (1045, 'I'), (1340, 'A'), (1810, 'D'), (276, 'D'), (1344, 'A'), (983, 'A'), (1359, 'C'), (1725, 'G'), (295, 'B'), (429, 'B'), (1329, 'B'), (1033, 'C'), (489, 'D'), (977, 'E'), (1240, 'A'), (1218, 'F'), (980, 'C'), (1320, 'B'), (1423, 'K'), (1868, 'B1'), (923, 'A'), (1250, 'H'), (982, 'C'), (131, 'E'), (1023, 'D'), (1234, 'D'), (1336, 'A'), (1019, 'A'), (923, 'B'), (904, 'C'), (356, 'A'), (949, 'B'), (1349, 'A'), (908, 'C'), (264, 'B'), (976, 'C'), (966, 'B'), (1575, 'J'), (1037, 'D'), (1817, 'A'), (991, 'C'), (962, 'D'), (930, 'A'), (339, 'D'), (1340, 'B'), (938, 'C'), (917, 'B'), (1043, 'D'), (1864, 'D'), (1765, 'N'), (936, 'A'), (930, 'B'), (900, 'C'), (1290, 'A'), (126, 'B'), (118, 'D'), (902, 'C'), (1073, 'D'), (1234, 'C'), (466, 'C'), (1009, 'D'), (1835, 'A'), (932, 'C'), (1209, 'D'), (1804, 'C'), (864, 'C'), (985, 'C'), (1336, 'B'), (1006, 'E'), (1251, 'C'), (407, 'B'), (924, 'B'), (1229, 'A'), (231, 'D'), (1801, 'A'), (892, 'C'), (1781, 'C'), (992, 'B'), (1028, 'C'), (1017, 'C'), (1578, 'H'), (1787, 'C'), (1054, 'C'), (275, 'C'), (246, 'D'), (375, 'B'), (924, 'C'), (913, 'C'), (979, 'C'), (1256, 'D'), (939, 'D'), (1005, 'D'), (986, 'A'), (1032, 'C'), (1012, 'A'), (915, 'C'), (992, 'C'), (960, 'B')}",129
youbot,3001,Yes,2859,"{(1498, 'C'), (1475, 'E'), (1503, 'A'), (1505, 'B'), (737, 'B'), (1503, 'B'), (956, 'C'), (1779, 'C'), (1056, 'B'), (1628, 'B'), (931, 'D'), (1792, 'C'), (1263, 'D'), (1169, 'C'), (687, 'A'), (1753, 'A2'), (4, 'D'), (877, 'B'), (1043, 'C'), (1562, 'D1'), (966, 'A'), (219, 'D'), (1010, 'A'), (1142, 'A'), (1307, 'C'), (1146, 'C'), (1740, 'D'), (1552, 'B'), (1486, 'C1'), (1344, 'A'), (1586, 'C'), (1169, 'B'), (1385, 'D'), (1614, 'C'), (295, 'B'), (1110, 'C'), (1516, 'B'), (859, 'C'), (815, 'A'), (1320, 'B'), (1774, 'D'), (1468, 'D'), (1085, 'D'), (806, 'A'), (1479, 'A'), (931, 'C'), (1514, 'C'), (1569, 'C'), (1516, 'C'), (1487, 'D'), (356, 'A'), (1553, 'D'), (1782, 'C'), (1698, 'D'), (1098, 'A'), (1168, 'A'), (1630, 'A'), (1774, 'B'), (1623, 'C'), (1238, 'C'), (1348, 'C'), (966, 'B'), (176, 'B'), (931, 'E'), (930, 'A'), (1466, 'D'), (1334, 'C'), (1598, 'D'), (1043, 'D'), (1864, 'D'), (1566, 'D2'), (930, 'B'), (1753, 'B'), (1061, 'C'), (1523, 'C'), (1066, 'B'), (1066, 'E'), (1239, 'A'), (737, 'A'), (1194, 'D'), (1835, 'A'), (1487, 'C'), (1141, 'C'), (1779, 'D'), (1539, 'D'), (1472, 'E'), (1792, 'D'), (1770, 'C'), (585, 'B'), (518, 'A'), (1578, 'H'), (773, 'A'), (1492, 'C'), (1056, 'D'), (1256, 'D'), (1580, 'A'), (956, 'B')}",97
ChemicalEquilibrium,2975,Yes,2975,"{(1774, 'D'), (1817, 'A'), (1864, 'D'), (1771, 'C'), (1804, 'C'), (1799, 'C'), (1801, 'A'), (1779, 'C'), (1748, 'C'), (1770, 'C'), (1782, 'C'), (1779, 'D')}",12
FastFreeTask,2927,Yes,2927,"{(1644, 'D'), (1633, 'D'), (575, 'D'), (1753, 'A2'), (1626, 'C'), (1817, 'A'), (1868, 'B1'), (1810, 'D'), (1687, 'A'), (1804, 'C'), (1799, 'C'), (1687, 'B'), (1801, 'A'), (1753, 'B'), (1661, 'C'), (1740, 'D'), (1787, 'C')}",17
xukai,2827,Yes,2821,"{(1810, 'D'), (1835, 'A'), (1804, 'C'), (521, 'A'), (1774, 'B'), (1478, 'C'), (1608, 'C'), (1779, 'D'), (1614, 'C'), (1817, 'A'), (1707, 'A'), (1779, 'C'), (1625, 'C'), (1770, 'C'), (1774, 'D'), (1633, 'D'), (1458, 'A'), (1868, 'B1'), (1695, 'C'), (1753, 'B'), (1753, 'A2'), (1787, 'C'), (1842, 'C'), (453, 'A'), (1738, 'C'), (1782, 'C')}",26
elycx,2880,Yes,2880,"{(1542, 'C'), (1349, 'A'), (1326, 'D1'), (1179, 'A'), (1774, 'B'), (1557, 'C'), (1779, 'D'), (1684, 'D'), (1609, 'D'), (1687, 'A'), (1801, 'A'), (1779, 'C'), (1770, 'C'), (1774, 'D'), (1542, 'B'), (1864, 'D'), (1687, 'B'), (1842, 'C'), (1693, 'B')}",19
_Diu_,2703,Yes,2703,"{(1503, 'A'), (1735, 'D'), (1795, 'C'), (1630, 'A'), (1608, 'C'), (1775, 'C'), (1632, 'C'), (1711, 'C'), (1614, 'C'), (1561, 'D1'), (1795, 'D'), (1687, 'A'), (1503, 'B'), (1799, 'C'), (1801, 'A'), (1628, 'B'), (1688, 'D'), (1868, 'B1'), (1864, 'D'), (1299, 'A'), (1688, 'C'), (1631, 'C'), (1787, 'C'), (1626, 'C'), (1776, 'F'), (1710, 'A'), (1603, 'B'), (1516, 'C'), (1776, 'L')}",29
PEIMUDA,2665,Yes,2665,"{(1698, 'D'), (1765, 'K'), (817, 'B'), (676, 'B'), (1203, 'D1'), (31, 'B'), (1141, 'D'), (260, 'B'), (1676, 'H2'), (265, 'D'), (237, 'C'), (55, 'B'), (1542, 'C'), (1630, 'A'), (689, 'B'), (371, 'C'), (1077, 'D'), (600, 'A'), (88, 'B'), (813, 'C'), (702, 'B'), (1196, 'C'), (559, 'B'), (1817, 'A'), (1684, 'D'), (244, 'B'), (103, 'B'), (977, 'E'), (1550, 'C'), (114, 'B'), (1543, 'D1'), (1700, 'C'), (817, 'C'), (1770, 'C'), (1673, 'C'), (29, 'C'), (510, 'B'), (1633, 'D'), (1542, 'B'), (1765, 'D'), (139, 'C'), (1864, 'D'), (1765, 'N'), (1732, 'D1'), (598, 'D'), (854, 'C'), (1631, 'C'), (250, 'B'), (329, 'B'), (253, 'C'), (460, 'C'), (702, 'C'), (35, 'C'), (523, 'D'), (1776, 'F'), (1095, 'D'), (1842, 'C'), (601, 'A'), (1738, 'C'), (1551, 'C'), (1776, 'L')}",61
namelessgugugu,2562,Yes,2562,"{(1476, 'C'), (1469, 'D'), (1486, 'C1'), (1292, 'B'), (1487, 'C'), (1537, 'E1'), (1554, 'B'), (1478, 'C'), (1530, 'D'), (1422, 'C'), (1621, 'B'), (1578, 'H'), (1538, 'D'), (1342, 'C'), (1672, 'D'), (1476, 'D'), (1555, 'D'), (1526, 'C2'), (1527, 'C'), (1487, 'D'), (1486, 'B')}",21
do_while_true,2560,Yes,2560,"{(1765, 'K'), (1498, 'C'), (1475, 'E'), (1292, 'B'), (1735, 'D'), (1445, 'C'), (1350, 'C'), (1677, 'B'), (1405, 'C'), (1365, 'D'), (1543, 'D1'), (1418, 'C'), (1407, 'C'), (1473, 'C'), (533, 'C'), (1739, 'C'), (1422, 'C'), (1765, 'D'), (1416, 'A'), (1753, 'A2'), (1722, 'E'), (1476, 'D'), (1444, 'A'), (697, 'D'), (1261, 'A'), (1404, 'A'), (1603, 'B'), (1397, 'C'), (1486, 'B'), (161, 'B'), (1486, 'C1'), (1340, 'A'), (1344, 'A'), (1586, 'C'), (1775, 'C'), (1385, 'D'), (1451, 'D'), (429, 'B'), (1363, 'C'), (1462, 'E2'), (1690, 'E'), (1455, 'D'), (1799, 'C'), (243, 'A'), (1399, 'D'), (1397, 'B'), (1413, 'D'), (1325, 'C'), (1352, 'F'), (1695, 'C'), (1268, 'A'), (1353, 'D'), (1430, 'D'), (1381, 'A2'), (1408, 'C'), (1336, 'A'), (1295, 'B'), (1516, 'C'), (49, 'B'), (1738, 'C'), (1553, 'D'), (1440, 'C1'), (1693, 'B'), (1698, 'D'), (1476, 'C'), (1392, 'D'), (1349, 'A'), (1352, 'E'), (1342, 'C'), (1179, 'A'), (1689, 'C'), (1348, 'C'), (1343, 'D'), (1409, 'D'), (1817, 'A'), (1519, 'D'), (1687, 'A'), (1419, 'D2'), (1261, 'B1'), (1396, 'A'), (1466, 'D'), (1334, 'C'), (1722, 'G'), (1400, 'C'), (1598, 'D'), (1389, 'C'), (1321, 'C'), (1426, 'D'), (1864, 'D'), (1765, 'N'), (1528, 'A'), (1753, 'B'), (1373, 'D'), (1327, 'C'), (1417, 'C'), (1290, 'A'), (1526, 'C2'), (1842, 'C'), (1677, 'A'), (1335, 'E1'), (1646, 'C'), (1364, 'C'), (1419, 'C'), (958, 'F1'), (1506, 'E'), (1730, 'B'), (1806, 'C'), (1400, 'B'), (1389, 'B'), (1439, 'A1'), (1462, 'E1'), (1436, 'C'), (1594, 'D'), (1707, 'A'), (1801, 'A'), (1435, 'D'), (239, 'B'), (1437, 'D'), (1687, 'B'), (1352, 'G'), (1481, 'C'), (1492, 'C'), (1452, 'D'), (1296, 'C'), (1526, 'C1'), (1012, 'A'), (1528, 'B')}",127
