Handle,Max Rating,Result
jbc392,2104,No
zhouzizhe,2205,No
Alan_dong,2047,No
jsssk,2179,No
piyushsharma_3061,2047,No
satyabrat693,2146,No
the_hyp0cr1t3,2151,No
31ballons,2080,N/A
Arnob,2151,No
RingedGenesis,2046,Yes
arpeggio,2074,No
hata_saa,2109,No
lck_AC,2046,No
misteg168,2116,Yes
oval_m,2133,No
pacha2880,2185,Yes
Heibor,2121,No
TheRubbish,2123,No
The_Hallak,2235,No
jamil314,2045,No
kanpurin,2045,N/A
komite,2124,No
optimize_2,2045,No
programpiggy,2084,No
blackscreen1,2074,No
ekatsim,2130,No
rajchd_11,2074,No
A_Pikachu,2043,Yes
FanYongchen,2043,Yes
Gold14526,2048,No
Jarif_Rahman,2261,No
Selnev,2043,No
Wandoka,2173,No
kyoran,2187,No
1075508020060209tc,2160,Yes
Sanat,2042,No
guperman,2310,No
shade34,2186,No
US3RN4M3,2308,No
WRKRW,2120,No
donbasta,2163,Yes
nanoblob,2127,No
swift51385,2066,No
BinhHDzz,2139,N/A
nandonathaniel,2043,N/A
Muelsyse_sep002,2039,No
follow_diana_please,2175,No
jimini23kjm,2054,No
s20b1_chernikov,2294,N/A
HonestMagician,2037,Yes
ODD-EYES,2037,Yes
Ridonkulous,2037,No
SpadeA261,2136,No
heeew,2037,No
BabaVoss,2138,No
genf,2077,No
ishmeal,2036,No
nch1ck,2036,No
-Complex_,2035,No
Capps,2125,No
Corycle,2204,N/A
DAYBREAK_FRONTLINE,2035,No
Niiiiiiiiiiiiiiiiiiii,2091,No
PoiFakeRe,2121,N/A
RamanujGoel,2082,No
abotaha23,2035,No
bit-noob,2110,N/A
medmdg_MOI,2054,No
AceIn,2244,No
JavaInTheSouth,2168,N/A
JoseSoto,2036,N/A
yiwangchensha,2072,Yes
Fugitive,2139,N/A
JustasZ,2380,N/A
Scut22,2138,N/A
Timonnable,2269,No
Eternatis,2032,No
LLL_2820,2156,N/A
SMIrrichto,2032,No
ScarletS,2197,No
cool_milo,2103,No
erankyun,2232,No
wythend,2240,No
Fermat,2237,No
Sqrtyz,2031,N/A
pzzkr,2066,No
sputn1k,2048,No
Issa,2115,Yes
llloserqz,2113,No
milind0110,2155,No
E-ray,2187,No
ExplodingFreeze,2301,No
IgorAkhmetov,2375,N/A
TreniiiRiii,2146,N/A
petamingks,2108,No
xuyufeiya,2153,No
Kolychestiy,2099,No
Loserinlife,2028,No
RNS_KWG,2028,No
adamsoltan,2180,No
georgievskiy,2183,N/A
mafailure,2207,No
XGN,2027,N/A
cSERAFIMc,2027,No
lizh1,2164,Yes
marc2825,2027,Yes
nahP_irT,2083,No
Galetx,2068,No
Mazaalai,2090,N/A
jbg05,2026,No
mcclane57,2026,No
trivialkid,2066,No
AD620,2036,No
Chelovek9,2025,Yes
Homura_jar,2025,No
qlwpc,2025,N/A
CIXTEEN,2229,No
abhayg_07,2024,No
mishanya_stulov,2209,No
Alexander_0918,2023,No
Beevo,2113,No
prairie2022,2115,Yes
thomaswmy,2023,No
yenuj,2153,N/A
876pol,2157,No
Nahian9696,2022,Yes
VLamarca,2404,No
_skb_,2097,No
sizihan,2120,No
FudNyh,2056,No
KiFaH_HeLaL,2021,No
MateiKing80,2040,No
SarahLynn,2108,Yes
_Mister_Doctor,2021,No
elteammate,2097,N/A
m.cpp,2109,No
MarcosPauloEvers,2112,No
SinhaSatwik,2020,No
kuzma,2223,Yes
GoFullRetard,2019,Yes
Liang_Yusong,2019,No
magnuseifr,2070,No
March_7th,2136,No
Pablo-No,2018,No
lvle,2019,No
martinius,2018,Yes
Ankit_332,2017,No
Gzhibovsciy_Arseniy,2056,No
Loctildore,2017,No
El.LeBron,2016,No
I_believe_I_can_fly,2043,No
J_Jonah_Jameson,2090,No
