Handle,Max Rating,Result
TrendBattleswillwinioi,1951,No
fingerdash,1975,No
hasname,1967,No
kookeudas,1985,Yes
sia1024,2059,No
016-Mansur-M-26,2013,Yes
CedeaT0,2005,No
CodingCat,1950,No
YES_wc,2074,No
kova1,2055,No
q_x_j,2027,No
sunsh1ne,1950,No
zuno,2107,No
BRUHHHHHHH,1949,No
Jryno1,1949,No
T3T____,2047,No
Vanthoci,1963,No
crpQwQ,1949,No
fricai,1949,No
hulm,1952,No
sk091204,1994,No
stan23456,2069,No
zp7CFbot1,1949,No
Faitan,1953,Yes
Kruthic,1986,No
arash.,1983,No
skhan_org,2016,No
sss,2009,No
volodya_petarda,1989,No
wyhong3103,1948,No
jpetrovcic,2219,No
Arsa,2050,No
Beautiful_Times,1946,No
Coffee_zzz,2000,No
DAleksa,2069,No
FIorian,2047,No
bedrockfake,2192,No
regain0002,1992,Yes
yinhee,1996,No
yowai,2079,No
Hanghang007,2253,No
Imenkey,2128,No
Newtech66,2157,No
NourElleithy,1945,No
Omar_Mohammad,1998,Yes
gakshat468,1952,Yes
huyhau6a2,1945,No
mihneacazan,1945,No
newbiepupilspecialist,1945,No
ytb2024,1945,No
GusFring,2051,No
H-R-2004,1944,Yes
OMG_cyb,1944,No
Xun_Xiaoyao,1944,Yes
abuka_benka,1986,No
kakel_san,2068,No
xhy,2016,No
DeD_TihoN,2252,No
dlwocks31,2243,N/A
otoshigo,2174,No
tryptophan,2103,N/A
AshrafSustS19,1942,No
amir7777,1986,Yes
donny1234,1956,No
y_combinator,1942,Yes
BasicTH,2010,No
Riqirez,2137,N/A
Schi2oid,2119,No
Shirotsume,2137,No
Vancezyx,1941,No
iam_czx,1941,No
ppps,2057,No
ORzyzRO,1985,No
Rinors,2014,No
canonica1,1984,Yes
dmlocdmloc,2085,N/A
iNNNo,1940,No
purinliang,2289,No
Kalyano,1944,Yes
OptimalKnight,1948,No
WritingEve,2047,No
curly_braces,2172,No
itz_archit,2064,Yes
lwchen,1939,No
qdryx,2063,No
shubhamgrg1000,1957,Yes
Snafa,2043,No
andrei6184,2030,No
crimson000,1938,No
fresh_boy,1938,No
still_me,1938,No
42kangaroo,1995,No
Cai_Guang,1937,No
Handsome2004,2252,N/A
Lazy.JPG,2040,No
amirhozaifa,1937,No
carryup,2065,No
qfl_zzz,1996,No
qq11123334,1968,Yes
rflash,2000,No
sergejgraf,1994,N/A
ExRoc__,2041,N/A
Mateo,2048,No
Sort,1936,No
ace-in-the-hole,2175,No
cqbztl,1936,No
page_fault,2068,N/A
robostac,2081,No
shiyihangxs,1953,Yes
FlyBell,1935,N/A
IMRUN,2105,No
Piokemon,1974,No
chocolate-milk,2001,No
people_plus_plus,1942,Yes
psychobot,2087,No
shikharshreyansh7891,1935,No
the_cow,2011,No
veleboks,1935,No
y200,2003,No
dimash1,1979,No
rubbishZ,1934,Yes
wangjunchao,1960,No
Floating_Duck,1933,No
HEXU234,2021,N/A
NotaKoala,2046,No
kigash,1936,No
kird,1933,No
martins,2239,N/A
sinsop90,1933,No
vikram108,1975,Yes
NatInTheHat,2003,No
Rising-coder,1932,No
odneitiwta,2096,N/A
Dremix10,2266,Yes
Mindeveloped,1971,No
Muelsyse_,1931,No
Peanut.Tang,2020,N/A
Ststone,2050,No
carnation13,2010,No
hcng,1981,No
lfw,2166,N/A
mal37,1983,No
pera2008,1935,No
solver11,1993,N/A
xxcdsgyes,1931,No
Georgiy1108,1930,No
Moomins,1930,No
Probka,1942,No
RNS_YHB,1995,No
Ste,1930,No
daduoli,1930,No
deptrai2k7,2022,No
flysnow,1930,Yes
gmr,1930,No
greenhand.n,1968,No
Cardiloig,1942,No
Go8,2003,No
MuhammadHassan,1969,No
Romy67,2062,Yes
bobbilyking,2239,No
haoren258,2018,Yes
hcywoi,1929,No
OMG_78,1930,No
TLEtoAC2001,1928,No
epb4,1928,No
fclvbfm934,1928,Yes
weakweakweak,1947,No
AAK,2046,Yes
Zain,2247,N/A
adepteXiao,2154,No
aytony,1927,No
kpS128,1974,No
mcbanana,1927,No
rolandpetrean,2000,No
sksusha8853,2080,No
southcaribou,1927,N/A
sumon123,2044,No
Hackerman278,1956,Yes
Leo_0503,1944,Yes
PMPuns,1926,No
Tyx2019,1964,No
UIT.NguyenThaiSon,1926,No
_gladiator_,1926,No
nohandle_5,1982,No
wwlw,1957,N/A
FHQY,1925,No
Mamalesh,1925,No
Mohamed308,1994,No
Nijoin_Hazuki,2011,No
fanfly,2122,N/A
gauss2718281,1925,Yes
richard_bachman,1985,No
yzyejh,1925,No
BoaHancock,1978,Yes
Etavitsea,1924,No
FBI,1953,No
Hagry,1974,Yes
Lazy1_,1924,No
Sorin1932,2076,Yes
coder_supreme,1924,Yes
kumakumaaaaa,2023,N/A
tongzhenxuan,1924,No
xx_mmc,1937,No
1L1YA,2029,No
DarLam,2225,N/A
HugeHobbit,1923,No
dmraykhan,1988,No
ezdp,1923,No
flowwolf,2021,N/A
kulmak41,2167,Yes
luna-,1954,No
syk070531,1923,No
LiZnB_love_ZX,2077,No
MYFJCHX,1937,No
Mohammad.gholamzade,1993,No
Mr..Bot,1964,No
ShayanSh,1938,No
TravellingSalesman,2080,No
fexla,2050,No
mymelochan,1922,No
wukaichen888,1922,No
Autreekt,1921,No
ButanlishiHuanwoAC,1981,No
kasper.incognito,2005,No
ocortez,2005,No
xyloph0nex17,1921,No
DarkSide69,1920,No
Lol2004,2095,Yes
TMM233,1981,No
lintd,2146,N/A
sulvshuo,1920,N/A
ANASASASASAS-KHAN,1919,No
JustInCase,2158,No
another_alwcod_nn,1919,No
diordhd,1927,N/A
maqi_maqi,2009,No
the__phoenix,1975,No
you_xiao,1942,No
Illumina,1918,Yes
MinaRagy06,1958,No
ankushgarg_04,1978,No
callmepandey,1918,Yes
dulatcodes,2011,No
k_balint,1918,No
trappist-1d,1918,No
Harsha221B,2023,No
Mbfibat,2243,No
ZiadEl-Gafy,1938,No
_IVON_,1917,No
diobrando97,1920,No
dsakhdkas,2050,N/A
mhtkrag,1935,Yes
perchuts,2197,No
yangbo01,1917,No
AliiSh,1992,No
Bombylius,1984,N/A
SHEXINYI,1916,No
Young,1935,Yes
bkd,1916,No
tranxuantruong,1978,No
Deconstructor,1915,No
Mifort,1915,Yes
Nummer_64,1945,No
Saquariu,2048,No
hanifchdn,1915,No
horrlod,1915,No
onehow,1982,No
sorry_pikachu,1915,No
541forever,1945,No
Astolfoo,2057,No
FranSkarica,2015,No
Hanari,1914,No
Mohamed_Reda,1930,No
Prince_Daemon,1914,No
Tester2002,1969,No
alecs,2102,No
babo_is_me,1914,N/A
ccy,1962,No
dhlee1031,1914,N/A
hungcubuso2vn,1914,Yes
iyang,1914,No
Leo_W,2051,No
Petroleumus,1913,No
hariaakash646,1996,No
jskhirtladze,2139,N/A
maghrabyJr_,2068,N/A
yingxiewu,1913,No
2007rating,1912,No
ECNU_ZhouBin,1912,No
Moolamp,1934,No
N1KlTA,2055,No
cp_first,1970,No
Diana773,1946,No
Re_Maple,1911,No
alllifealone,1911,Yes
anhnguyen,1979,Yes
Big_Soul,1910,N/A
Mohamed_Tamer169,1987,No
flamestorm,2059,No
indestinee,1970,N/A
litchi_juice69,1910,Yes
misha_sh,1987,N/A
skyhgzsh,1973,Yes
y_kx_b,1941,No
KingPowers,1909,No
Pa_sha,1965,No
Surver,1968,No
Ush1su,2017,No
_whb,1909,No
captain_tiny_rubbish,2026,No
tch1cherin,2210,Yes
Ice_Lyric,1932,No
Tatsuyaaaa,2186,N/A
Vermeil,2026,No
XqAiyee,1908,No
kes0716,1908,No
21cs01033,1955,No
LCJLY,1986,Yes
MORBIUS,1990,No
ParsaF,1983,Yes
kratos56,1907,No
tassei903,2147,No
zhouxiaoyi,2022,No
zwp1234,1907,Yes
CodingJellyfish,2085,No
ShirayukiNoa,1906,No
Survivor_loser,1906,No
loilon504,2073,N/A
WTR2007,1905,No
joaozao,1905,No
marcOS,2295,N/A
winSeven_MrBB,2047,No
Lankin,1977,N/A
Yhs_Joker_06,1904,No
_helloLad,1957,No
kennyzzhang,2191,N/A
qijiYDC,1933,No
AmICute,1903,No
Coder-Osman,2011,Yes
PurpleHanHan,1903,N/A
Rosmontispes,1949,Yes
line,1919,No
red0116,1923,No
s-lissov,2071,N/A
xX_I_Have_Esbat_Xx,1951,Yes
zezoo050,1991,Yes
Mathematician2000,2084,No
bkdn23.khoipd,1961,No
gopikrishna000,1902,No
hqmm,1902,No
huikang,2235,N/A
ottoqwq,1948,Yes
sesson,1905,No
Ashlyn,1901,No
CaveNightingale,1979,Yes
CyberCow,1958,No
Lambent_Light,1901,No
YuvrajSharma,2094,No
jueeng,1901,No
pandey.,1901,No
BudiArb,2130,N/A
Little_Fighoh,1900,No
Madboly,2152,No
Tony1234,1983,Yes
VegeDog,1900,No
egret,1900,Yes
follower0523,1929,Yes
usernameson,1983,N/A
GSH_gsh,1899,No
MrPizza,1899,No
crxt,1918,No
koooooooooooooooo,2185,No
selmon_bhoi,1907,No
2w51y318c,1898,No
Daveeed,2053,No
DestinyPlays,1898,No
DiscreteStep,1898,No
Misha100896,2176,No
RMA-NB,2116,No
UhahaUhaha,1898,No
ilia13122008,2102,No
lostintianyi,1943,No
xprt_1,1898,No
D_Z_W,1897,Yes
Rowlet1,1897,No
SatonoDiamond,1914,N/A
_Frust,1900,No
dusty.and.rusty,2141,N/A
nogondess,2080,No
sgsonugoyalsg,1897,Yes
stefanbalaz2,2374,N/A
Edu175,2018,Yes
Evocation,2045,N/A
Pyroblast,1965,No
SmilingBraniac,1896,Yes
Toilet_Ares,2166,No
pengin_2000,2150,N/A
rushitote,1983,Yes
sha7dow,2032,Yes
shiro53,1964,No
JvJv,2073,Yes
Pan_H,1895,No
Shuai_01,1895,No
Untrii,1967,No
WeakMouse,2019,No
AbduSaber,1894,No
LLLinkZelda,1894,No
Nuris,2035,Yes
geospiza,2257,Yes
jh01533,1985,No
luoxiaohei,1996,No
mfeitveer,1894,No
my_name_is_handsome,1996,No
paradigm_shift,1897,No
rabbitsthecat,2211,Yes
xsap,1930,No
Jamshed11,2106,No
KTR,2207,N/A
QZJ114514,1957,No
silly_pig,1893,Yes
Hasib_16,1974,No
QHJ123456,2063,Yes
X_Lin,1892,No
ayush_raj.21,1985,Yes
ctsrt,1892,No
tzy_tmy,1892,No
Gaurav_Dawra,1986,No
Mar1gold,1939,No
MarcosMTR,1961,No
Mikunyan,1891,No
Wenoide,2343,N/A
reilu,1979,No
Cabbage03,1978,No
GreatDevResh,1953,No
Huseyn123,1898,Yes
SUL,1898,No
Wooly18,1924,No
heaksicn,2035,No
vbnaddudsj75,1934,N/A
SalihSahin,1988,Yes
Zadymiarz1234,1888,No
ezraft,2073,Yes
sunrise10032,1888,No
yellowtoad,2075,No
Shirost,2014,No
StarSilk_little_fan_girl,2004,No
crzy,1887,Yes
hhoangcp,1988,No
janY_,1971,Yes
qwerty190,2047,No
spider_murphy,1907,No
tilenn,1887,No
yoka255,1980,No
Hihihah,1886,No
anangoprabhat,1886,No
naf-fly,2067,No
Adp_D,1885,No
Ignut,1996,No
Nicolas125841,1950,No
alien_lover,1966,No
andrey.m,2034,N/A
eriFseR,1952,No
kachhuaa,1949,No
qmr_wa,1922,No
-.--.--.--.--.-,1962,No
GrimTreaper,1884,No
chickensqaure,1939,Yes
coderdhanraj,1884,No
dark__moon,1950,No
dumb_girl,1884,No
qianchen01,1885,No
Iceberg,1916,No
NooB_VansH,1894,Yes
ayhan23,2025,No
damirsit,1883,No
fahimcp495,2102,No
shadowYYH,1948,No
HitoriBocchi,1882,No
Liberty_gsm,1915,No
Tomx,2072,N/A
__AB__,1922,No
airths,2078,No
EJOI_Gold,2051,Yes
OrleanMagic,1881,No
_YXJS_,1942,No
cc4414,2108,No
h4d1,1921,No
killer_god,2253,N/A
kimiyowaimo,1881,No
-Fainted-,1880,No
Ahmed_Salah7,2102,No
Ihasyou,1880,No
Jumpman,1880,No
TamimEhsan,1995,No
Thanhs,1897,No
haciiii,1880,No
kartik_orz,1977,No
maxFedorchuk,1880,No
EN_SA,1985,Yes
Shui_Dream,1908,No
