Problem,Contest,Index,Tags,solvedCount
Zero Array,1201,B,"greedy, math",16624
Welfare State,1198,B,"binary search, brute force, data structures, sortings",8853
MP3,1198,A,"sortings, two pointers",8456
RGB Substring (hard version),1196,D2,"data structures, dp, implementation, two pointers",8954
RGB Substring (easy version),1196,D1,implementation,9885
Robot Breakout,1196,C,implementation,8838
Submarine in the Rybinsk Sea (easy edition),1195,D1,"combinatorics, math, number theory",7514
1-2-K Game,1194,D,"games, math",5992
Add on a Tree,1188,A1,trees,7938
Vus the Cossack and Numbers,1186,D,"constructive algorithms, greedy, math",8525
Extra Element,1185,D,"implementation, math",6278
Exam in BerSU (hard version),1185,C2,"brute force, data structures, greedy, math",6993
Parallel Universes (Easy),1184,D1,implementation,2424
Heidi and the Turing Test (Easy),1184,C1,implementation,2183
Beautiful Lyrics,1182,C,"data structures, greedy, strings",4338
Split a Number,1181,B,"greedy, implementation, strings",6063
Nick and Array,1180,B,"greedy, implementation",9102
Valeriy and Deque,1179,A,"data structures, implementation",9646
Prime Graph,1178,D,"constructive algorithms, greedy, math, number theory",6930
Cover it!,1176,E,"dfs and similar, dsu, graphs, shortest paths, trees",9702
Electrification,1175,C,"binary search, brute force, greedy",6458
Catch Overflow!,1175,B,"data structures, expression parsing, implementation",9603
Pairs,1169,B,"graphs, implementation",8842
Increasing by Modulo,1168,A,"binary search, greedy",6034
Bicolored RBS,1167,D,"constructive algorithms, greedy",6543
A Tale of Two Lands,1166,C,"binary search, sortings, two pointers",8330
Two Arrays and Sum of Functions,1165,E,"greedy, math, sortings",7353
Almost All Divisors,1165,D,"math, number theory",13859
Cat Party (Hard Edition),1163,B2,"data structures, implementation",6317
Cat Party (Easy Edition),1163,B1,"data structures, implementation",6347
The Party and Sweets,1158,A,"binary search, constructive algorithms, greedy, implementation, math, sortings, two pointers",6434
Minimum Array,1157,E,"binary search, data structures, greedy",7449
Increasing Subsequence (hard version),1157,C2,greedy,7139
Walking Robot,1154,D,greedy,9115
Serval and Parenthesis Sequence,1153,C,"greedy, strings",6776
Stas and the Queue at the Buffet,1151,D,"greedy, math, sortings",7660
Dima and a Bad XOR,1151,B,"bitmasks, brute force, constructive algorithms, dp",9883
Crazy Diamond,1148,C,"constructive algorithms, sortings",4888
Born This Way,1148,B,"binary search, brute force, two pointers",6959
Hide and Seek,1147,A,graphs,4695
Tree Diameter,1146,C,"bitmasks, graphs, interactive",3293
Graph Without Long Directed Paths,1144,F,"dfs and similar, graphs",9653
The Beatles,1142,A,"brute force, math",3187
Superhero Battle,1141,E,math,6061
Colored Boots,1141,D,"greedy, implementation",7823
Polycarp Restores Permutation,1141,C,math,10936
Playlist,1140,C,"brute force, data structures, sortings",8493
Edgy Trees,1139,C,"dfs and similar, dsu, graphs, math, trees",11058
Camp Schedule,1137,B,"greedy, hashing, strings",5199
Skyscrapers,1137,A,"implementation, sortings",4087
Nastya Is Transposing Matrices,1136,C,"constructive algorithms, sortings",7300
Spanning Tree with Maximum Degree,1133,F1,graphs,6757
Zero Quantity Maximization,1133,D,"hashing, math, number theory",9960
Painting the Fence,1132,C,brute force,5051
Asya And Kittens,1131,F,"constructive algorithms, dsu",5935
Toy Train (Simplified),1129,A1,"brute force, greedy",3717
System Testing,1121,C,implementation,1903
Ramesses and Corner Inversion,1119,C,"constructive algorithms, greedy, implementation, math",6464
Yet Another Ball Problem,1118,E,"constructive algorithms, implementation",3757
Coffee and Coursework (Hard Version),1118,D2,"binary search, greedy",5637
Coffee and Coursework (Easy version),1118,D1,"brute force, greedy",5111
Palindromic Matrix,1118,C,"constructive algorithms, implementation",5316
Block unitary,1115,U3,*special,194
Chessboard unitary,1115,U2,*special,226
Anti-diagonal unitary,1115,U1,*special,247
Palindrome checker oracle,1115,G3,*special,224
OR oracle,1115,G2,*special,304
Trailing Loves (or L'oeufs?),1114,C,"brute force, implementation, math, number theory",7049
Yet Another Array Partitioning Task,1114,B,"constructive algorithms, greedy, sortings",8724
Creative Snap,1111,C,"binary search, brute force, divide and conquer, math",5959
Average Superhero Gang Power ,1111,B,"brute force, implementation, math",5827
Meaningless Operations,1110,C,"constructive algorithms, math, number theory",8624
Sasha and a Bit of Relax,1109,A,"dp, implementation",7981
Lunar New Year and a Wander,1106,D,"data structures, dfs and similar, graphs, greedy, shortest paths",13018
Lunar New Year and Food Ordering,1106,B,"data structures, implementation",6615
Ayoub and Lost Array,1105,C,"combinatorics, dp, math",9798
Monotonic Renumeration,1102,E,"combinatorics, sortings",5293
Balanced Ternary String,1102,D,"greedy, strings",7606
Polycarp's New Job,1101,E,implementation,7590
Division and Union,1101,C,sortings,7271
Sum in the tree,1098,A,"constructive algorithms, dfs and similar, greedy, trees",8096
Polygon for the Angle,1096,C,"brute force, geometry",6192
Circular Dance,1095,D,implementation,6772
Beautiful Graph,1093,D,"dfs and similar, graphs",7732
Prefixes and Suffixes,1092,C,strings,5268
New Year and the Permutation Concatenation,1091,D,"combinatorics, dp, math",6372
Guest Student,1089,G,math,2770
Easy Chess,1089,E,constructive algorithms,1899
Minimum Diameter Tree,1085,D,"constructive algorithms, implementation, trees",5186
Connect Three,1085,C,"implementation, math",5315
The Fair Nut and String,1084,C,"combinatorics, dp, implementation",7184
Multi-Subject Competition,1082,C,"greedy, sortings",5405
Vova and Trophies,1082,B,greedy,7289
Colorful Bricks,1081,C,"combinatorics, dp, math",6733
Farewell Party,1081,B,"constructive algorithms, implementation",4296
Masha and two friends,1080,C,implementation,3944
Cutting Out,1077,D,"binary search, sortings",7763
Berland Fair,1073,D,"binary search, brute force, data structures, greedy",6163
BerOS File Suggestion,1070,H,"brute force, implementation",3529
Debate,1070,F,greedy,3515
Colored Rooks,1068,C,"constructive algorithms, graphs",3053
Binary Numbers AND Sum,1066,E,"data structures, implementation, math",5775
Heaters,1066,B,"greedy, two pointers",7791
Make It Equal,1065,C,greedy,7333
Banh-mi,1062,C,"greedy, implementation, math",5233
Math,1062,B,"greedy, math, number theory",8043
Multiplicity,1061,C,"data structures, dp, implementation, math, number theory",7787
Maximum Subrectangle,1060,C,"binary search, implementation, two pointers",4710
Sequence Transformation,1059,C,"constructive algorithms, math",6813
Decorate Apple Tree,1056,D,"constructive algorithms, dfs and similar, dp, graphs, greedy, sortings, trees",5386
Pick Heroes,1056,C,"greedy, implementation, interactive, sortings",2248
Divide Candies,1056,B,"math, number theory",3968
Candies Distribution,1054,C,"constructive algorithms, implementation",4167
Bicolorings,1051,D,"bitmasks, dp",6763
Vasya and Multisets,1051,C,"brute force, dp, greedy, implementation, math",8920
Palindrome Pairs,1045,I,"hashing, strings",3683
The Tower is Going Home,1044,A,"binary search, two pointers",2796
Mysterious Crime,1043,D,"brute force, combinatorics, math, meet-in-the-middle, two pointers",4294
Smallest Word,1043,C,"constructive algorithms, greedy, implementation",6600
Array Product,1042,C,"constructive algorithms, greedy, math",4542
Glider,1041,D,"binary search, data structures, two pointers",5599
Coffee Break,1041,C,"binary search, data structures, greedy, two pointers",9002
Valid BFS?,1037,D,"dfs and similar, graphs, shortest paths, trees",12896
Vasya and Arrays,1036,D,"greedy, two pointers",8601
Diagonal Walking v.2,1036,B,math,5529
Permutation Game,1033,C,"brute force, dp, games",5190
Playing Piano,1032,C,"constructive algorithms, dp",3769
Cram Time,1031,C,greedy,5055
Curiosity Has No Limits,1031,B,,3856
Maximal Intersection,1029,C,"greedy, math, sortings",6847
Rectangles,1028,C,"geometry, implementation, sortings",4230
Mouse Hunt,1027,D,"dfs and similar, graphs",6667
Minimum Value Rectangle,1027,C,greedy,6504
Plasticine zebra,1025,C,"constructive algorithms, implementation",5802
Weakened Common Divisor,1025,B,"brute force, greedy, number theory",7497
Array Restoration,1023,D,"constructive algorithms, data structures",3876
Elections,1019,A,"brute force, greedy",4444
The Phone Number,1017,C,"constructive algorithms, greedy",5772
Stars Drawing (Easy Edition),1015,E1,"brute force, dp, greedy",5124
Walking Between Houses,1015,D,"constructive algorithms, greedy",7545
Photo of The Sky,1012,A,"brute force, implementation, math, sortings",6060
Fly,1010,A,"binary search, math",7860
Relatively Prime Graph,1009,D,"brute force, constructive algorithms, graphs, greedy, math",6015
Annoying Present,1009,C,"greedy, math",5124
Military Problem,1006,E,"dfs and similar, graphs, trees",8952
Two Strings Swaps,1006,D,implementation,5666
Polycarp and Div 3,1005,D,"dp, greedy, number theory",9389
Coins and Queries,1003,D,greedy,7215
Bernstein-Vazirani algorithm,1002,E1,,311
Oracle for majority function,1002,D3,,321
Distinguish zero state and plus state with minimum error,1002,C1,,292
Distinguish four 2-qubit states - 2,1002,B4,,297
Distinguish four 2-qubit states,1002,B3,,400
Distinguish GHZ state and W state,1002,B2,,436
Generate superposition of two basis states,1002,A3,,464
Deutsch-Jozsa algorithm,1001,I,*special,394
Distinguish Bell states,1001,E,*special,548
Covered Points Count,1000,C,"data structures, implementation, sortings",6128
Light It Up,1000,B,greedy,5315
Convert to Ones,997,A,"brute force, greedy, implementation, math",8000
Two Squares,993,A,"geometry, implementation",3818
Nastya and a Wardrobe,992,C,math,4464
Nastya Studies Informatics,992,B,"math, number theory",5958
Bishwock,991,D,"dp, greedy",6728
Candies,991,C,"binary search, implementation",9416
Graph And Its Complement,990,D,"constructive algorithms, graphs, implementation",3685
Bracket Sequences Concatenation Problem,990,C,implementation,5578
Fair,986,A,"graphs, greedy, number theory, shortest paths",6302
Liebig's Barrels,985,C,greedy,5447
Finite or not?,983,A,"implementation, math",4399
Cut 'em all!,982,C,"dfs and similar, dp, graphs, greedy, trees",10185
Posterized,980,C,"games, greedy",3674
Marlin,980,B,constructive algorithms,4545
Kuro and Walking Route,979,C,"dfs and similar, trees",5885
Petya's Exams,978,G,"greedy, implementation, sortings",4007
Mentors,978,F,"binary search, data structures, implementation",7621
Almost Arithmetic Progression,978,D,"brute force, implementation, math",7914
Consecutive Subsequence,977,F,dp,15372
Cyclic Components,977,E,"dfs and similar, dsu, graphs",17581
Nested Segments,976,C,"greedy, implementation, sortings",5996
Merge Equals,962,D,"data structures, implementation",6461
Subsequence Counting,960,C,"bitmasks, constructive algorithms, greedy, implementation",3734
Minimize the error,960,B,"data structures, greedy, sortings",6910
Mahmoud and Ehab and the wrong algorithm,959,C,"constructive algorithms, trees",5569
Lightsabers (easy),958,F1,implementation,1531
Guard Duty (easy),958,E1,"brute force, geometry, greedy, math",1420
Fight Against Traffic,954,D,"dfs and similar, graphs, shortest paths",5993
Matrix Walk,954,C,implementation,3622
Ravioli Sort,952,C,implementation,2777
A Leapfrog in the Array,949,B,"constructive algorithms, math",3592
Zebras,949,A,greedy,5080
Alena And The Heater,940,D,"binary search, implementation",3493
Phone Numbers,940,C,"constructive algorithms, implementation, strings",5489
Love Rescue,939,D,"dfs and similar, dsu, graphs, greedy, strings",6838
Convenient For Everybody,939,C,"binary search, two pointers",4443
Constructing Tests,938,C,"binary search, brute force, constructive algorithms",3200
Save Energy!,936,A,"binary search, implementation, math",4278
Fifa and Fafa,935,C,geometry,4562
Permutation Cycle,932,C,"brute force, constructive algorithms",3895
Laboratory Work,931,C,"implementation, math",3229
Game with String,930,B,"implementation, probabilities, strings",2537
Peculiar apple-tree,930,A,"dfs and similar, graphs, trees",6445
Красивая команда,929,C,"*special, combinatorics, math",1131
A Vital Problem,926,I,,625
Large Bouquets,926,G,,1345
Choose Place,926,D,,867
Is This a Zebra?,926,C,implementation,1776
Resource Distribution,925,B,"binary search, implementation, sortings",2149
Stairs and Elevators,925,A,binary search,3303
Riverside Curio,924,C,"data structures, dp, greedy",3610
Three-level Laser,924,B,"binary search, greedy, two pointers",4950
Producing Snow,923,B,"binary search, data structures",6946
Primal Sport,923,A,"math, number theory",4890
Cave Painting,922,C,"brute force, number theory",6651
Substring,919,D,"dfs and similar, dp, graphs",8695
MADMAX,917,B,"dfs and similar, dp, games, graphs",3360
Jamie and Interesting Graph,916,C,"constructive algorithms, graphs, shortest paths",4779
Permute Digits,915,C,"dp, greedy",6708
Party Lemonade,913,C,"bitmasks, dp, greedy",7553
Minimum Sum,910,C,"constructive algorithms, greedy, math",1652
Door Frames,910,B,"greedy, implementation",1588
New Year and Curling,908,C,"brute force, geometry, implementation, math",6535
Shockers,906,A,"implementation, strings",4032
Hashing Trees,901,A,"constructive algorithms, trees",4933
Remove Extra One,900,C,"brute force, data structures, math",4269
Squares and not squares,898,E,"constructive algorithms, greedy",4378
Alarm Clock,898,D,greedy,3470
Nephren gives a riddle,896,A,"binary search, dfs and similar",3295
XK Segments,895,B,"binary search, math, sortings, two pointers",3354
Pride,891,A,"brute force, dp, greedy, math, number theory",9180
Almost Identity Permutations,888,D,"combinatorics, dp, math",6830
Solution for Cube,887,C,"brute force, implementation",2785
Bertown Subway,884,C,"dfs and similar, greedy, math",4489
Field of Wonders,883,E,"implementation, strings",1843
Short Program,878,A,"bitmasks, constructive algorithms",5145
Slava and tanks,877,C,constructive algorithms,5479
Nikita and string,877,B,"brute force, dp",9600
Sorting the Coins,875,B,"dsu, implementation, sortings, two pointers",5051
Strange Game On Matrix,873,C,"greedy, two pointers",3147
Balanced Substring,873,B,"dp, implementation",7112
Qualification Rounds,868,C,"bitmasks, brute force, constructive algorithms, dp",4426
Make a Permutation!,864,D,"greedy, implementation, math",5838
Bus,864,C,"greedy, implementation, math",5751
Kayaking,863,B,"brute force, greedy, sortings",6880
Pie Rules,859,C,"dp, games",5070
Polycarp's phone book,858,D,"data structures, implementation, sortings",3593
Did you mean...,858,C,"dp, greedy, implementation",5318
Which floor?,858,B,"brute force, implementation",3592
Set Theory,856,A,"brute force, constructive algorithms",1321
Marvolo Gaunt's Ring,855,B,"brute force, data structures, dp",8044
Planning,853,A,greedy,5665
Bathroom terminal,852,G,implementation,1217
Five Dimensional Points,850,A,"brute force, geometry, math",2943
Tell Your World,849,B,"brute force, geometry",3415
From Y to Y,848,A,constructive algorithms,4946
Load Testing,847,H,greedy,2327
Preparing for Merge Sort,847,B,"binary search, data structures",4313
Union of Doubly Linked Lists,847,A,implementation,3224
Curriculum Vitae,846,A,"brute force, implementation",4052
Two TVs,845,C,"data structures, greedy, sortings",7092
Luba And The Ticket,845,B,"brute force, greedy, implementation",4814
Journey,839,C,"dfs and similar, dp, graphs, probabilities, trees",14911
Two Seals,837,C,"brute force, implementation",3840
Flag of Berland,837,B,"brute force, implementation",3825
Star sky,835,C,"dp, implementation",7436
The Meaningless Game,833,A,"math, number theory",5908
Petya and Exam,832,B,"implementation, strings",4274
Jury Marks,831,C,"brute force, constructive algorithms",4146
Cards Sorting,830,B,"data structures, implementation, sortings",2688
String Reconstruction,827,A,"data structures, greedy, sortings, strings",3820
Suitable Replacement,825,D,"binary search, greedy, implementation",3099
Multi-judge Solving,825,C,"greedy, implementation",4276
Five-In-a-Row,825,B,"brute force, implementation",3986
"Hacker, pack your bags!",822,C,"binary search, greedy, implementation, sortings",4400
Okabe and Boxes,821,C,"data structures, greedy, trees",6303
Multicolored Cars,818,D,"data structures, implementation",3309
Permutation Game,818,B,implementation,2900
Really Big Numbers,817,C,"binary search, brute force, dp, math",6646
Makes And The Product,817,B,"combinatorics, implementation, math, sortings",5268
Karen and Game,815,A,"brute force, greedy, implementation",5508
An impassioned circulation of affection,814,C,"brute force, dp, strings, two pointers",5978
The Tag Game,813,C,"dfs and similar, graphs",5347
Sagheer and Nubian Market,812,C,"binary search, sortings",12340
"Sagheer, the Hausmeister",812,B,"bitmasks, brute force, dp",4963
Do you want a date?,809,A,"implementation, math, sortings",4585
Mike and gcd problem,798,C,"dp, greedy, number theory",5418
Minimal string,797,C,"data structures, greedy, strings",5919
Igor and his way to work,793,B,"dfs and similar, graphs, implementation, shortest paths",4193
Masha and geometric depression,789,B,"brute force, implementation, math",4310
Functions again,788,A,"dp, two pointers",8783
Anton and Fairy Tale,785,C,"binary search, math",6961
Numbers Joke,784,A,*special,2988
Andryusha and Colored Balloons,780,C,"dfs and similar, graphs, greedy, trees",8636
The Meeting Place Cannot Be Changed,780,B,binary search,8267
String Game,778,A,"binary search, greedy, strings",10680
Alyona and Spreadsheet,777,C,"binary search, data structures, dp, greedy, implementation, two pointers",6046
Stepan and Vowels,774,K,"*special, implementation, strings",1231
Lie or Truth,774,D,"*special, constructive algorithms, implementation, sortings",1863
Success Rate,773,A,"binary search, math",4195
Bear and Different Names,771,B,"constructive algorithms, greedy",6531
Bear and Friendship Condition,771,A,"dfs and similar, dsu, graphs",13846
Online Courses In BSU,770,C,"*special, dfs and similar, graphs, implementation",2429
k-Interesting Pairs Of Integers,769,D,"*special, bitmasks, brute force, meet-in-the-middle",2150
Cycle In Maze,769,C,"*special, dfs and similar, graphs, greedy, shortest paths",1954
Code For 1,768,B,"constructive algorithms, dfs and similar, divide and conquer",5658
Mahmoud and a Message,766,C,"brute force, dp, greedy, strings",4204
Artsem and Saunders,765,D,"constructive algorithms, dsu, math",2366
Timofey and a tree,763,A,"dfs and similar, dp, dsu, graphs, implementation, trees",9775
Dasha and Very Difficult Problem,761,D,"binary search, brute force, constructive algorithms, greedy, sortings",3749
Dasha and Password,761,C,"brute force, dp, implementation",5595
Frodo and pillows,760,B,"binary search, greedy",5690
Unfair Poll,758,C,"binary search, constructive algorithms, implementation, math",3778
Travel Card,756,B,"binary search, dp",3177
Pavel and barbecue,756,A,"constructive algorithms, dfs and similar",2928
Interactive Bulls and Cows (Easy),753,B,"brute force, constructive algorithms, implementation",1145
New Year and Rating,750,C,"binary search, greedy, math",6393
Voting,749,C,"greedy, implementation, two pointers",5801
Santa Claus and Keyboard Check,748,B,"implementation, strings",5236
Comments,747,E,"dfs and similar, expression parsing, implementation, strings",1911
Green and Black Tea,746,D,"constructive algorithms, greedy, math",4860
Tram,746,C,"constructive algorithms, implementation, math",3635
Hongcow Builds A Nation,744,A,"dfs and similar, graphs",7532
Vladik and fractions,743,C,"brute force, constructive algorithms, math, number theory",11306
Arpa’s obvious problem and Mehrdad’s terrible solution,742,B,"brute force, math, number theory",8770
Arpa's weak amphitheater and Mehrdad's valuable Hoses,741,B,"dfs and similar, dp, dsu",4986
Arpa's loud Owf and Mehrdad's evil plan,741,A,"dfs and similar, math",5319
Alyona and mex,739,A,"constructive algorithms, greedy",7385
Taxes,735,D,"math, number theory",12045
Tennis Championship,735,C,"combinatorics, constructive algorithms, greedy, math",7194
Anton and Chess,734,D,implementation,3651
Anton and Making Potions,734,C,"binary search, dp, greedy, two pointers",5224
Kostya the Sculptor,733,D,"data structures, hashing",4066
Exams,732,D,"binary search, greedy, sortings",5257
Socks,731,C,"dfs and similar, dsu, graphs, greedy",6520
Car Repair Shop,730,G,implementation,2073
Sea Battle,729,D,"constructive algorithms, greedy, math",3554
Road to Cinema,729,C,"binary search, greedy, sortings",3759
Bill Total Value,727,B,"expression parsing, implementation, strings",1932
Hidden Word,725,C,"brute force, constructive algorithms, implementation, strings",2547
Batch Sort,724,B,"brute force, greedy, implementation, math",3889
Lakes in Berland,723,D,"dfs and similar, dsu, graphs, greedy, implementation",6641
Polycarp at the Radio,723,C,greedy,4413
Destroying Array,722,C,"data structures, dsu",8219
Efim and Strange Grade,718,A,"dp, implementation, math",4262
Plus and Square Root,715,A,"constructive algorithms, math",5490
Memory and De-Evolution,712,C,"greedy, math",5426
Coloring Trees,711,C,dp,7370
Magic Odd Square,710,C,"constructive algorithms, math",4840
Checkpoints,709,B,"greedy, implementation, sortings",4651
Pythagorean Triples,707,C,"math, number theory",11609
Hard problem,706,C,"dp, strings",14883
Thor,704,A,"brute force, data structures, implementation",8617
Cellular Network,702,C,"binary search, implementation, two pointers",10999
Powers of Two,702,B,"brute force, data structures, implementation, math",10664
They Are Everywhere,701,C,"binary search, strings, two pointers",12276
Fix a Tree,698,B,"constructive algorithms, dfs and similar, dsu, graphs, trees",5467
Puzzles,696,B,"dfs and similar, math, probabilities, trees",3226
Lorenzo Von Matterhorn,696,A,"brute force, data structures, implementation, trees",5888
Swaps in Permutation,691,D,"dfs and similar, dsu, math",5000
s-palindrome,691,B,"implementation, strings",4523
Brain Network (medium),690,C2,"dfs and similar, graphs, trees",3387
Recover Polygon (easy),690,B1,,899
Mike and Chocolate Thieves,689,C,"binary search, combinatorics, math",4561
Mike and Shortcuts,689,B,"dfs and similar, graphs, greedy, shortest paths",5439
NP-Hard Problem,687,A,"dfs and similar, graphs",12712
Robbers' watch,685,A,"brute force, combinatorics, dp, math",4072
Symmetric Difference,683,C,*special,309
The Teacher of Physical Education,683,B,*special,310
Alyona and the Tree,682,C,"dfs and similar, dp, graphs, trees",6779
Heap Operations,681,C,"constructive algorithms, data structures, greedy",6810
Iterated Linear Function,678,D,"math, number theory",3982
Joty and Chocolate,678,C,"implementation, math, number theory",8484
The Same Calendar,678,B,implementation,3911
Vanya and Label,677,C,"bitmasks, combinatorics, implementation, strings",6155
Vasya and String,676,C,"binary search, dp, strings, two pointers",16950
Pyramid of Glasses,676,B,"implementation, math, math",5376
Correct Bracket Sequence Editor,670,E,"data structures, dsu, strings",3081
Magic Powder - 2,670,D2,"binary search, implementation",11757
Buses Between Cities,665,A,implementation,2749
Hard Process,660,C,"binary search, dp, two pointers",8537
New Reform,659,E,"data structures, dfs and similar, dsu, graphs, greedy",7027
Bicycle Race,659,D,"geometry, implementation, math",5962
Scrambled,656,B,"*special, implementation",1581
Enduring Exodus,645,C,"binary search, two pointers",2987
Processing Queries,644,B,"*special, constructive algorithms, data structures, two pointers",2550
Bear and Two Paths,643,B,"constructive algorithms, graphs",3083
Bear and Colors,643,A,implementation,4007
Bear and Forgotten Tree 3,639,B,"constructive algorithms, graphs, trees",6233
Making Genome in Berland,638,B,"*special, dfs and similar, strings",1865
Running with Obstacles,637,D,"*special, data structures, dp, greedy",1897
The Smallest String Concatenation,632,C,"sortings, strings",6514
Report,631,C,"data structures, sortings",3587
Pyramids,630,Q,"geometry, math",1159
Indivisibility,630,K,"math, number theory",4741
Parking Lot,630,I,"combinatorics, math",5820
Challenge Pennants,630,G,"combinatorics, math",2498
Factory Repairs,627,B,data structures,2524
XOR Equation,627,A,"dp, math",3851
Block Towers,626,C,"brute force, greedy, math, number theory",4218
Guest From the Past,625,A,"implementation, math",5261
Not Equal on a Segment,622,C,"data structures, implementation",5886
Wet Shark and Flowers,621,C,"combinatorics, math, number theory, probabilities",5134
Pearls in a Row,620,C,greedy,5847
Constellation,618,C,"geometry, implementation",4053
Polyline,617,D,"constructive algorithms, implementation",4066
Watering Flowers,617,C,implementation,4669
Longest k-Good Segment,616,D,"binary search, data structures, two pointers",8086
The Labyrinth,616,C,dfs and similar,5008
Longtail Hedgehog,615,B,"dp, graphs",4743
Link/Cut Tree,614,A,"brute force, implementation",7287
New Year and Domino,611,C,"dp, implementation",8192
Load Balancing,609,C,"implementation, math",6050
Hamming Distance Sum,608,B,"combinatorics, strings",6277
Chain Reaction,607,A,"binary search, dp",8889
Testing Robots,606,B,implementation,2707
Lazy Student,605,B,"constructive algorithms, data structures, graphs",3307
Sorting Railway Cars,605,A,"constructive algorithms, greedy",6905
Alternative Thinking,603,A,"dp, greedy, math",7386
The Two Routes,601,A,"graphs, shortest paths",10574
Extract Numbers,600,A,"implementation, strings",4662
Day at the Beach,599,C,sortings,4482
Spongebob and Joke,599,B,implementation,4245
Igor In the Museum,598,D,"dfs and similar, graphs, shortest paths",9618
Restaurant,597,B,"dp, greedy, sortings",4412
Divisibility,597,A,math,4293
Wilbur and Points,596,C,"combinatorics, greedy, sortings",2217
Pasha and Phone,595,B,"binary search, math",2862
Anton and Lines,593,B,"geometry, sortings",3897
Median Smoothing,590,A,implementation,3858
Duff and Weight Lifting,587,A,greedy,7183
Phillip and Trains,585,B,"dfs and similar, graphs, shortest paths",3384
Marina and Vasya,584,C,"constructive algorithms, greedy, strings",5991
Kolya and Tanya ,584,B,combinatorics,10738
GCD Table,582,A,"constructive algorithms, greedy, number theory",7292
Three Logos,581,D,"bitmasks, brute force, constructive algorithms, geometry, implementation, math",3205
Kefa and Park,580,C,"dfs and similar, graphs, trees",36615
Kefa and Company,580,B,"binary search, sortings, two pointers",23138
"""Or"" Game",578,B,"brute force, greedy",5028
A Problem about Polyline,578,A,"geometry, math",4614
Vasya and Petya's Game,576,A,"math, number theory",12168
Tablecity,575,D,"constructive algorithms, implementation",1790
Bear and Three Musketeers,574,B,"brute force, dfs and similar, graphs, hashing",7439
Bear and Blocks,573,B,"binary search, data structures, dp, math",5426
Replacement,570,C,"constructive algorithms, data structures, implementation",8474
Music,569,A,"implementation, math",4653
Primes or Palindromes?,568,A,"brute force, implementation, math, number theory",4926
One-Dimensional Battle Ships,567,D,"binary search, data structures, greedy, sortings",4477
Geometric Progression,567,C,"binary search, data structures, dp",9006
Clique in the Divisibility Graph,566,F,"dp, math, number theory",3371
Equivalent Strings,559,B,"divide and conquer, hashing, sortings, strings",10021
Gerald's Hexagon,559,A,"brute force, geometry, math",9711
Pasha and Tea,557,B,"constructive algorithms, implementation, math, sortings",6992
Case of Matryoshkas,555,A,implementation,6067
Kyoya and Colored Balls,553,A,"combinatorics, dp, math",8015
Divisibility by Eight,550,C,"brute force, dp, math",25607
Two Substrings,550,A,"brute force, dp, greedy, implementation, strings",34092
Soldier and Number Game,546,D,"constructive algorithms, dp, math, number theory",10722
Woodcutters,545,C,"dp, greedy",24467
School Marks,540,B,"greedy, implementation",4528
Tourist's Notes,538,C,"binary search, brute force, greedy, implementation, math",5692
Polycarpus' Dice,534,C,math,4715
Board Game,533,C,"games, greedy, implementation, math",2105
Sum and product,530,E,*special,297
Set subtraction,530,D,*special,441
Diophantine equation,530,C,*special,528
String inside out,530,B,*special,528
Quadratic equation,530,A,*special,657
Glass Carving,527,C,"binary search, data structures, implementation",6471
Error Correct System,527,B,greedy,3802
Ilya and Sticks,525,C,"greedy, math, sortings",5510
Фото на память - 2 (round version),524,B,"dp, greedy",1419
"Возможно, вы знаете этих людей?",524,A,implementation,1383
Statistics of Recompressing Videos,523,D,"*special, data structures, implementation",2133
Mean Requests,523,B,"*special, implementation",931
DNA Alignment,520,C,"math, strings",4018
Ilya and Escalator,518,D,"combinatorics, dp, math, probabilities",6378
Anya and Smartphone,518,C,"constructive algorithms, data structures, implementation",5823
Vitaly and Strings,518,A,"constructive algorithms, strings",8565
Fox And Names,510,C,"dfs and similar, graphs, sortings",14124
Fox And Two Dots,510,B,dfs and similar,12853
Anya and Ghosts,508,C,"constructive algorithms, greedy",4332
Guess Your Way Out!,507,C,"implementation, math, trees",4174
Misha and Forest,501,C,"constructive algorithms, data structures, greedy, sortings, trees",5386
New Year Book Reading,500,C,"constructive algorithms, greedy, implementation, math",5570
New Year Permutation,500,B,"dfs and similar, dsu, graphs, greedy, math, sortings",8443
Crazy Town,498,A,geometry,6232
Removing Columns,496,C,"brute force, constructive algorithms, implementation",7442
Secret Combination,496,B,"brute force, constructive algorithms, implementation",5693
Modular Equations,495,B,"math, number theory",6106
Treasure,494,A,greedy,5986
Vasya and Chess,493,D,"constructive algorithms, games, math",9263
Vasya and Basketball,493,C,"binary search, brute force, data structures, implementation, sortings, two pointers",6468
Hacking Cypher,490,C,"brute force, math, number theory, strings",8695
Queue,490,B,"dsu, implementation",5730
Unbearable Controversy of Being,489,D,"brute force, combinatorics, dfs and similar, graphs",6405
Palindrome Transformation,486,C,"brute force, greedy, implementation",11223
Bits,484,A,"bitmasks, constructive algorithms",10164
Long Jumps,479,D,"binary search, greedy, implementation",4600
Dreamoon and Sums,476,C,math,5312
Flowers,474,D,dp,22121
MUH and House of Cards,471,C,"binary search, brute force, greedy, math",3468
24 Game,468,A,"constructive algorithms, greedy, math",7542
George and Job,467,C,"dp, implementation",13422
Number of Ways,466,C,"binary search, brute force, data structures, dp, two pointers",32573
No to Palindromes!,464,A,"greedy, strings",5715
Present,460,C,"binary search, data structures, greedy",5856
