Problem,Contest,Index,Tags,solvedCount
Path Prefixes,1714,G,"binary search, data structures, dfs and similar, trees",6518
Color with Occurrences,1714,D,"brute force, data structures, dp, greedy, strings",7939
Color the Picture,1710,A,"constructive algorithms, greedy, math",10073
Rorororobot,1709,D,"binary search, data structures, greedy, math",7572
Doremy's IQ,1707,A,"binary search, constructive algorithms, greedy, implementation",12047
Chopping Carrots (Easy Version),1706,D1,"binary search, brute force, constructive algorithms, greedy, number theory",6316
"Good Key, Bad Key",1703,G,"bitmasks, brute force, dp, greedy, math",8965
Equate Multisets,1702,F,"constructive algorithms, data structures, greedy, math, number theory",7374
Split Into Two Sets,1702,E,"dfs and similar, dsu, graphs",10990
Helping the Nature,1700,C,"constructive algorithms, data structures, greedy",9861
The Third Problem,1699,C,"combinatorics, constructive algorithms, math",8890
Fixed Point Guessing,1698,D,"binary search, constructive algorithms, interactive",8036
Zero Path,1695,C,"brute force, data structures, dp, graphs, greedy, shortest paths",9639
Fake Plastic Trees,1693,B,"dfs and similar, dp, greedy, trees",7538
Gambling,1692,H,"data structures, dp, greedy, math",6395
Shifting String,1690,F,"graphs, math, number theory, strings",6319
Price Maximization,1690,E,"binary search, greedy, math, two pointers",13402
Infected Tree,1689,C,"dfs and similar, dp, trees",9592
Manipulating History,1688,C,"constructive algorithms, greedy, strings",7562
Railway System,1687,B,"constructive algorithms, graphs, greedy, interactive, sortings",3307
The Enchanted Forest,1687,A,"brute force, greedy",9379
Traps,1684,D,"constructive algorithms, greedy, sortings",8814
Required Length,1681,D,"brute force, dfs and similar, dp, hashing, shortest paths",8654
Binary String,1680,C,"binary search, greedy, strings, two pointers",8879
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math",3793
Tokitsukaze and Strange Inequality,1677,A,"brute force, data structures, dp",7644
Maximum Crossings (Hard Version),1676,H2,"data structures, divide and conquer, sortings",8989
"Replace With the Previous, Minimize",1675,E,"dsu, greedy, strings",9232
Palindrome Basis,1673,C,"brute force, dp, math, number theory",10595
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers",5699
Insert a Progression,1671,D,"brute force, constructive algorithms, greedy",6798
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math",4710
Tree Infection,1665,C,"binary search, greedy, sortings, trees",7555
Water the Trees,1661,C,"binary search, greedy, math",8467
Promising String (easy version),1660,F1,"brute force, implementation, math, strings",6604
Matrix and Shifts,1660,E,"brute force, constructive algorithms, greedy, implementation",6608
Maximum Product Strikes Back,1660,D,"brute force, implementation, math, two pointers",7546
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math",8872
388535 (Easy Version),1658,D1,"bitmasks, math",8265
Shinju and the Lost Permutation,1658,C,"constructive algorithms, math",8775
Fault-tolerant Network,1651,C,"brute force, data structures, implementation",10037
Factorials and Powers of Two,1646,C,"bitmasks, brute force, constructive algorithms, dp, math",12135
Cross Coloring,1644,D,"data structures, implementation, math",6692
Make Them Equal,1633,D,"dp, greedy",11938
Strange Test,1632,C,"binary search, bitmasks, brute force, dp, math",11590
And Matching,1630,A,"bitmasks, constructive algorithms",13367
Peculiar Movie Preferences,1628,B,"greedy, strings",10692
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers",10207
Road Optimization,1625,C,dp,9263
Balanced Stone Heaps,1623,C,"binary search, greedy",10438
Set or Decrease,1622,C,"binary search, brute force, greedy, sortings",11473
Hidden Permutations,1621,C,"dfs and similar, interactive, math",6479
Integers Shop,1621,B,"data structures, greedy, implementation",12483
MEX and Increments,1619,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings",8099
Singers' Tour,1618,E,"constructive algorithms, math",6575
Representative Edges,1616,C,"brute force, geometry, implementation, math",11420
Menorah,1615,C,"brute force, graphs, greedy, math",7709
Divan and bitwise operations,1614,C,"bitmasks, combinatorics, constructive algorithms, dp, math",9421
X-Magic Pair,1612,D,"math, number theory",8302
Escape The Maze (easy version),1611,E1,"dfs and similar, greedy, shortest paths, trees, two pointers",6460
Weights Assignment For Tree Edges,1611,D,"constructive algorithms, trees",8964
Keshi Is Throwing a Party,1610,C,"binary search, greedy",9707
Social Network,1609,D,"dsu, graphs, greedy, implementation, trees",6524
Game Master,1608,C,"data structures, dfs and similar, dp, graphs, greedy, two pointers",6072
Robot on the Board 1,1607,E,implementation,8656
Moderate Modular Mode,1603,B,"constructive algorithms, math, number theory",12430
Training Session,1598,D,"combinatorics, data structures, geometry, implementation, math",8030
The Number of Imposters,1594,D,"constructive algorithms, dfs and similar, dp, dsu, graphs",6683
Gardener and Tree,1593,E,"brute force, data structures, dfs and similar, greedy, implementation, trees",10793
Bakry and Partitioning,1592,C,"bitmasks, constructive algorithms, dfs and similar, dp, graphs, trees",7156
Omkar and Determination,1583,C,"data structures, dp",6604
"Vupsen, Pupsen and 0",1582,D,"constructive algorithms, math",9620
Portal,1580,A,"brute force, data structures, dp, greedy, implementation",3419
Array Stabilization (AND version),1579,F,"brute force, graphs, math, number theory, shortest paths",4329
Array Optimization by Deque,1579,E2,"data structures, greedy",5943
Ticks,1579,C,"greedy, implementation",9819
Higher Order Functions,1578,H,"implementation, strings",1885
Jeopardy of Dropped Balls,1575,J,"binary search, brute force, dsu, implementation",3405
Fix the String,1571,E,"*special, bitmasks, dp, greedy",284
Jury Meeting,1569,C,"combinatorics, math",11014
Carrying Conundrum,1567,C,"bitmasks, combinatorics, dp, math",11434
Seating Arrangements (hard version) ,1566,D2,"data structures, greedy, implementation, sortings, two pointers",7505
Two Hundred Twenty One (easy version),1562,D1,"data structures, dp, math",5999
Rings,1562,C,"constructive algorithms, math",12420
Up the Strip (simplified version),1561,D1,"brute force, data structures, dp, math, number theory",5191
Moamen and XOR,1557,C,"bitmasks, combinatorics, dp, math, matrices",7975
Say No to Palindromes,1555,D,"brute force, constructive algorithms, dp, strings",11133
Cobb,1554,B,"bitmasks, brute force, greedy, math",11952
Backspace,1553,D,"dp, greedy, strings, two pointers",12664
Running for Gold,1552,B,"combinatorics, graphs, greedy, sortings",14322
Domino (easy version),1551,D1,"constructive algorithms, math",6571
Interesting Story,1551,C,"greedy, sortings, strings",12177
Manhattan Subarrays,1550,C,"brute force, geometry, greedy, implementation",9548
Air Conditioners,1547,E,"data structures, dp, implementation, shortest paths, sortings, two pointers",12832
AquaMoon and Strange Sort,1545,A,sortings,13099
RPD and Rap Sheet (Easy Version),1543,D1,"bitmasks, constructive algorithms, interactive, math",7232
Strange Function,1542,C,"math, number theory",12726
Plus and Multiply,1542,B,"constructive algorithms, math, number theory",20524
PriceFixed,1539,D,"binary search, greedy, implementation, sortings, two pointers",10816
Interesting Function,1538,F,"binary search, dp, math, number theory",17163
Another Problem About Dividing Numbers,1538,D,"constructive algorithms, math, number theory",12352
Erase and Extend (Easy Version),1537,E1,"binary search, brute force, dp, greedy, hashing, implementation, string suffix structures, strings, two pointers",11515
Deleting Divisors,1537,D,"games, math, number theory",11312
Diluc and Kaeya,1536,C,"data structures, dp, hashing, number theory",12909
Secret Santa,1530,D,"constructive algorithms, flows, graphs, greedy, math",8610
Kavi on Pairing Duty,1528,B,"combinatorics, dp, math",8137
Parsa's Humongous Tree,1528,A,"dfs and similar, divide and conquer, dp, greedy, trees",13026
Sequence Pair Weight,1527,C,"hashing, implementation, math",12499
Potions (Hard Version),1526,C2,"data structures, greedy",19068
Potions (Easy Version),1526,C1,"brute force, data structures, dp, greedy",19438
Compression and Expansion,1523,C,"brute force, data structures, greedy, implementation, trees",8374
Guess the K-th Zero (Easy version),1520,F1,"binary search, interactive",10113
Maximum Sum of Products,1519,D,"brute force, dp, implementation, math, two pointers",13770
Baby Ehab Partitions Again,1516,C,"bitmasks, constructive algorithms, dp, math",11012
AGAGA XOOORRR,1516,B,"bitmasks, brute force, dp, greedy",16896
Phoenix and Socks,1515,D,"greedy, sortings, two pointers",10789
Product 1 Modulo N,1514,C,"greedy, number theory",13210
Add One,1513,C,"dp, matrices",12207
Short Task,1512,G,"brute force, dp, math, number theory",7327
Permutation by Sum,1512,E,"brute force, greedy, math",9549
Min Cost String,1511,D,"brute force, constructive algorithms, graphs, greedy, strings",10595
Restoring the Permutation,1506,E,"constructive algorithms, implementation",12050
DMCA,1505,B,"*special, implementation, number theory",5792
3-Coloring,1503,B,"constructive algorithms, games, interactive",6686
Balance the Bits,1503,A,"constructive algorithms, greedy",12528
Minimum Grid Path,1499,C,"brute force, data structures, greedy, math",11940
Planar Reflections,1498,C,"brute force, data structures, dp",8763
Square-Free Division (easy version),1497,E1,"data structures, dp, greedy, math, number theory, two pointers",7631
k-LCM (hard version),1497,C2,"constructive algorithms, math",15494
Maximum width,1492,C,"binary search, data structures, dp, greedy, two pointers",14875
Pekora and Trampoline,1491,C,"brute force, data structures, dp, greedy, implementation",7461
Equalize the Array,1490,F,"binary search, data structures, greedy, math, sortings",14454
Pythagorean Triples,1487,D,"binary search, brute force, math, number theory",15878
Minimum Ties,1487,C,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation, math",13075
Guessing the Greatest (easy version),1486,C1,"binary search, interactive",10927
Eastern Exhibition,1486,B,"binary search, geometry, shortest paths, sortings",14531
Floor and Mod,1485,C,"binary search, brute force, math, number theory",9051
Basic Diplomacy,1482,C,"brute force, constructive algorithms, greedy, implementation",8836
Restore Modulo,1482,B,"implementation, math",8804
Fence Painting,1481,C,"brute force, constructive algorithms, greedy",10819
Searching Local Minimum,1479,A,"binary search, interactive, ternary search",10610
Nezzar and Symmetric Array,1478,C,"implementation, math, sortings",9129
