Handle,Max Rating_x,Result,Max Rating_y,Solved Problems,Problem Count
raktcharita2000,1656,Yes,1656,"{(1862, 'E'), (1857, 'E'), (1872, 'E'), (1857, 'F'), (1778, 'C'), (1779, 'C'), (1856, 'C'), (1814, 'B'), (1814, 'C'), (1741, 'E')}",10
MaxDYF,1642,Yes,1611,"{(1497, 'C2'), (1292, 'B'), (276, 'D'), (1771, 'C'), (1278, 'C'), (1554, 'B'), (1280, 'A'), (1336, 'B'), (1304, 'C'), (1537, 'D'), (295, 'B'), (1513, 'C'), (1343, 'D'), (1869, 'D1'), (1742, 'F'), (1325, 'D'), (39, 'J'), (1195, 'D1'), (1856, 'C'), (1849, 'D'), (1334, 'C'), (1628, 'B'), (1542, 'B'), (1215, 'D'), (1872, 'E'), (1864, 'D'), (1566, 'D2'), (66, 'D'), (923, 'A'), (427, 'C'), (735, 'D'), (1538, 'D'), (1310, 'A'), (784, 'A'), (1849, 'C'), (1479, 'A'), (1215, 'C'), (1393, 'C'), (486, 'C'), (1381, 'A2'), (1879, 'D'), (383, 'A'), (484, 'A'), (1474, 'C'), (1368, 'D'), (1553, 'D'), (1782, 'C')}",47
MirioTogata,1745,Yes,1745,"{(1611, 'D'), (1702, 'F'), (1608, 'C'), (1775, 'C'), (1702, 'E'), (1689, 'C'), (1614, 'C')}",7
praneeth6116,1642,Yes,1642,"{(919, 'D'), (1349, 'A'), (1857, 'F'), (455, 'A'), (1795, 'C'), (1630, 'A'), (1711, 'C'), (295, 'B'), (1487, 'D'), (1680, 'C'), (1862, 'E'), (276, 'C'), (495, 'B'), (1684, 'D'), (1690, 'E'), (1189, 'D1'), (707, 'C'), (1700, 'C'), (339, 'D'), (1418, 'C'), (1856, 'C'), (847, 'B'), (1396, 'A'), (839, 'C'), (1814, 'C'), (1398, 'C'), (1739, 'C'), (1651, 'C'), (1389, 'C'), (1688, 'D'), (1857, 'E'), (1458, 'A'), (1201, 'B'), (281, 'B'), (1872, 'E'), (1528, 'A'), (1873, 'H'), (785, 'C'), (1688, 'C'), (1681, 'D'), (1492, 'C'), (702, 'C'), (580, 'B'), (1789, 'C'), (1604, 'D'), (1582, 'D'), (550, 'C'), (268, 'C'), (1520, 'F1'), (1176, 'E'), (1490, 'F'), (2, 'A'), (977, 'F'), (550, 'A'), (1538, 'F'), (1419, 'C'), (1702, 'E'), (1368, 'D'), (1858, 'B'), (235, 'A')}",60
killer_2011,1641,Yes,1641,"{(676, 'C'), (467, 'C'), (1872, 'E'), (455, 'A'), (317, 'A'), (1861, 'C')}",6
AhmedM00,1640,Yes,1640,"{(1765, 'K'), (347, 'C'), (424, 'C'), (1497, 'C2'), (1822, 'G1'), (569, 'C'), (1237, 'C1'), (1118, 'D2'), (622, 'C'), (1139, 'C'), (743, 'C'), (822, 'C'), (371, 'C'), (1165, 'D'), (1677, 'B'), (165, 'B'), (758, 'C'), (465, 'C'), (103, 'B'), (546, 'D'), (707, 'C'), (1722, 'F'), (584, 'C'), (1850, 'G'), (1056, 'B'), (705, 'C'), (1673, 'C'), (71, 'C'), (437, 'B'), (527, 'B'), (231, 'C'), (670, 'D2'), (597, 'A'), (1692, 'H'), (873, 'B'), (1818, 'C'), (1567, 'C'), (329, 'B'), (384, 'B'), (1767, 'D'), (1305, 'C'), (405, 'C'), (88, 'C'), (550, 'C'), (1249, 'E'), (1722, 'E'), (761, 'C'), (431, 'C'), (1843, 'E'), (977, 'F'), (1822, 'F'), (1829, 'G'), (1368, 'D'), (1744, 'E1'), (378, 'C'), (1552, 'B'), (29, 'B'), (567, 'C'), (1301, 'B'), (1618, 'E'), (1045, 'I'), (1607, 'E'), (1810, 'D'), (276, 'D'), (455, 'A'), (1374, 'E1'), (63, 'C'), (525, 'C'), (580, 'C'), (1797, 'C'), (1725, 'G'), (1675, 'E'), (701, 'C'), (1741, 'E'), (295, 'B'), (835, 'C'), (450, 'C'), (1862, 'E'), (1462, 'E2'), (199, 'C'), (468, 'A'), (740, 'C'), (344, 'C'), (977, 'E'), (148, 'C'), (1110, 'C'), (1516, 'B'), (1742, 'G'), (1814, 'C'), (1059, 'C'), (357, 'C'), (1542, 'B'), (1423, 'K'), (84, 'C'), (1157, 'C2'), (29, 'C'), (66, 'D'), (1873, 'H'), (1352, 'F'), (1538, 'D'), (1695, 'C'), (1278, 'B'), (598, 'D'), (731, 'C'), (831, 'E'), (1459, 'C'), (1282, 'B2'), (253, 'C'), (1203, 'E'), (791, 'B'), (1408, 'C'), (1234, 'D'), (1213, 'D2'), (1131, 'F'), (1065, 'C'), (1527, 'C'), (1661, 'C'), (510, 'C'), (1487, 'D'), (959, 'C'), (1165, 'E'), (270, 'C'), (1759, 'E'), (402, 'C'), (1352, 'E'), (742, 'B'), (1833, 'F'), (1676, 'H2'), (591, 'C'), (1015, 'E1'), (1689, 'C'), (1304, 'C'), (1515, 'D'), (1253, 'D'), (1343, 'D'), (353, 'C'), (1037, 'D'), (1530, 'D'), (1519, 'D'), (339, 'D'), (1616, 'C'), (1833, 'E'), (476, 'C'), (577, 'C'), (1593, 'E'), (260, 'C'), (621, 'C'), (510, 'B'), (381, 'C'), (1872, 'E'), (1765, 'N'), (35, 'D'), (1003, 'D'), (18, 'A'), (1368, 'B'), (1523, 'C'), (834, 'C'), (1283, 'C'), (1249, 'C2'), (1694, 'D'), (1826, 'D'), (1066, 'E'), (1526, 'C2'), (118, 'D'), (1538, 'F'), (1485, 'C'), (1474, 'C'), (1551, 'C'), (706, 'C'), (490, 'C'), (466, 'C'), (534, 'C'), (545, 'C'), (1730, 'B'), (160, 'C'), (1234, 'C'), (349, 'C'), (1851, 'E'), (1791, 'F'), (1857, 'F'), (1487, 'C'), (1462, 'E1'), (75, 'B'), (1714, 'G'), (1703, 'G'), (1075, 'C'), (518, 'D'), (702, 'B'), (1840, 'E'), (507, 'C'), (1512, 'E'), (155, 'C'), (496, 'C'), (35, 'B'), (1213, 'D1'), (1015, 'D'), (1742, 'F'), (1253, 'C'), (1068, 'C'), (445, 'C'), (1857, 'E'), (28, 'B'), (1102, 'E'), (490, 'B'), (1294, 'D'), (1062, 'B'), (1, 'B'), (1133, 'D'), (1849, 'C'), (1800, 'E2'), (75, 'C'), (1186, 'D'), (1352, 'G'), (275, 'C'), (1714, 'D'), (35, 'C'), (486, 'C'), (451, 'C'), (1702, 'E'), (496, 'B'), (127, 'D'), (939, 'D'), (1520, 'F1'), (484, 'A'), (550, 'A')}",225
I_want,1711,Yes,1711,"{(1731, 'D'), (1833, 'F'), (1857, 'F'), (1771, 'C'), (1861, 'C'), (1731, 'C'), (1766, 'D'), (1775, 'C'), (1777, 'C'), (1779, 'D'), (1862, 'E'), (1869, 'D1'), (1706, 'D1'), (1856, 'C'), (1849, 'D'), (1857, 'E'), (1743, 'D'), (1765, 'D'), (1864, 'D'), (1783, 'C'), (1849, 'C'), (1708, 'C'), (1796, 'C'), (1767, 'D'), (1619, 'E'), (1879, 'D'), (1776, 'F'), (1842, 'C')}",28
pattagobhii,1640,Yes,1617,"{(1498, 'C'), (1731, 'D'), (1765, 'K'), (1475, 'E'), (1822, 'G1'), (1503, 'A'), (1760, 'F'), (1537, 'E1'), (1537, 'D'), (1505, 'B'), (1547, 'E'), (1779, 'C'), (1856, 'C'), (1850, 'G'), (1583, 'C'), (1673, 'C'), (1628, 'B'), (1633, 'D'), (1467, 'B'), (1765, 'D'), (1732, 'D1'), (1692, 'H'), (1796, 'C'), (1767, 'D'), (1461, 'D'), (1622, 'C'), (1582, 'D'), (1722, 'E'), (1476, 'D'), (1555, 'D'), (1843, 'E'), (1490, 'F'), (1482, 'B'), (1822, 'F'), (1829, 'G'), (1740, 'D'), (1512, 'G'), (1486, 'B'), (1562, 'C'), (1795, 'D'), (1858, 'B'), (1607, 'E'), (1486, 'C1'), (1810, 'D'), (1554, 'B'), (1359, 'C'), (1731, 'C'), (1775, 'C'), (1725, 'G'), (1469, 'C'), (1675, 'E'), (1741, 'E'), (1658, 'D1'), (1862, 'E'), (1363, 'C'), (1869, 'D1'), (1690, 'E'), (1550, 'C'), (1822, 'E'), (1799, 'C'), (1482, 'C'), (1516, 'B'), (1658, 'C'), (1748, 'C'), (1742, 'G'), (1431, 'C'), (1814, 'C'), (1774, 'D'), (1423, 'K'), (1468, 'D'), (1538, 'D'), (1499, 'C'), (1699, 'C'), (1670, 'D'), (1514, 'C'), (1569, 'C'), (1659, 'C'), (1776, 'F'), (1406, 'C'), (1461, 'C'), (1516, 'C'), (1661, 'C'), (1487, 'D'), (1738, 'C'), (1553, 'D'), (1476, 'C'), (1698, 'D'), (1542, 'C'), (1709, 'D'), (1759, 'E'), (1468, 'K'), (1833, 'F'), (1676, 'H2'), (1630, 'A'), (1774, 'B'), (1861, 'C'), (1766, 'D'), (1623, 'C'), (1689, 'C'), (1515, 'D'), (1760, 'G'), (1332, 'D'), (1575, 'J'), (1817, 'A'), (1519, 'D'), (1687, 'A'), (1651, 'C'), (1833, 'E'), (1616, 'C'), (1849, 'D'), (1611, 'D'), (1593, 'E'), (1798, 'D'), (1872, 'E'), (1864, 'D'), (1753, 'B'), (1811, 'D'), (1526, 'C2'), (1468, 'F'), (1545, 'A'), (1842, 'C'), (1646, 'C'), (1538, 'F'), (1419, 'C'), (1702, 'E'), (1873, 'G'), (1551, 'C'), (1776, 'L'), (1511, 'D'), (1506, 'E'), (1730, 'B'), (1772, 'E'), (1851, 'E'), (1835, 'A'), (1857, 'F'), (1804, 'C'), (1487, 'C'), (1462, 'E1'), (1703, 'G'), (1714, 'G'), (1557, 'C'), (1779, 'D'), (1840, 'E'), (1539, 'D'), (1512, 'E'), (1707, 'A'), (1742, 'F'), (1472, 'E'), (1801, 'A'), (1857, 'E'), (1458, 'A'), (1829, 'H'), (1578, 'H'), (1783, 'C'), (1849, 'C'), (1437, 'D'), (1800, 'E2'), (1687, 'B'), (1809, 'C'), (1492, 'C'), (1452, 'D'), (1879, 'D'), (1526, 'C1'), (1615, 'C'), (1660, 'E')}",165
shivaram_22,1935,Yes,1935,"{(1498, 'C'), (369, 'C'), (1497, 'C2'), (1469, 'D'), (1326, 'D1'), (474, 'D'), (763, 'A'), (1366, 'C'), (446, 'A'), (371, 'C'), (1497, 'E1'), (1165, 'D'), (1405, 'C'), (998, 'C'), (1350, 'C'), (778, 'A'), (1365, 'D'), (1339, 'C'), (1592, 'C'), (1325, 'D'), (546, 'D'), (1207, 'C'), (274, 'A'), (1418, 'C'), (1484, 'C'), (1473, 'C'), (1288, 'C'), (1332, 'C'), (1633, 'D'), (1422, 'C'), (1263, 'D'), (1345, 'C'), (1567, 'C'), (416, 'C'), (1622, 'C'), (777, 'C'), (1305, 'C'), (1384, 'C'), (1582, 'D'), (1199, 'D'), (682, 'C'), (877, 'B'), (165, 'C'), (431, 'C'), (1843, 'E'), (1476, 'D'), (1093, 'D'), (1490, 'F'), (1360, 'F'), (977, 'F'), (1307, 'C'), (891, 'A'), (1486, 'B'), (1858, 'B'), (322, 'B'), (1106, 'D'), (567, 'C'), (1607, 'E'), (1301, 'B'), (1486, 'C1'), (1333, 'C'), (659, 'D'), (276, 'D'), (1374, 'E1'), (1586, 'C'), (1665, 'C'), (1359, 'C'), (1469, 'C'), (1385, 'D'), (1614, 'C'), (295, 'B'), (1658, 'D1'), (780, 'C'), (1363, 'C'), (812, 'B'), (1869, 'D1'), (489, 'D'), (468, 'A'), (1550, 'C'), (1455, 'D'), (1195, 'D1'), (1516, 'B'), (1658, 'C'), (377, 'A'), (1341, 'C'), (1257, 'D'), (553, 'A'), (106, 'C'), (1301, 'C'), (1325, 'C'), (467, 'C'), (1296, 'D'), (1272, 'D'), (1352, 'F'), (1196, 'D2'), (1499, 'C'), (1248, 'C'), (1393, 'C'), (615, 'B'), (1282, 'B2'), (1514, 'C'), (1353, 'D'), (1569, 'C'), (1659, 'C'), (1324, 'E'), (1234, 'D'), (1336, 'A'), (1213, 'D2'), (1406, 'C'), (1395, 'C'), (372, 'A'), (1516, 'C'), (607, 'A'), (1199, 'C'), (1661, 'C'), (1487, 'D'), (510, 'C'), (814, 'C'), (1342, 'C'), (1476, 'C'), (919, 'D'), (1621, 'C'), (1227, 'D1'), (1352, 'E'), (1051, 'D'), (219, 'C'), (1330, 'D'), (1379, 'A'), (1623, 'C'), (1217, 'B'), (1504, 'D'), (1372, 'C'), (1304, 'C'), (1348, 'C'), (276, 'C'), (1343, 'D'), (1609, 'D'), (1419, 'D2'), (339, 'D'), (1295, 'C'), (1340, 'B'), (1616, 'C'), (1255, 'C'), (1334, 'C'), (1611, 'D'), (1389, 'C'), (898, 'D'), (1371, 'D'), (349, 'B'), (1621, 'B'), (858, 'D'), (665, 'A'), (348, 'A'), (1236, 'B'), (1391, 'C'), (1368, 'B'), (1373, 'D'), (1362, 'D'), (1327, 'C'), (1604, 'D'), (659, 'E'), (1036, 'D'), (126, 'B'), (788, 'A'), (1337, 'D'), (118, 'D'), (1335, 'E1'), (603, 'A'), (1646, 'C'), (1364, 'C'), (1485, 'C'), (706, 'C'), (1551, 'C'), (235, 'A'), (1234, 'C'), (466, 'C'), (1511, 'D'), (545, 'C'), (500, 'B'), (611, 'C'), (1389, 'B'), (1196, 'D1'), (1154, 'D'), (1487, 'C'), (1608, 'C'), (1368, 'C'), (1051, 'C'), (1513, 'C'), (1491, 'C'), (1557, 'C'), (1175, 'B'), (1473, 'D'), (1251, 'C'), (1006, 'E'), (734, 'C'), (1151, 'B'), (1312, 'D'), (1196, 'C'), (1504, 'C'), (231, 'D'), (1625, 'C'), (1253, 'C'), (1398, 'C'), (1013, 'C'), (1453, 'C'), (1243, 'B2'), (1358, 'C'), (1379, 'B'), (1294, 'D'), (518, 'A'), (1133, 'D'), (1186, 'D'), (1352, 'G'), (1492, 'C'), (1481, 'C'), (1626, 'C'), (246, 'D'), (1056, 'D'), (913, 'C'), (550, 'A'), (601, 'A'), (639, 'B'), (1484, 'B'), (1399, 'D')}",224
Blue_Poison,1900,Yes,1900,"{(1632, 'C'), (1711, 'C'), (1671, 'D'), (1592, 'C'), (1581, 'C'), (1579, 'C'), (1754, 'C2'), (1583, 'C'), (1673, 'C'), (1739, 'C'), (1633, 'D'), (1644, 'D'), (1579, 'F'), (1767, 'D'), (1567, 'C'), (1582, 'D'), (1672, 'D'), (1562, 'D1'), (2, 'A'), (453, 'A'), (1740, 'D'), (1486, 'B'), (1607, 'E'), (1678, 'D'), (1771, 'C'), (1665, 'C'), (1675, 'E'), (1469, 'C'), (1741, 'E'), (1614, 'C'), (1546, 'C'), (1680, 'C'), (1658, 'D1'), (1451, 'D'), (1550, 'C'), (1455, 'D'), (1658, 'C'), (1737, 'C'), (1742, 'G'), (1748, 'C'), (1629, 'D'), (1774, 'D'), (1352, 'F'), (1631, 'C'), (1699, 'C'), (1670, 'D'), (1569, 'C'), (1659, 'C'), (1461, 'C'), (1661, 'C'), (1487, 'D'), (1553, 'D'), (1440, 'C1'), (1709, 'D'), (1759, 'E'), (1352, 'E'), (1676, 'H2'), (1660, 'F1'), (1774, 'B'), (1610, 'C'), (1678, 'C'), (1515, 'D'), (1660, 'D'), (1561, 'D1'), (1611, 'E1'), (1651, 'C'), (1616, 'C'), (1611, 'D'), (1593, 'E'), (1688, 'D'), (1743, 'D'), (1708, 'C'), (1604, 'D'), (1646, 'C'), (1730, 'B'), (1487, 'C'), (1462, 'E1'), (11, 'B'), (1594, 'D'), (1742, 'F'), (1625, 'C'), (1715, 'C'), (1770, 'C'), (1, 'B'), (1754, 'D'), (1688, 'C'), (1352, 'G'), (1619, 'E'), (1714, 'D'), (1481, 'C'), (1626, 'C'), (1580, 'A'), (1615, 'C'), (1660, 'E')}",94
