Contest,Index,Name,Tags
1153,C,Serval and Parenthesis Sequence,"greedy, strings"
1151,D,Stas and the Queue at the Buffet,"greedy, math, sortings"
1151,B,Dima and a Bad XOR,"bitmasks, brute force, constructive algorithms, dp"
1148,C,Crazy Diamond,"constructive algorithms, sortings"
1148,B,Born This Way,"binary search, brute force, two pointers"
1147,A,Hide and Seek,graphs
1146,C,Tree Diameter,"bitmasks, graphs, interactive"
1144,F,Graph Without Long Directed Paths,"dfs and similar, graphs"
1142,A,The Beatles,"brute force, math"
1141,E,Superhero Battle,math
1141,D,Colored Boots,"greedy, implementation"
1141,C,Polycarp Restores Permutation,math
1140,C,Playlist,"brute force, data structures, sortings"
1139,C,Edgy Trees,"dfs and similar, dsu, graphs, math, trees"
1137,B,Camp Schedule,"greedy, hashing, strings"
1137,A,Skyscrapers,"implementation, sortings"
1136,C,Nastya Is Transposing Matrices,"constructive algorithms, sortings"
1133,F1,Spanning Tree with Maximum Degree,graphs
1133,D,Zero Quantity Maximization,"hashing, math, number theory"
1132,C,Painting the Fence,brute force
1131,F,Asya And Kittens,"constructive algorithms, dsu"
1129,A1,Toy Train (Simplified),"brute force, greedy"
1121,C,System Testing,implementation
1119,C,Ramesses and Corner Inversion,"constructive algorithms, greedy, implementation, math"
1118,E,Yet Another Ball Problem,"constructive algorithms, implementation"
1118,D2,Coffee and Coursework (Hard Version),"binary search, greedy"
1118,D1,Coffee and Coursework (Easy version),"brute force, greedy"
1118,C,Palindromic Matrix,"constructive algorithms, implementation"
1115,U3,Block unitary,*special
1115,U2,Chessboard unitary,*special
1115,U1,Anti-diagonal unitary,*special
1115,G3,Palindrome checker oracle,*special
1115,G2,OR oracle,*special
1114,C,Trailing Loves (or L'oeufs?),"brute force, implementation, math, number theory"
1114,B,Yet Another Array Partitioning Task,"constructive algorithms, greedy, sortings"
1111,C,Creative Snap,"binary search, brute force, divide and conquer, math"
1111,B,Average Superhero Gang Power ,"brute force, implementation, math"
1110,C,Meaningless Operations,"constructive algorithms, math, number theory"
1109,A,Sasha and a Bit of Relax,"dp, implementation"
1106,D,Lunar New Year and a Wander,"data structures, dfs and similar, graphs, greedy, shortest paths"
1106,B,Lunar New Year and Food Ordering,"data structures, implementation"
1105,C,Ayoub and Lost Array,"combinatorics, dp, math"
1102,E,Monotonic Renumeration,"combinatorics, sortings"
1102,D,Balanced Ternary String,"greedy, strings"
1101,E,Polycarp's New Job,implementation
1101,C,Division and Union,sortings
1098,A,Sum in the tree,"constructive algorithms, dfs and similar, greedy, trees"
1096,C,Polygon for the Angle,"brute force, geometry"
1095,D,Circular Dance,implementation
1093,D,Beautiful Graph,"dfs and similar, graphs"
1092,C,Prefixes and Suffixes,strings
1091,D,New Year and the Permutation Concatenation,"combinatorics, dp, math"
1089,G,Guest Student,math
1089,E,Easy Chess,constructive algorithms
1085,D,Minimum Diameter Tree,"constructive algorithms, implementation, trees"
1085,C,Connect Three,"implementation, math"
1084,C,The Fair Nut and String,"combinatorics, dp, implementation"
1082,C,Multi-Subject Competition,"greedy, sortings"
1082,B,Vova and Trophies,greedy
1081,C,Colorful Bricks,"combinatorics, dp, math"
1081,B,Farewell Party,"constructive algorithms, implementation"
1080,C,Masha and two friends,implementation
1077,D,Cutting Out,"binary search, sortings"
1073,D,Berland Fair,"binary search, brute force, data structures, greedy"
1070,H,BerOS File Suggestion,"brute force, implementation"
1070,F,Debate,greedy
1068,C,Colored Rooks,"constructive algorithms, graphs"
1066,E,Binary Numbers AND Sum,"data structures, implementation, math"
1066,B,Heaters,"greedy, two pointers"
1065,C,Make It Equal,greedy
1062,C,Banh-mi,"greedy, implementation, math"
1062,B,Math,"greedy, math, number theory"
1061,C,Multiplicity,"data structures, dp, implementation, math, number theory"
1060,C,Maximum Subrectangle,"binary search, implementation, two pointers"
1059,C,Sequence Transformation,"constructive algorithms, math"
1056,D,Decorate Apple Tree,"constructive algorithms, dfs and similar, dp, graphs, greedy, sortings, trees"
1056,C,Pick Heroes,"greedy, implementation, interactive, sortings"
1056,B,Divide Candies,"math, number theory"
1054,C,Candies Distribution,"constructive algorithms, implementation"
1051,D,Bicolorings,"bitmasks, dp"
1051,C,Vasya and Multisets,"brute force, dp, greedy, implementation, math"
1045,I,Palindrome Pairs,"hashing, strings"
1044,A,The Tower is Going Home,"binary search, two pointers"
1043,D,Mysterious Crime,"brute force, combinatorics, math, meet-in-the-middle, two pointers"
1043,C,Smallest Word,"constructive algorithms, greedy, implementation"
1042,C,Array Product,"constructive algorithms, greedy, math"
1041,D,Glider,"binary search, data structures, two pointers"
1041,C,Coffee Break,"binary search, data structures, greedy, two pointers"
1037,D,Valid BFS?,"dfs and similar, graphs, shortest paths, trees"
1036,D,Vasya and Arrays,"greedy, two pointers"
1036,B,Diagonal Walking v.2,math
1033,C,Permutation Game,"brute force, dp, games"
1032,C,Playing Piano,"constructive algorithms, dp"
1031,C,Cram Time,greedy
1031,B,Curiosity Has No Limits,
1029,C,Maximal Intersection,"greedy, math, sortings"
1028,C,Rectangles,"geometry, implementation, sortings"
1027,D,Mouse Hunt,"dfs and similar, graphs"
1027,C,Minimum Value Rectangle,greedy
1025,C,Plasticine zebra,"constructive algorithms, implementation"
1025,B,Weakened Common Divisor,"brute force, greedy, number theory"
1023,D,Array Restoration,"constructive algorithms, data structures"
1019,A,Elections,"brute force, greedy"
1017,C,The Phone Number,"constructive algorithms, greedy"
1015,E1,Stars Drawing (Easy Edition),"brute force, dp, greedy"
1015,D,Walking Between Houses,"constructive algorithms, greedy"
1012,A,Photo of The Sky,"brute force, implementation, math, sortings"
1010,A,Fly,"binary search, math"
1009,D,Relatively Prime Graph,"brute force, constructive algorithms, graphs, greedy, math"
1009,C,Annoying Present,"greedy, math"
1006,E,Military Problem,"dfs and similar, graphs, trees"
1006,D,Two Strings Swaps,implementation
1005,D,Polycarp and Div 3,"dp, greedy, number theory"
1003,D,Coins and Queries,greedy
1002,E1,Bernstein-Vazirani algorithm,
1002,D3,Oracle for majority function,
1002,C1,Distinguish zero state and plus state with minimum error,
1002,B4,Distinguish four 2-qubit states - 2,
1002,B3,Distinguish four 2-qubit states,
1002,B2,Distinguish GHZ state and W state,
1002,A3,Generate superposition of two basis states,
1001,I,Deutsch-Jozsa algorithm,*special
1001,E,Distinguish Bell states,*special
1000,C,Covered Points Count,"data structures, implementation, sortings"
1000,B,Light It Up,greedy
997,A,Convert to Ones,"brute force, greedy, implementation, math"
993,A,Two Squares,"geometry, implementation"
992,C,Nastya and a Wardrobe,math
992,B,Nastya Studies Informatics,"math, number theory"
991,D,Bishwock,"dp, greedy"
991,C,Candies,"binary search, implementation"
990,D,Graph And Its Complement,"constructive algorithms, graphs, implementation"
990,C,Bracket Sequences Concatenation Problem,implementation
986,A,Fair,"graphs, greedy, number theory, shortest paths"
985,C,Liebig's Barrels,greedy
983,A,Finite or not?,"implementation, math"
982,C,Cut 'em all!,"dfs and similar, dp, graphs, greedy, trees"
980,C,Posterized,"games, greedy"
980,B,Marlin,constructive algorithms
979,C,Kuro and Walking Route,"dfs and similar, trees"
978,G,Petya's Exams,"greedy, implementation, sortings"
978,F,Mentors,"binary search, data structures, implementation"
978,D,Almost Arithmetic Progression,"brute force, implementation, math"
977,F,Consecutive Subsequence,dp
977,E,Cyclic Components,"dfs and similar, dsu, graphs"
976,C,Nested Segments,"greedy, implementation, sortings"
962,D,Merge Equals,"data structures, implementation"
960,C,Subsequence Counting,"bitmasks, constructive algorithms, greedy, implementation"
960,B,Minimize the error,"data structures, greedy, sortings"
959,C,Mahmoud and Ehab and the wrong algorithm,"constructive algorithms, trees"
958,F1,Lightsabers (easy),implementation
958,E1,Guard Duty (easy),"brute force, geometry, greedy, math"
954,D,Fight Against Traffic,"dfs and similar, graphs, shortest paths"
954,C,Matrix Walk,implementation
952,C,Ravioli Sort,implementation
949,B,A Leapfrog in the Array,"constructive algorithms, math"
949,A,Zebras,greedy
940,D,Alena And The Heater,"binary search, implementation"
940,C,Phone Numbers,"constructive algorithms, implementation, strings"
939,D,Love Rescue,"dfs and similar, dsu, graphs, greedy, strings"
939,C,Convenient For Everybody,"binary search, two pointers"
938,C,Constructing Tests,"binary search, brute force, constructive algorithms"
936,A,Save Energy!,"binary search, implementation, math"
935,C,Fifa and Fafa,geometry
932,C,Permutation Cycle,"brute force, constructive algorithms"
931,C,Laboratory Work,"implementation, math"
930,B,Game with String,"implementation, probabilities, strings"
930,A,Peculiar apple-tree,"dfs and similar, graphs, trees"
929,C,Красивая команда,"*special, combinatorics, math"
926,I,A Vital Problem,
926,G,Large Bouquets,
926,D,Choose Place,
926,C,Is This a Zebra?,implementation
925,B,Resource Distribution,"binary search, implementation, sortings"
925,A,Stairs and Elevators,binary search
924,C,Riverside Curio,"data structures, dp, greedy"
924,B,Three-level Laser,"binary search, greedy, two pointers"
923,B,Producing Snow,"binary search, data structures"
923,A,Primal Sport,"math, number theory"
922,C,Cave Painting,"brute force, number theory"
919,D,Substring,"dfs and similar, dp, graphs"
917,B,MADMAX,"dfs and similar, dp, games, graphs"
916,C,Jamie and Interesting Graph,"constructive algorithms, graphs, shortest paths"
915,C,Permute Digits,"dp, greedy"
913,C,Party Lemonade,"bitmasks, dp, greedy"
910,C,Minimum Sum,"constructive algorithms, greedy, math"
910,B,Door Frames,"greedy, implementation"
908,C,New Year and Curling,"brute force, geometry, implementation, math"
906,A,Shockers,"implementation, strings"
901,A,Hashing Trees,"constructive algorithms, trees"
900,C,Remove Extra One,"brute force, data structures, math"
898,E,Squares and not squares,"constructive algorithms, greedy"
898,D,Alarm Clock,greedy
896,A,Nephren gives a riddle,"binary search, dfs and similar"
895,B,XK Segments,"binary search, math, sortings, two pointers"
891,A,Pride,"brute force, dp, greedy, math, number theory"
888,D,Almost Identity Permutations,"combinatorics, dp, math"
887,C,Solution for Cube,"brute force, implementation"
884,C,Bertown Subway,"dfs and similar, greedy, math"
883,E,Field of Wonders,"implementation, strings"
878,A,Short Program,"bitmasks, constructive algorithms"
877,C,Slava and tanks,constructive algorithms
877,B,Nikita and string,"brute force, dp"
875,B,Sorting the Coins,"dsu, implementation, sortings, two pointers"
873,C,Strange Game On Matrix,"greedy, two pointers"
873,B,Balanced Substring,"dp, implementation"
868,C,Qualification Rounds,"bitmasks, brute force, constructive algorithms, dp"
864,D,Make a Permutation!,"greedy, implementation, math"
864,C,Bus,"greedy, implementation, math"
863,B,Kayaking,"brute force, greedy, sortings"
859,C,Pie Rules,"dp, games"
858,D,Polycarp's phone book,"data structures, implementation, sortings"
858,C,Did you mean...,"dp, greedy, implementation"
858,B,Which floor?,"brute force, implementation"
856,A,Set Theory,"brute force, constructive algorithms"
855,B,Marvolo Gaunt's Ring,"brute force, data structures, dp"
853,A,Planning,greedy
852,G,Bathroom terminal,implementation
850,A,Five Dimensional Points,"brute force, geometry, math"
849,B,Tell Your World,"brute force, geometry"
848,A,From Y to Y,constructive algorithms
847,H,Load Testing,greedy
847,B,Preparing for Merge Sort,"binary search, data structures"
847,A,Union of Doubly Linked Lists,implementation
846,A,Curriculum Vitae,"brute force, implementation"
845,C,Two TVs,"data structures, greedy, sortings"
845,B,Luba And The Ticket,"brute force, greedy, implementation"
839,C,Journey,"dfs and similar, dp, graphs, probabilities, trees"
837,C,Two Seals,"brute force, implementation"
837,B,Flag of Berland,"brute force, implementation"
835,C,Star sky,"dp, implementation"
833,A,The Meaningless Game,"math, number theory"
832,B,Petya and Exam,"implementation, strings"
831,C,Jury Marks,"brute force, constructive algorithms"
830,B,Cards Sorting,"data structures, implementation, sortings"
827,A,String Reconstruction,"data structures, greedy, sortings, strings"
825,D,Suitable Replacement,"binary search, greedy, implementation"
825,C,Multi-judge Solving,"greedy, implementation"
825,B,Five-In-a-Row,"brute force, implementation"
822,C,"Hacker, pack your bags!","binary search, greedy, implementation, sortings"
821,C,Okabe and Boxes,"data structures, greedy, trees"
818,D,Multicolored Cars,"data structures, implementation"
818,B,Permutation Game,implementation
817,C,Really Big Numbers,"binary search, brute force, dp, math"
817,B,Makes And The Product,"combinatorics, implementation, math, sortings"
815,A,Karen and Game,"brute force, greedy, implementation"
814,C,An impassioned circulation of affection,"brute force, dp, strings, two pointers"
813,C,The Tag Game,"dfs and similar, graphs"
812,C,Sagheer and Nubian Market,"binary search, sortings"
812,B,"Sagheer, the Hausmeister","bitmasks, brute force, dp"
809,A,Do you want a date?,"implementation, math, sortings"
798,C,Mike and gcd problem,"dp, greedy, number theory"
797,C,Minimal string,"data structures, greedy, strings"
793,B,Igor and his way to work,"dfs and similar, graphs, implementation, shortest paths"
789,B,Masha and geometric depression,"brute force, implementation, math"
788,A,Functions again,"dp, two pointers"
785,C,Anton and Fairy Tale,"binary search, math"
784,A,Numbers Joke,*special
780,C,Andryusha and Colored Balloons,"dfs and similar, graphs, greedy, trees"
780,B,The Meeting Place Cannot Be Changed,binary search
778,A,String Game,"binary search, greedy, strings"
777,C,Alyona and Spreadsheet,"binary search, data structures, dp, greedy, implementation, two pointers"
774,K,Stepan and Vowels,"*special, implementation, strings"
774,D,Lie or Truth,"*special, constructive algorithms, implementation, sortings"
773,A,Success Rate,"binary search, math"
771,B,Bear and Different Names,"constructive algorithms, greedy"
771,A,Bear and Friendship Condition,"dfs and similar, dsu, graphs"
770,C,Online Courses In BSU,"*special, dfs and similar, graphs, implementation"
769,D,k-Interesting Pairs Of Integers,"*special, bitmasks, brute force, meet-in-the-middle"
769,C,Cycle In Maze,"*special, dfs and similar, graphs, greedy, shortest paths"
768,B,Code For 1,"constructive algorithms, dfs and similar, divide and conquer"
766,C,Mahmoud and a Message,"brute force, dp, greedy, strings"
765,D,Artsem and Saunders,"constructive algorithms, dsu, math"
763,A,Timofey and a tree,"dfs and similar, dp, dsu, graphs, implementation, trees"
761,D,Dasha and Very Difficult Problem,"binary search, brute force, constructive algorithms, greedy, sortings"
761,C,Dasha and Password,"brute force, dp, implementation"
760,B,Frodo and pillows,"binary search, greedy"
758,C,Unfair Poll,"binary search, constructive algorithms, implementation, math"
756,B,Travel Card,"binary search, dp"
756,A,Pavel and barbecue,"constructive algorithms, dfs and similar"
753,B,Interactive Bulls and Cows (Easy),"brute force, constructive algorithms, implementation"
750,C,New Year and Rating,"binary search, greedy, math"
749,C,Voting,"greedy, implementation, two pointers"
748,B,Santa Claus and Keyboard Check,"implementation, strings"
747,E,Comments,"dfs and similar, expression parsing, implementation, strings"
746,D,Green and Black Tea,"constructive algorithms, greedy, math"
746,C,Tram,"constructive algorithms, implementation, math"
744,A,Hongcow Builds A Nation,"dfs and similar, graphs"
743,C,Vladik and fractions,"brute force, constructive algorithms, math, number theory"
742,B,Arpa’s obvious problem and Mehrdad’s terrible solution,"brute force, math, number theory"
741,B,Arpa's weak amphitheater and Mehrdad's valuable Hoses,"dfs and similar, dp, dsu"
741,A,Arpa's loud Owf and Mehrdad's evil plan,"dfs and similar, math"
739,A,Alyona and mex,"constructive algorithms, greedy"
735,D,Taxes,"math, number theory"
735,C,Tennis Championship,"combinatorics, constructive algorithms, greedy, math"
734,D,Anton and Chess,implementation
734,C,Anton and Making Potions,"binary search, dp, greedy, two pointers"
733,D,Kostya the Sculptor,"data structures, hashing"
732,D,Exams,"binary search, greedy, sortings"
731,C,Socks,"dfs and similar, dsu, graphs, greedy"
730,G,Car Repair Shop,implementation
729,D,Sea Battle,"constructive algorithms, greedy, math"
729,C,Road to Cinema,"binary search, greedy, sortings"
727,B,Bill Total Value,"expression parsing, implementation, strings"
725,C,Hidden Word,"brute force, constructive algorithms, implementation, strings"
724,B,Batch Sort,"brute force, greedy, implementation, math"
723,D,Lakes in Berland,"dfs and similar, dsu, graphs, greedy, implementation"
723,C,Polycarp at the Radio,greedy
722,C,Destroying Array,"data structures, dsu"
718,A,Efim and Strange Grade,"dp, implementation, math"
715,A,Plus and Square Root,"constructive algorithms, math"
712,C,Memory and De-Evolution,"greedy, math"
711,C,Coloring Trees,dp
710,C,Magic Odd Square,"constructive algorithms, math"
709,B,Checkpoints,"greedy, implementation, sortings"
707,C,Pythagorean Triples,"math, number theory"
706,C,Hard problem,"dp, strings"
704,A,Thor,"brute force, data structures, implementation"
702,C,Cellular Network,"binary search, implementation, two pointers"
702,B,Powers of Two,"brute force, data structures, implementation, math"
701,C,They Are Everywhere,"binary search, strings, two pointers"
698,B,Fix a Tree,"constructive algorithms, dfs and similar, dsu, graphs, trees"
696,B,Puzzles,"dfs and similar, math, probabilities, trees"
696,A,Lorenzo Von Matterhorn,"brute force, data structures, implementation, trees"
691,D,Swaps in Permutation,"dfs and similar, dsu, math"
691,B,s-palindrome,"implementation, strings"
690,C2,Brain Network (medium),"dfs and similar, graphs, trees"
690,B1,Recover Polygon (easy),
689,C,Mike and Chocolate Thieves,"binary search, combinatorics, math"
689,B,Mike and Shortcuts,"dfs and similar, graphs, greedy, shortest paths"
687,A,NP-Hard Problem,"dfs and similar, graphs"
685,A,Robbers' watch,"brute force, combinatorics, dp, math"
683,C,Symmetric Difference,*special
683,B,The Teacher of Physical Education,*special
682,C,Alyona and the Tree,"dfs and similar, dp, graphs, trees"
681,C,Heap Operations,"constructive algorithms, data structures, greedy"
678,D,Iterated Linear Function,"math, number theory"
678,C,Joty and Chocolate,"implementation, math, number theory"
678,B,The Same Calendar,implementation
677,C,Vanya and Label,"bitmasks, combinatorics, implementation, strings"
676,C,Vasya and String,"binary search, dp, strings, two pointers"
676,B,Pyramid of Glasses,"implementation, math, math"
670,E,Correct Bracket Sequence Editor,"data structures, dsu, strings"
670,D2,Magic Powder - 2,"binary search, implementation"
665,A,Buses Between Cities,implementation
660,C,Hard Process,"binary search, dp, two pointers"
659,E,New Reform,"data structures, dfs and similar, dsu, graphs, greedy"
659,D,Bicycle Race,"geometry, implementation, math"
656,B,Scrambled,"*special, implementation"
645,C,Enduring Exodus,"binary search, two pointers"
644,B,Processing Queries,"*special, constructive algorithms, data structures, two pointers"
643,B,Bear and Two Paths,"constructive algorithms, graphs"
643,A,Bear and Colors,implementation
639,B,Bear and Forgotten Tree 3,"constructive algorithms, graphs, trees"
638,B,Making Genome in Berland,"*special, dfs and similar, strings"
637,D,Running with Obstacles,"*special, data structures, dp, greedy"
632,C,The Smallest String Concatenation,"sortings, strings"
631,C,Report,"data structures, sortings"
630,Q,Pyramids,"geometry, math"
630,K,Indivisibility,"math, number theory"
630,I,Parking Lot,"combinatorics, math"
630,G,Challenge Pennants,"combinatorics, math"
627,B,Factory Repairs,data structures
627,A,XOR Equation,"dp, math"
626,C,Block Towers,"brute force, greedy, math, number theory"
625,A,Guest From the Past,"implementation, math"
622,C,Not Equal on a Segment,"data structures, implementation"
621,C,Wet Shark and Flowers,"combinatorics, math, number theory, probabilities"
620,C,Pearls in a Row,greedy
618,C,Constellation,"geometry, implementation"
617,D,Polyline,"constructive algorithms, implementation"
617,C,Watering Flowers,implementation
616,D,Longest k-Good Segment,"binary search, data structures, two pointers"
616,C,The Labyrinth,dfs and similar
615,B,Longtail Hedgehog,"dp, graphs"
614,A,Link/Cut Tree,"brute force, implementation"
611,C,New Year and Domino,"dp, implementation"
609,C,Load Balancing,"implementation, math"
608,B,Hamming Distance Sum,"combinatorics, strings"
607,A,Chain Reaction,"binary search, dp"
606,B,Testing Robots,implementation
605,B,Lazy Student,"constructive algorithms, data structures, graphs"
605,A,Sorting Railway Cars,"constructive algorithms, greedy"
603,A,Alternative Thinking,"dp, greedy, math"
601,A,The Two Routes,"graphs, shortest paths"
600,A,Extract Numbers,"implementation, strings"
599,C,Day at the Beach,sortings
599,B,Spongebob and Joke,implementation
598,D,Igor In the Museum,"dfs and similar, graphs, shortest paths"
597,B,Restaurant,"dp, greedy, sortings"
597,A,Divisibility,math
596,C,Wilbur and Points,"combinatorics, greedy, sortings"
595,B,Pasha and Phone,"binary search, math"
593,B,Anton and Lines,"geometry, sortings"
590,A,Median Smoothing,implementation
587,A,Duff and Weight Lifting,greedy
585,B,Phillip and Trains,"dfs and similar, graphs, shortest paths"
584,C,Marina and Vasya,"constructive algorithms, greedy, strings"
584,B,Kolya and Tanya ,combinatorics
582,A,GCD Table,"constructive algorithms, greedy, number theory"
581,D,Three Logos,"bitmasks, brute force, constructive algorithms, geometry, implementation, math"
580,C,Kefa and Park,"dfs and similar, graphs, trees"
580,B,Kefa and Company,"binary search, sortings, two pointers"
578,B,"""Or"" Game","brute force, greedy"
578,A,A Problem about Polyline,"geometry, math"
576,A,Vasya and Petya's Game,"math, number theory"
575,D,Tablecity,"constructive algorithms, implementation"
574,B,Bear and Three Musketeers,"brute force, dfs and similar, graphs, hashing"
573,B,Bear and Blocks,"binary search, data structures, dp, math"
570,C,Replacement,"constructive algorithms, data structures, implementation"
569,A,Music,"implementation, math"
568,A,Primes or Palindromes?,"brute force, implementation, math, number theory"
567,D,One-Dimensional Battle Ships,"binary search, data structures, greedy, sortings"
567,C,Geometric Progression,"binary search, data structures, dp"
566,F,Clique in the Divisibility Graph,"dp, math, number theory"
559,B,Equivalent Strings,"divide and conquer, hashing, sortings, strings"
559,A,Gerald's Hexagon,"brute force, geometry, math"
557,B,Pasha and Tea,"constructive algorithms, implementation, math, sortings"
555,A,Case of Matryoshkas,implementation
553,A,Kyoya and Colored Balls,"combinatorics, dp, math"
550,C,Divisibility by Eight,"brute force, dp, math"
550,A,Two Substrings,"brute force, dp, greedy, implementation, strings"
546,D,Soldier and Number Game,"constructive algorithms, dp, math, number theory"
545,C,Woodcutters,"dp, greedy"
540,B,School Marks,"greedy, implementation"
538,C,Tourist's Notes,"binary search, brute force, greedy, implementation, math"
534,C,Polycarpus' Dice,math
533,C,Board Game,"games, greedy, implementation, math"
530,E,Sum and product,*special
530,D,Set subtraction,*special
530,C,Diophantine equation,*special
530,B,String inside out,*special
530,A,Quadratic equation,*special
527,C,Glass Carving,"binary search, data structures, implementation"
527,B,Error Correct System,greedy
525,C,Ilya and Sticks,"greedy, math, sortings"
524,B,Фото на память - 2 (round version),"dp, greedy"
524,A,"Возможно, вы знаете этих людей?",implementation
523,D,Statistics of Recompressing Videos,"*special, data structures, implementation"
523,B,Mean Requests,"*special, implementation"
520,C,DNA Alignment,"math, strings"
518,D,Ilya and Escalator,"combinatorics, dp, math, probabilities"
518,C,Anya and Smartphone,"constructive algorithms, data structures, implementation"
518,A,Vitaly and Strings,"constructive algorithms, strings"
510,C,Fox And Names,"dfs and similar, graphs, sortings"
510,B,Fox And Two Dots,dfs and similar
508,C,Anya and Ghosts,"constructive algorithms, greedy"
507,C,Guess Your Way Out!,"implementation, math, trees"
501,C,Misha and Forest,"constructive algorithms, data structures, greedy, sortings, trees"
500,C,New Year Book Reading,"constructive algorithms, greedy, implementation, math"
500,B,New Year Permutation,"dfs and similar, dsu, graphs, greedy, math, sortings"
498,A,Crazy Town,geometry
496,C,Removing Columns,"brute force, constructive algorithms, implementation"
496,B,Secret Combination,"brute force, constructive algorithms, implementation"
495,B,Modular Equations,"math, number theory"
494,A,Treasure,greedy
493,D,Vasya and Chess,"constructive algorithms, games, math"
493,C,Vasya and Basketball,"binary search, brute force, data structures, implementation, sortings, two pointers"
490,C,Hacking Cypher,"brute force, math, number theory, strings"
490,B,Queue,"dsu, implementation"
489,D,Unbearable Controversy of Being,"brute force, combinatorics, dfs and similar, graphs"
486,C,Palindrome Transformation,"brute force, greedy, implementation"
484,A,Bits,"bitmasks, constructive algorithms"
479,D,Long Jumps,"binary search, greedy, implementation"
476,C,Dreamoon and Sums,math
474,D,Flowers,dp
471,C,MUH and House of Cards,"binary search, brute force, greedy, math"
468,A,24 Game,"constructive algorithms, greedy, math"
467,C,George and Job,"dp, implementation"
466,C,Number of Ways,"binary search, brute force, data structures, dp, two pointers"
464,A,No to Palindromes!,"greedy, strings"
460,C,Present,"binary search, data structures, greedy"
460,B,Little Dima and Equation,"brute force, implementation, math, number theory"
457,A,Golden System,"math, meet-in-the-middle"
455,A,Boredom,dp
453,A,Little Pony and Expected Maximum,probabilities
451,C,Predict Outcome of the Game,"brute force, implementation, math"
449,A,Jzzhu and Chocolate,"greedy, math"
446,A,DZY Loves Sequences,"dp, implementation, two pointers"
444,A,DZY Loves Physics,"greedy, math"
443,B,Kolya and Tandem Repeat,"brute force, implementation, strings"
442,A,Borya and Hanabi,"bitmasks, brute force, implementation"
441,C,Valera and Tubes ,"constructive algorithms, dfs and similar, implementation"
440,B,Balancer,"greedy, implementation"
439,D,Devu and his Brother,"binary search, sortings, ternary search, two pointers"
439,C,Devu and Partitioning of the Array,"brute force, constructive algorithms, implementation, number theory"
437,B,The Child and Set,"bitmasks, greedy, implementation, sortings"
436,A,Feed with Candy,greedy
435,C,Cardiogram,implementation
431,C,k-Tree,"dp, implementation, trees"
430,A,Points and Segments (easy),"constructive algorithms, sortings"
429,B,Working out,dp
427,C,Checkposts,"dfs and similar, graphs, two pointers"
425,A,Sereja and Swaps,"brute force, sortings"
424,C,Magic Formulas,math
417,A,Elimination,"dp, implementation, math"
416,C,Booking System,"binary search, dp, greedy, implementation"
415,B,Mashmokh and Tokens,"binary search, greedy, implementation, math"
414,A,Mashmokh and Numbers,"constructive algorithms, number theory"
411,C,Kicker,implementation
411,B,Multi-core Processor,implementation
409,H,A + B Strikes Back,"*special, brute force, constructive algorithms, dsu, implementation"
409,D,Big Data,*special
409,C,Magnum Opus,*special
409,B,Mysterious Language,*special
409,A,The Great Game,*special
407,B,Long Path,"dp, implementation"
407,A,Triangle,"brute force, geometry, implementation, math"
405,D,Toy Sum,"greedy, implementation, math"
405,C,Unusual Product,"implementation, math"
404,B,Marathon,"implementation, math"
402,C,Searching for Graph,"brute force, constructive algorithms, graphs"
400,C,Inna and Huge Candy Matrix,"implementation, math"
387,C,George and Number,"greedy, implementation"
385,C,Bear and Prime Numbers,"binary search, brute force, data structures, dp, implementation, math, number theory"
384,B,Multitasking,"greedy, implementation, sortings, two pointers"
383,A,Milking cows,"data structures, greedy"
382,C,Arithmetic Progression,"implementation, sortings"
380,A,Sereja and Prefixes,"binary search, brute force"
377,A,Maze,dfs and similar
375,B,Maximum Submatrix 2,"data structures, dp, implementation, sortings"
375,A,Divisible by Seven,"math, number theory"
374,B,Inna and Nine,"combinatorics, greedy"
373,B,Making Sequences is Fun,"binary search, implementation, math"
372,A,Counting Kangaroos is Fun,"binary search, greedy, sortings, two pointers"
371,C,Hamburgers,"binary search, brute force"
369,C,Valera and Elections,"dfs and similar, graphs, trees"
367,A,Sereja and Algorithm ,"data structures, implementation"
364,A,Matrix,"combinatorics, data structures, implementation"
362,A,Two Semiknights Meet,"greedy, math"
360,A,Levko and Array Recovery,"greedy, implementation"
358,B,Dima and Text Messages,"brute force, strings"
356,A,Knight Tournament,"data structures, dsu"
354,A,Vasya and Robot,"brute force, greedy, math"
353,C,Find Maximum,"implementation, math, number theory"
350,C,Bombs,"greedy, implementation, sortings"
350,B,Resort,graphs
349,B,Color the Fence,"data structures, dp, greedy, implementation"
348,A,Mafia,"binary search, math, sortings"
346,A,Alice and Bob,"games, math, number theory"
345,A,Expecting Trouble,"*special, probabilities"
343,B,Alternating Current,"data structures, greedy, implementation"
343,A,Rational Resistance,"math, number theory"
342,B,Xenia and Spies,"brute force, greedy, implementation"
340,D,Bubble Sort Graph,"binary search, data structures, dp"
340,C,Tourist Problem,"combinatorics, implementation, math"
339,D,Xenia and Bit Operations,"data structures, trees"
339,C,Xenia and Weights,"constructive algorithms, dfs and similar, dp, graphs, greedy, shortest paths"
337,C,Quiz,"binary search, greedy, math, matrices, number theory"
333,A,Secrets,greedy
332,B,Maximum Absurdity,"data structures, dp, implementation"
331,B1,Shave Beaver!,implementation
331,A2,Oh Sweet Beaverette,"data structures, sortings"
329,B,Biridian Forest,"dfs and similar, shortest paths"
329,A,Purification,"constructive algorithms, greedy"
