Contest,Index,Name,Tags
1703,G,"Good Key, Bad Key","bitmasks, brute force, dp, greedy, math"
1702,F,Equate Multisets,"constructive algorithms, data structures, greedy, math, number theory"
1702,E,Split Into Two Sets,"dfs and similar, dsu, graphs"
1700,C,Helping the Nature,"constructive algorithms, data structures, greedy"
1699,C,The Third Problem,"combinatorics, constructive algorithms, math"
1698,D,Fixed Point Guessing,"binary search, constructive algorithms, interactive"
1695,C,Zero Path,"brute force, data structures, dp, graphs, greedy, shortest paths"
1693,B,Fake Plastic Trees,"dfs and similar, dp, greedy, trees"
1692,H,Gambling,"data structures, dp, greedy, math"
1690,F,Shifting String,"graphs, math, number theory, strings"
1690,E,Price Maximization,"binary search, greedy, math, two pointers"
1689,C,Infected Tree,"dfs and similar, dp, trees"
1688,C,Manipulating History,"constructive algorithms, greedy, strings"
1687,B,Railway System,"constructive algorithms, graphs, greedy, interactive, sortings"
1687,A,The Enchanted Forest,"brute force, greedy"
1684,D,Traps,"constructive algorithms, greedy, sortings"
1681,D,Required Length,"brute force, dfs and similar, dp, hashing, shortest paths"
1680,C,Binary String,"binary search, greedy, strings, two pointers"
1677,B,Tokitsukaze and Meeting,"data structures, implementation, math"
1677,A,Tokitsukaze and Strange Inequality,"brute force, data structures, dp"
1676,H2,Maximum Crossings (Hard Version),"data structures, divide and conquer, sortings"
1675,E,"Replace With the Previous, Minimize","dsu, greedy, strings"
1673,C,Palindrome Basis,"brute force, dp, math, number theory"
1672,D,Cyclic Rotation,"constructive algorithms, greedy, implementation, two pointers"
1671,D,Insert a Progression,"brute force, constructive algorithms, greedy"
1670,D,Very Suspicious,"binary search, brute force, geometry, greedy, implementation, math"
1665,C,Tree Infection,"binary search, greedy, sortings, trees"
1661,C,Water the Trees,"binary search, greedy, math"
1660,F1,Promising String (easy version),"brute force, implementation, math, strings"
1660,E,Matrix and Shifts,"brute force, constructive algorithms, greedy, implementation"
1660,D,Maximum Product Strikes Back,"brute force, implementation, math, two pointers"
1659,C,Line Empire,"binary search, brute force, dp, greedy, implementation, math"
1658,D1,388535 (Easy Version),"bitmasks, math"
1658,C,Shinju and the Lost Permutation,"constructive algorithms, math"
1651,C,Fault-tolerant Network,"brute force, data structures, implementation"
1646,C,Factorials and Powers of Two,"bitmasks, brute force, constructive algorithms, dp, math"
1644,D,Cross Coloring,"data structures, implementation, math"
1633,D,Make Them Equal,"dp, greedy"
1632,C,Strange Test,"binary search, bitmasks, brute force, dp, math"
1630,A,And Matching,"bitmasks, constructive algorithms"
1628,B,Peculiar Movie Preferences,"greedy, strings"
1626,C,Monsters And Spells,"binary search, data structures, dp, greedy, implementation, math, two pointers"
1625,C,Road Optimization,dp
1623,C,Balanced Stone Heaps,"binary search, greedy"
1622,C,Set or Decrease,"binary search, brute force, greedy, sortings"
1621,C,Hidden Permutations,"dfs and similar, interactive, math"
1621,B,Integers Shop,"data structures, greedy, implementation"
1619,E,MEX and Increments,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings"
1618,E,Singers' Tour,"constructive algorithms, math"
1616,C,Representative Edges,"brute force, geometry, implementation, math"
1615,C,Menorah,"brute force, graphs, greedy, math"
1614,C,Divan and bitwise operations,"bitmasks, combinatorics, constructive algorithms, dp, math"
1612,D,X-Magic Pair,"math, number theory"
1611,E1,Escape The Maze (easy version),"dfs and similar, greedy, shortest paths, trees, two pointers"
1611,D,Weights Assignment For Tree Edges,"constructive algorithms, trees"
1610,C,Keshi Is Throwing a Party,"binary search, greedy"
1609,D,Social Network,"dsu, graphs, greedy, implementation, trees"
1608,C,Game Master,"data structures, dfs and similar, dp, graphs, greedy, two pointers"
1607,E,Robot on the Board 1,implementation
1603,B,Moderate Modular Mode,"constructive algorithms, math, number theory"
1598,D,Training Session,"combinatorics, data structures, geometry, implementation, math"
1594,D,The Number of Imposters,"constructive algorithms, dfs and similar, dp, dsu, graphs"
1593,E,Gardener and Tree,"brute force, data structures, dfs and similar, greedy, implementation, trees"
1592,C,Bakry and Partitioning,"bitmasks, constructive algorithms, dfs and similar, dp, graphs, trees"
1583,C,Omkar and Determination,"data structures, dp"
1582,D,"Vupsen, Pupsen and 0","constructive algorithms, math"
1580,A,Portal,"brute force, data structures, dp, greedy, implementation"
1579,F,Array Stabilization (AND version),"brute force, graphs, math, number theory, shortest paths"
1579,E2,Array Optimization by Deque,"data structures, greedy"
1579,C,Ticks,"greedy, implementation"
1578,H,Higher Order Functions,"implementation, strings"
1575,J,Jeopardy of Dropped Balls,"binary search, brute force, dsu, implementation"
1571,E,Fix the String,"*special, bitmasks, dp, greedy"
1569,C,Jury Meeting,"combinatorics, math"
1567,C,Carrying Conundrum,"bitmasks, combinatorics, dp, math"
1566,D2,Seating Arrangements (hard version) ,"data structures, greedy, implementation, sortings, two pointers"
1562,D1,Two Hundred Twenty One (easy version),"data structures, dp, math"
1562,C,Rings,"constructive algorithms, math"
1561,D1,Up the Strip (simplified version),"brute force, data structures, dp, math, number theory"
1557,C,Moamen and XOR,"bitmasks, combinatorics, dp, math, matrices"
1555,D,Say No to Palindromes,"brute force, constructive algorithms, dp, strings"
1554,B,Cobb,"bitmasks, brute force, greedy, math"
1553,D,Backspace,"dp, greedy, strings, two pointers"
1552,B,Running for Gold,"combinatorics, graphs, greedy, sortings"
1551,D1,Domino (easy version),"constructive algorithms, math"
1551,C,Interesting Story,"greedy, sortings, strings"
1550,C,Manhattan Subarrays,"brute force, geometry, greedy, implementation"
1547,E,Air Conditioners,"data structures, dp, implementation, shortest paths, sortings, two pointers"
1545,A,AquaMoon and Strange Sort,sortings
1543,D1,RPD and Rap Sheet (Easy Version),"bitmasks, constructive algorithms, interactive, math"
1542,C,Strange Function,"math, number theory"
1542,B,Plus and Multiply,"constructive algorithms, math, number theory"
