Handle,Max Rating,Result
siganai,2490,No
Leilaqwq,2504,No
lambert0704,2489,No
mraron,2489,
L7-56,2524,No
ttttan,2534,Yes
znstz_2210QaQ,2487,No
AFewSun,2486,No
windva,2630,
A_zjzj,2522,No
OIerkzc_love_10circle,2483,No
ymjer,2565,No
no_dream,2481,No
S2speed,2866,
al3xstr33t,2625,
AmShZ,2603,Yes
iakovlev.zakhar,2662,Yes
rniya,2645,
sevlll777,2549,Yes
__ZMF__,2477,No
cxaphoenix,2532,No
busamate,2475,No
-14,2785,
JovanB,2641,No
Kazumin,2495,No
ThreeIsFeewo,2571,No
-is-this-fft-,2645,Yes
andrei_boaca,2472,
yutabi,2472,No
installb,2472,No
asdsasd,2788,
Intercept,2481,No
rfpermen,2464,No
Barichek,2768,No
Dorost,2602,No
SingerInTheLastPhase,2463,No
zhouhuanyi,2463,No
KevinYao,2462,No
Fido_Puppy,2461,Yes
JeanBombeur,2566,Yes
ace5,2547,
Adam_GS,2719,No
amongussssiuuu,2459,No
HollwoQ_Pelw,2572,Yes
ALILILILILI-KHAN,2590,No
Jacob,2621,
TsumikiMikan,2456,
zhylj,2615,No
H8_8Q,2525,No
filibuster,2556,
yaoxi,2597,Yes
Mapakaka,2453,No
BARBARIANNNNN,2452,No
zhangjianjuncd,2452,No
Kratrissa,2525,No
nvmdava,2563,
GusterGoose27,2448,No
anpoli99,2624,No
DeadlyPillow,2506,No
ExplodingKonjac,2445,No
N_z__,2460,Yes
Otomochi_Una,2504,No
VladProg,2605,
atodo,2543,No
est_stella,2668,No
Kaitokid,2520,No
irkstepanov,2691,
Anonymous_Noob,2563,No
Elizabeth_Liones,2442,No
Kai-HavertZ,2442,No
Snow-Flower,2768,
red_tree,2442,No
hokarikanae,2440,No
sbzhangjianjun,2447,Yes
xianboyu,2580,
fastmath,2729,
leinad2,2542,No
DitaMirika,2437,No
pzrpzr,2440,No
Tlatoani,2892,
haruki_K,2685,No
locsey,2436,Yes
Faruzan,2434,No
Omer223,2461,No
nigus,2743,No
qq_orange,2429,No
zidder,2586,Yes
scanhex,2802,No
Door_Dark_We,2427,No
magnus.hegdahl,2427,No
relyt871,2448,
flashmt,2598,
TKT_YI,2500,Yes
WH6BNNS,2572,
EMBailey,2427,Yes
SmolBrain,2422,Yes
Daniel777,2420,
cxm1024,2529,No
Flew,2418,No
forxen,2418,
minhcool,2468,
Yellow_Submarine01,2417,No
uwu,2567,No
SendThemToHell,2590,No
Siberian,2584,No
cuom1999,2506,No
dogEW,2412,No
mumu.,2413,No
Leasier,2434,
Rafbill,2988,No
EnAnimant,2726,
Cocoly1990,2408,
okwedook,2468,Yes
BellaKira,2406,No
zaq1xsw2tktk,2442,No
jucason_xu,2429,Yes
IanDeHaan,2403,No
Valera_Grinenko,2403,Yes
dsgrekova2,2531,No
fuppy,2675,
Timsei,2497,No
Misericorde,2559,
