Handle,Max Rating_x,Result,Max Rating_y
milind0110,2155,Yes,2155
xuyufeiya,2153,Yes,2153
adamsoltan,2180,Yes,2180
georgievskiy,2183,Yes,2183
jbg05,2026,Yes,2026
prairie2022,2115,Yes,2115
GoFullRetard,2019,Yes,1969
J_Jonah_Jameson,2090,Yes,2090
dino_merlin,2016,Yes,2016
MGod,2019,Yes,2019
cpbeginner,2114,Yes,2114
lmn207,2013,Yes,2013
hxu10,2207,Yes,2207
sejun,2010,Yes,2010
Meloric,2133,Yes,2133
SuperJ6,2319,Yes,2319
stalker120,2053,Yes,2053
Sig0001,2002,Yes,2002
cristea,2002,Yes,1940
PoPularPlusPlus,2233,Yes,2233
Mohamed-Arous,2056,Yes,2056
forpeace,1995,Yes,1995
lzc0115,2025,Yes,2025
N_eB,1993,Yes,1993
Hamed_Ghaffari,1993,Yes,1993
tRoehr,2043,Yes,2043
Gr47,2083,Yes,2083
Restricted,1990,Yes,1990
pnlong2706,1990,Yes,1886
3z_sky,2064,Yes,2064
ljr1234,2009,Yes,2009
cccllf,2009,Yes,2009
Profect,2134,Yes,2134
zdc123456,2228,Yes,2228
Julto,2047,Yes,2047
QuantBsk,2104,Yes,2104
newamnesia,1976,Yes,1976
ImmortalPhoenix,2067,Yes,2067
Cy2anye,1974,Yes,1974
JKF_ZZ,1974,Yes,1974
MysticPanda,2101,Yes,2101
BunBunChocolat,2030,Yes,2030
NightSky,2004,Yes,2004
clbclb,2081,Yes,2081
spsicio,2037,Yes,2037
Yaimsea,2179,Yes,2179
jahangard,1965,Yes,1965
SimilarifiedFate,1964,Yes,1964
shakhnoov,2081,Yes,2081
Kyooooma,2080,Yes,2080
yqcr666,1959,Yes,1959
tanaygad,1957,Yes,1876
RandomBee,1956,Yes,1863
SunsetGlow95,1956,Yes,1956
Rzbzz,1955,Yes,1955
setrecursionlimit,1955,Yes,1955
bribritt,2048,Yes,2048
luoshen,2129,Yes,2129
--quark404,2002,Yes,2002
kookeudas,1985,Yes,1985
CedeaT0,2005,Yes,2005
YES_wc,2074,Yes,2074
wyhong3103,1948,Yes,1948
DAleksa,2069,Yes,2069
Newtech66,2157,Yes,2157
newbiepupilspecialist,1945,Yes,1945
ytb2024,1945,Yes,1835
Vancezyx,1941,Yes,1941
iam_czx,1941,Yes,1941
ppps,2057,Yes,2057
Rinors,2014,Yes,2014
shubhamgrg1000,1957,Yes,1957
qfl_zzz,1996,Yes,1996
shiyihangxs,1953,Yes,1953
chocolate-milk,2001,Yes,2001
dimash1,1979,Yes,1979
rubbishZ,1934,Yes,1934
wangjunchao,1960,Yes,1960
Mindeveloped,1971,Yes,1971
Muelsyse_,1931,Yes,1931
Georgiy1108,1930,Yes,1930
TLEtoAC2001,1928,Yes,1928
aytony,1927,Yes,1927
mcbanana,1927,Yes,1927
Hackerman278,1956,Yes,1956
Nijoin_Hazuki,2011,Yes,2011
richard_bachman,1985,Yes,1985
Hagry,1974,Yes,1974
coder_supreme,1924,Yes,1924
dmraykhan,1988,Yes,1988
luna-,1954,Yes,1954
MYFJCHX,1937,Yes,1937
TravellingSalesman,2080,Yes,2080
fexla,2050,Yes,2050
Lol2004,2095,Yes,2095
maqi_maqi,2009,Yes,2009
you_xiao,1942,Yes,1942
dulatcodes,2011,Yes,2011
Harsha221B,2023,Yes,2023
2007rating,1912,Yes,1912
Re_Maple,1911,Yes,1911
Mohamed_Tamer169,1987,Yes,1987
Ush1su,2017,Yes,2017
tch1cherin,2210,Yes,2210
Ice_Lyric,1932,Yes,1932
Tatsuyaaaa,2186,Yes,2186
tassei903,2147,Yes,2147
zhouxiaoyi,2022,Yes,2022
Lankin,1977,Yes,1977
Mathematician2000,2084,Yes,2084
CaveNightingale,1979,Yes,1979
jueeng,1901,Yes,1861
DiscreteStep,1898,Yes,1898
lostintianyi,1943,Yes,1943
pengin_2000,2150,Yes,2150
paradigm_shift,1897,Yes,1897
silly_pig,1893,Yes,1748
QHJ123456,2063,Yes,2063
MarcosMTR,1961,Yes,1961
Mikunyan,1891,Yes,1784
GreatDevResh,1953,Yes,1953
yellowtoad,2075,Yes,2075
crzy,1887,Yes,1832
qwerty190,2047,Yes,2047
naf-fly,2067,Yes,2067
Nicolas125841,1950,Yes,1950
andrey.m,2034,Yes,2034
eriFseR,1952,Yes,1952
qianchen01,1885,Yes,1885
NooB_VansH,1894,Yes,1894
airths,2078,Yes,2078
cc4414,2108,Yes,2108
TamimEhsan,1995,Yes,1995
Thanhs,1897,Yes,1897
EN_SA,1985,Yes,1985
adityagamer,2055,Yes,2055
NEGAO,1953,Yes,1953
GenghizKhan,1969,Yes,1969
love_yum1,1872,Yes,1794
Husanboy,1886,Yes,1886
k1suxu,1946,Yes,1946
Rayanx_,1869,Yes,1780
HitoriGotoh,2009,Yes,2009
bdfs_then_CSDN,2004,Yes,2004
Baelz,1865,Yes,1865
Redpo,1953,Yes,1953
mhb2010,1865,Yes,1660
siddhugzp,2119,Yes,2119
zyhhelen,1949,Yes,1949
Nika533,1908,Yes,1908
vrishavgarg28,1883,Yes,1883
Lesser_Lord_Kusanali,1852,Yes,1852
zjr027,1852,Yes,1852
skeep194,1901,Yes,1901
