Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Arena,1487,A,"implementation, sortings",,,,,,,,,,
Shifting Stacks,1486,A,"greedy, implementation",,,,,,,,,,
Replace and Keep Sorted,1485,B,"dp, implementation, math",,,,,,,,,,
Playlist,1482,D,"data structures, dsu, implementation, shortest paths",,,,,,,,,,
Basic Diplomacy,1482,C,"brute force, constructive algorithms, greedy, implementation",,,,,,,,,,
Restore Modulo,1482,B,"implementation, math",,,,,,,,,,
AB Graph,1481,D,"brute force, constructive algorithms, graphs, greedy, implementation",,,,,,,,,,
New Colony,1481,B,"brute force, greedy, implementation",,,,,,,,,,
The Great Hero,1480,B,"greedy, implementation, sortings",,,,,,,,,,
Painting the Array II,1479,B2,"constructive algorithms, data structures, dp, greedy, implementation",,,,,,,,,,
Painting the Array I,1479,B1,"constructive algorithms, data structures, dp, greedy, implementation",,,,,,,,,,
Nezzar and Symmetric Array,1478,C,"implementation, math, sortings",,,,,,,,,,
Journey,1476,D,"dfs and similar, dp, dsu, implementation",,,,,,,,,,
Array Destruction,1474,C,"brute force, constructive algorithms, data structures, greedy, implementation, sortings",,,,,,,,,,
Program,1473,D,"data structures, dp, implementation, strings",,,,,,,,,,
Replacing Elements,1473,A,"greedy, implementation, math, sortings",,,,,,,,,,
Strange List,1471,B,"brute force, greedy, implementation, math",,,,,,,,,,
Strange Permutation,1470,E,"binary search, combinatorics, data structures, dp, graphs, implementation, two pointers",,,,,,,,,,
Building a Fence,1469,C,"dp, greedy, implementation, two pointers",,,,,,,,,,
Waste Sorting,1468,N,"greedy, implementation",,,,,,,,,,
Similar Sets,1468,M,"data structures, graphs, implementation",,,,,,,,,,
The Robot,1468,K,"brute force, implementation",,,,,,,,,,
Plane Tiling,1468,I,"geometry, implementation, math",,,,,,,,,,
Berpizza,1468,C,"data structures, implementation",,,,,,,,,,
Hills And Valleys,1467,B,"brute force, implementation",,,,,,,,,,
Plan of Lectures,1463,E,"constructive algorithms, dfs and similar, dsu, graphs, implementation, sortings, trees",,,,,,,,,,
Busy Robot,1463,C,implementation,,,,,,,,,,
Close Tuples (hard version),1462,E2,"binary search, combinatorics, implementation, math, sortings, two pointers",,,,,,,,,,
Last Year's Substring,1462,B,"dp, implementation, strings",,,,,,,,,,
Favorite Sequence,1462,A,"implementation, two pointers",,,,,,,,,,
Water Level,1461,E,"brute force, graphs, greedy, implementation, math",,,,,,,,,,
Divide and Summarize,1461,D,"binary search, brute force, data structures, divide and conquer, implementation, sortings",,,,,,,,,,
Find the Spruce,1461,B,"brute force, dp, implementation",,,,,,,,,,
Four Points,1455,E,"brute force, constructive algorithms, flows, geometry, greedy, implementation, math, ternary search",,,,,,,,,,
Sequence Transformation,1454,C,"greedy, implementation",,,,,,,,,,
Unique Bid Auction,1454,B,implementation,,,,,,,,,,
Triangles,1453,C,"greedy, implementation",,,,,,,,,,
Suffix Operations,1453,B,"constructive algorithms, implementation",,,,,,,,,,
Cancel the Trains,1453,A,implementation,,,,,,,,,,
String Equality,1451,C,"dp, greedy, hashing, implementation, strings",,,,,,,,,,
Non-Substring Subsequence,1451,B,"dp, greedy, implementation, strings",,,,,,,,,,
Multithreading (Hard Version),1450,H2,"combinatorics, implementation, math",,,,,,,,,,
Rating Compression,1450,D,"binary search, data structures, greedy, implementation, two pointers",,,,,,,,,,
Identify the Operations,1442,B,"combinatorics, data structures, dsu, greedy, implementation",,,,,,,,,,
Buy the String,1440,A,"implementation, math",,,,,,,,,,
Greedy Shopping,1439,C,"binary search, data structures, divide and conquer, greedy, implementation",,,,,,,,,,
Binary Table (Hard Version),1439,A2,"constructive algorithms, graphs, greedy, implementation",,,,,,,,,,
Binary Table (Easy Version),1439,A1,"constructive algorithms, implementation",,,,,,,,,,
Specific Tastes of Andre ,1438,A,"constructive algorithms, implementation",,,,,,,,,,
Make It Increasing,1437,E,"binary search, constructive algorithms, data structures, dp, implementation",,,,,,,,,,
Yet Another Bookshelf,1433,B,"greedy, implementation",,,,,,,,,,
Boring Apartments,1433,A,"implementation, math",,,,,,,,,,
Black Friday,1431,C,"*special, implementation",,,,,,,,,,
Polycarp and the Language of Gods,1431,B,"*special, implementation, two pointers",,,,,,,,,,
Numbers on Whiteboard,1430,C,"constructive algorithms, data structures, greedy, implementation, math",,,,,,,,,,
Barrels,1430,B,"greedy, implementation, sortings",,,,,,,,,,
Bouncing Boomerangs,1428,D,"constructive algorithms, greedy, implementation",,,,,,,,,,
Belted Rooms,1428,B,"graphs, implementation",,,,,,,,,,
Unshuffling a Deck,1427,D,"constructive algorithms, implementation",,,,,,,,,,
Chess Cheater,1427,B,"greedy, implementation, sortings",,,,,,,,,,
Symmetric Matrix,1426,B,implementation,,,,,,,,,,
Floor Number,1426,A,"implementation, math",,,,,,,,,,
Excitation of Atoms,1425,E,"greedy, implementation",,,,,,,,,,
Minlexes,1422,E,"dp, greedy, implementation, strings",,,,,,,,,,
Nice Matrix,1422,B,"greedy, implementation, math",,,,,,,,,,
Swedish Heroes,1421,E,"brute force, dp, implementation",,,,,,,,,,
Hexagons,1421,D,"brute force, constructive algorithms, greedy, implementation, math, shortest paths",,,,,,,,,,
Putting Bricks in the Wall,1421,B,"constructive algorithms, implementation",,,,,,,,,,
Pokémon Army (hard version),1420,C2,"data structures, divide and conquer, dp, greedy, implementation",,,,,,,,,,
Rain of Fire,1419,F,"binary search, data structures, dfs and similar, dsu, graphs, implementation",,,,,,,,,,
Decryption,1419,E,"constructive algorithms, implementation, math, number theory",,,,,,,,,,
Killjoy,1419,C,"greedy, implementation, math",,,,,,,,,,
Stairs,1419,B,"brute force, constructive algorithms, greedy, implementation, math",,,,,,,,,,
Digit Game,1419,A,"games, greedy, implementation",,,,,,,,,,
Trash Problem,1418,D,"data structures, implementation",,,,,,,,,,
Showing Off,1416,F,"flows, graph matchings, greedy, implementation",,,,,,,,,,
Graph and Queries,1416,D,"data structures, dsu, graphs, implementation, trees",,,,,,,,,,
k-Amazing Numbers,1416,A,"binary search, data structures, implementation, two pointers",,,,,,,,,,
Bouncing Ball,1415,C,"brute force, dp, implementation",,,,,,,,,,
Shurikens,1413,D,"data structures, greedy, implementation",,,,,,,,,,
Perform Easily,1413,C,"binary search, brute force, dp, implementation, sortings, two pointers",,,,,,,,,,
A New Technique,1413,B,implementation,,,,,,,,,,
Grime Zoo,1411,D,"brute force, greedy, implementation, strings",,,,,,,,,,
In-game Chat,1411,A,implementation,,,,,,,,,,
Searchlights,1408,D,"binary search, brute force, data structures, dp, implementation, sortings, two pointers",,,,,,,,,,
Discrete Acceleration,1408,C,"binary search, dp, implementation, math, two pointers",,,,,,,,,,
Maximum Product,1406,B,"brute force, dp, greedy, implementation, sortings",,,,,,,,,,
Subset Mex,1406,A,"greedy, implementation, math",,,,,,,,,,
Array Cancellation,1405,B,"constructive algorithms, implementation",,,,,,,,,,
Balanced Bitstring,1404,A,"implementation, strings",,,,,,,,,,
Chess Rush,1403,C,"*special, combinatorics, dp, implementation, math",,,,,,,,,,
Fancy Fence,1402,A,"*special, data structures, dsu, implementation, math, sortings",,,,,,,,,,
Divide Square,1401,E,"data structures, geometry, implementation, sortings",,,,,,,,,,
Maximum Distributed Tree,1401,D,"dfs and similar, dp, greedy, implementation, math, number theory, sortings, trees",,,,,,,,,,
Binary String To Subsequences,1399,D,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Two Types of Spells,1398,E,"binary search, data structures, greedy, implementation, math, sortings",,,,,,,,,,
Monster Invaders,1396,C,"dp, greedy, implementation",,,,,,,,,,
Twilight and Ancient Scroll (harder version),1393,E2,"dp, hashing, implementation, string suffix structures, strings, two pointers",,,,,,,,,,
Twilight and Ancient Scroll (easier version),1393,E1,"dp, hashing, implementation, string suffix structures, strings",,,,,,,,,,
Rarity and New Dress,1393,D,"dfs and similar, dp, implementation, shortest paths",,,,,,,,,,
Applejack and Storages,1393,B,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Omkar and Waterslide,1392,C,"greedy, implementation",,,,,,,,,,
Omkar and Infinity Clock,1392,B,"implementation, math",,,,,,,,,,
505,1391,D,"bitmasks, brute force, constructive algorithms, dp, greedy, implementation",,,,,,,,,,
Fix You,1391,B,"brute force, greedy, implementation",,,,,,,,,,
Segment Intersections,1389,D,"brute force, greedy, implementation, math",,,,,,,,,,
Captain Flint and Treasure,1388,D,"data structures, dfs and similar, graphs, greedy, implementation, trees",,,,,,,,,,
Columns Swaps,1385,G,"2-sat, dfs and similar, dsu, graphs, implementation",,,,,,,,,,
Removing Leaves,1385,F,"data structures, greedy, implementation, trees",,,,,,,,,,
a-Good String,1385,D,"bitmasks, brute force, divide and conquer, dp, implementation",,,,,,,,,,
Koa and the Beach (Hard Version),1384,B2,"constructive algorithms, dp, greedy, implementation",,,,,,,,,,
Mastermind,1381,C,"constructive algorithms, graph matchings, greedy, implementation, sortings, two pointers",,,,,,,,,,
Prefix Flip (Hard Version),1381,A2,"constructive algorithms, data structures, implementation, strings, two pointers",,,,,,,,,,
Merging Towers,1380,E,"data structures, dsu, implementation, trees",,,,,,,,,,
Berserk And Fireball,1380,D,"constructive algorithms, greedy, implementation, math, two pointers",,,,,,,,,,
Create The Teams,1380,C,"brute force, dp, greedy, implementation, sortings",,,,,,,,,,
Acacius and String,1379,A,"brute force, implementation, strings",,,,,,,,,,
Cyclic Shifts Sorting,1374,F,"brute force, constructive algorithms, implementation, sortings",,,,,,,,,,
Reading Books (hard version),1374,E2,"data structures, greedy, implementation, sortings, ternary search, two pointers",,,,,,,,,,
Maximum Sum on Even Positions,1373,D,"divide and conquer, dp, greedy, implementation",,,,,,,,,,
Donut Shops,1373,A,"greedy, implementation, math",,,,,,,,,,
Omkar and Completion,1372,A,"constructive algorithms, implementation",,,,,,,,,,
Raging Thunder,1371,F,"data structures, divide and conquer, implementation",,,,,,,,,,
Grid-00100,1371,D,"constructive algorithms, greedy, implementation",,,,,,,,,,
A Cookie for You,1371,C,"greedy, implementation, math",,,,,,,,,,
Odd-Even Subsequence,1370,D,"binary search, dp, dsu, greedy, implementation",,,,,,,,,,
Maximum GCD,1370,A,"greedy, implementation, math, number theory",,,,,,,,,,
DeadLee,1369,E,"data structures, dfs and similar, greedy, implementation, sortings",,,,,,,,,,
AccurateLee,1369,B,"greedy, implementation, strings",,,,,,,,,,
Lamps on a Circle,1368,F,"games, implementation, interactive, math",,,,,,,,,,
C+=,1368,A,"brute force, greedy, implementation, math",,,,,,,,,,
Task On The Board,1367,D,"constructive algorithms, greedy, implementation, sortings",,,,,,,,,,
Short Substrings,1367,A,"implementation, strings",,,,,,,,,,
Swaps Again,1365,F,"constructive algorithms, implementation, sortings",,,,,,,,,,
Solve The Maze,1365,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths",,,,,,,,,,
Rotation Matching,1365,C,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Trouble Sort,1365,B,"constructive algorithms, implementation",,,,,,,,,,
Matrix Game,1365,A,"games, greedy, implementation",,,,,,,,,,
Ehab's Last Corollary,1364,D,"constructive algorithms, dfs and similar, graphs, greedy, implementation, trees",,,,,,,,,,
Guess The Maximums,1363,D,"binary search, implementation, interactive, math",,,,,,,,,,
Subsequence Hate,1363,B,"implementation, strings",,,,,,,,,,
Odd Selection,1363,A,"brute force, implementation, math",,,,,,,,,,
Johnny and Ancient Computer,1362,A,implementation,,,,,,,,,,
Johnny and New Toy,1361,F,"data structures, implementation, math",,,,,,,,,,
Johnny and James,1361,D,"greedy, implementation, math, trees",,,,,,,,,,
Johnny and Grandmaster,1361,B,"greedy, implementation, math, sortings",,,,,,,,,,
Polygon,1360,E,"dp, graphs, implementation, shortest paths",,,,,,,,,,
Yet Another Yet Another Task,1359,D,"data structures, dp, implementation, two pointers",,,,,,,,,,
New Theatre Square,1359,B,"brute force, dp, greedy, implementation, two pointers",,,,,,,,,,
Tasty Cookie,1358,F,"binary search, constructive algorithms, greedy, implementation",,,,,,,,,,
Are You Fired?,1358,E,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
The Best Vacation,1358,D,"binary search, brute force, greedy, implementation, two pointers",,,,,,,,,,
Count Triangles,1355,C,"binary search, implementation, math, two pointers",,,,,,,,,,
Sequence with Digits,1355,A,"brute force, implementation, math",,,,,,,,,,
Ternary String,1354,B,"binary search, dp, implementation, two pointers",,,,,,,,,,
Special Elements,1352,E,"brute force, implementation, two pointers",,,,,,,,,,
"Alice, Bob and Candies",1352,D,implementation,,,,,,,,,,
Sum of Round Numbers,1352,A,"implementation, math",,,,,,,,,,
Skier,1351,C,"data structures, implementation",,,,,,,,,,
Square?,1351,B,"brute force, implementation, math",,,,,,,,,,
A+B (Trial Problem),1351,A,implementation,,,,,,,,,,
Orac and Game of Life,1349,C,"dfs and similar, graphs, implementation, shortest paths",,,,,,,,,,
Phoenix and Science,1348,D,"binary search, constructive algorithms, greedy, implementation, math",,,,,,,,,,
Restore the Permutation by Sorted Segments,1343,F,"brute force, constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Nastya and Door,1341,B,"greedy, implementation",,,,,,,,,,
Nastya and Strange Generator,1340,A,"brute force, data structures, greedy, implementation",,,,,,,,,,
Filling Diamonds,1339,A,"brute force, dp, implementation, math",,,,,,,,,,
Kana and Dragon Quest game,1337,B,"greedy, implementation, math",,,,,,,,,,
Anti-Sudoku,1335,D,"constructive algorithms, implementation",,,,,,,,,,
Two Teams Composing,1335,C,"binary search, greedy, implementation, sortings",,,,,,,,,,
Minimum Euler Cycle,1334,D,"constructive algorithms, graphs, greedy, implementation",,,,,,,,,,
Level Statistics,1334,A,"implementation, math",,,,,,,,,,
Kate and imperfection,1333,F,"greedy, implementation, math, number theory, sortings, two pointers",,,,,,,,,,
Challenges in school №41,1333,D,"brute force, constructive algorithms, games, graphs, greedy, implementation, sortings",,,,,,,,,,
Eugene and an array,1333,C,"binary search, data structures, implementation, two pointers",,,,,,,,,,
Kind Anton,1333,B,"greedy, implementation",,,,,,,,,,
K-Complete Word,1332,C,"dfs and similar, dsu, greedy, implementation, strings",,,,,,,,,,
Exercising Walk,1332,A,"greedy, implementation, math",,,,,,,,,,
Jordan Smiley,1331,E,"*special, dfs and similar, geometry, implementation",,,,,,,,,,
Again?,1331,D,"*special, implementation",,,,,,,,,,
Dreamoon Likes Permutations,1330,B,"implementation, math",,,,,,,,,,
Dreamoon and Ranking Collection,1330,A,implementation,,,,,,,,,,
Drazil Likes Heap,1329,C,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Dreamoon Likes Coloring,1329,A,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Ternary XOR,1328,C,"greedy, implementation",,,,,,,,,,
K-th Beautiful String,1328,B,"binary search, brute force, combinatorics, implementation, math",,,,,,,,,,
Game with Chips,1327,C,"constructive algorithms, implementation",,,,,,,,,,
Maximums,1326,B,"implementation, math",,,,,,,,,,
CopyCopyCopyCopyCopy,1325,B,"greedy, implementation",,,,,,,,,,
Sleeping Schedule,1324,E,"dp, implementation",,,,,,,,,,
Frog Jumps,1324,C,"binary search, data structures, dfs and similar, greedy, implementation",,,,,,,,,,
Yet Another Tetris Problem,1324,A,"implementation, number theory",,,,,,,,,,
Count Subrectangles,1323,B,"binary search, greedy, implementation",,,,,,,,,,
Even Subset Sum Problem,1323,A,"brute force, dp, greedy, implementation",,,,,,,,,,
Nash Matrix,1316,D,"constructive algorithms, dfs and similar, graphs, implementation",,,,,,,,,,
String Modification,1316,B,"brute force, constructive algorithms, implementation, sortings, strings",,,,,,,,,,
Grade Allocation,1316,A,implementation,,,,,,,,,,
Dead Pixel,1315,A,implementation,,,,,,,,,,
Happy New Year,1313,D,"bitmasks, dp, implementation",,,,,,,,,,
Different Rules,1313,B,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Fast Food Restaurant,1313,A,"brute force, greedy, implementation",,,,,,,,,,
Adding Powers,1312,C,"bitmasks, greedy, implementation, math, number theory, ternary search",,,,,,,,,,
Moving Points,1311,F,"data structures, divide and conquer, implementation, sortings",,,,,,,,,,
Add Odd or Subtract Even,1311,A,"greedy, implementation, math",,,,,,,,,,
Double Elimination,1310,B,"dp, implementation",,,,,,,,,,
Cow and Treats,1307,E,"binary search, combinatorics, dp, greedy, implementation, math",,,,,,,,,,
Cow and Haybales,1307,A,"greedy, implementation",,,,,,,,,,
Kuroni and the Score Distribution,1305,E,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Air Conditioner,1304,C,"dp, greedy, implementation, sortings, two pointers",,,,,,,,,,
Longest Palindrome,1304,B,"brute force, constructive algorithms, greedy, implementation, strings",,,,,,,,,,
Number of Components,1303,F,"dsu, implementation",,,,,,,,,,
Perfect Keyboard,1303,C,"dfs and similar, greedy, implementation",,,,,,,,,,
Erasing Zeroes,1303,A,"implementation, strings",,,,,,,,,,
Super Jaber,1301,F,"dfs and similar, graphs, implementation, shortest paths",,,,,,,,,,
Nanosoft,1301,E,"binary search, data structures, dp, implementation",,,,,,,,,,
Time to Run,1301,D,"constructive algorithms, graphs, implementation",,,,,,,,,,
Three Strings,1301,A,"implementation, strings",,,,,,,,,,
Assigning to Classes,1300,B,"greedy, implementation, sortings",,,,,,,,,,
Non-zero,1300,A,"implementation, math",,,,,,,,,,
Movie Fan,1297,F,"*special, data structures, greedy, implementation, sortings",,,,,,,,,,
Cartoons,1297,B,"*special, implementation, sortings",,,,,,,,,,
Likes Display,1297,A,"*special, implementation",,,,,,,,,,
Yet Another Walking Robot,1296,C,"data structures, implementation",,,,,,,,,,
Obtain a Permutation,1294,E,"greedy, implementation, math",,,,,,,,,,
MEX maximizing,1294,D,"data structures, greedy, implementation, math",,,,,,,,,,
Collecting Packages,1294,B,"implementation, sortings",,,,,,,,,,
ConneR and the A.R.C. Markland-N,1293,A,"binary search, brute force, implementation",,,,,,,,,,
Aroma's Search,1292,B,"brute force, constructive algorithms, geometry, greedy, implementation",,,,,,,,,,
NEKO's Maze Game,1292,A,"data structures, dsu, implementation",,,,,,,,,,
Array Sharpening,1291,B,"greedy, implementation",,,,,,,,,,
Mind Control,1290,A,"brute force, data structures, implementation",,,,,,,,,,
Hyperset,1287,B,"brute force, data structures, implementation",,,,,,,,,,
Angry Students,1287,A,"greedy, implementation",,,,,,,,,,
Harry The Potter,1286,F,"brute force, constructive algorithms, dp, fft, implementation, math",,,,,,,,,,
Just Eat It!,1285,B,"dp, greedy, implementation",,,,,,,,,,
New Year and Ascent Sequence,1284,B,"binary search, combinatorics, data structures, dp, implementation, sortings",,,,,,,,,,
New Year and Naming,1284,A,"implementation, strings",,,,,,,,,,
Temporarily unavailable,1282,A,"implementation, math",,,,,,,,,,
Suffix Three,1281,A,implementation,,,,,,,,,,
Beingawesomeism,1280,B,"implementation, math",,,,,,,,,,
Cut and Paste,1280,A,"implementation, math",,,,,,,,,,
Stack of Presents,1279,C,"data structures, implementation",,,,,,,,,,
Verse For Santa,1279,B,"binary search, brute force, implementation",,,,,,,,,,
Berry Jam,1278,C,"data structures, dp, greedy, implementation",,,,,,,,,,
Shuffle Hashing,1278,A,"brute force, implementation, strings",,,,,,,,,,
Let's Play the Words?,1277,D,"data structures, hashing, implementation, math",,,,,,,,,,
"Happy Birthday, Polycarp!",1277,A,implementation,,,,,,,,,,
Yet Another Broken Keyboard,1272,C,"combinatorics, dp, implementation",,,,,,,,,,
Snow Walking Robot,1272,B,"constructive algorithms, greedy, implementation",,,,,,,,,,
Portals,1271,D,"data structures, dp, greedy, implementation, sortings",,,,,,,,,,
Shawarma Tent,1271,C,"brute force, geometry, greedy, implementation",,,,,,,,,,
Long Beautiful Integer,1268,A,"constructive algorithms, greedy, implementation, strings",,,,,,,,,,
Just Arrange the Icons,1267,J,"greedy, implementation, math",,,,,,,,,,
Intriguing Selection,1267,I,"brute force, constructive algorithms, implementation, interactive, sortings",,,,,,,,,,
Spaceship Solitaire,1266,E,"data structures, greedy, implementation",,,,,,,,,,
Decreasing Debts,1266,D,"constructive algorithms, data structures, graphs, greedy, implementation, math, two pointers",,,,,,,,,,
Beautiful Numbers,1265,B,"data structures, implementation, math, two pointers",,,,,,,,,,
Beautiful Regional Contest,1264,A,"greedy, implementation",,,,,,,,,,
Editor,1263,E,"data structures, implementation",,,,,,,,,,
PIN Codes,1263,B,"greedy, implementation",,,,,,,,,,
Dominated Subarray,1257,C,"greedy, implementation, sortings, strings, two pointers",,,,,,,,,,
League of Leesins,1255,C,"constructive algorithms, implementation",,,,,,,,,,
Fridge Lockers,1255,B,"graphs, implementation",,,,,,,,,,
Feeding Chicken,1254,A,"constructive algorithms, greedy, implementation",,,,,,,,,,
Silly Mistake,1253,B,"greedy, implementation",,,,,,,,,,
Single Push,1253,A,implementation,,,,,,,,,,
Twin Buildings,1252,H,"greedy, implementation",,,,,,,,,,
Even Path,1252,C,"data structures, implementation",,,,,,,,,,
Data Center,1250,F,"brute force, implementation",,,,,,,,,,
The Coronation,1250,E,"graphs, implementation",,,,,,,,,,
Berstagram,1250,A,implementation,,,,,,,,,,
Good Numbers (easy version),1249,C1,"brute force, greedy, implementation",,,,,,,,,,
The World Is Just a Programming Task (Easy Version),1248,D1,"brute force, dp, greedy, implementation",,,,,,,,,,
Chips,1244,F,"constructive algorithms, implementation",,,,,,,,,,
Paint the Tree,1244,D,"brute force, constructive algorithms, dp, graphs, implementation, trees",,,,,,,,,,
Rooms and Staircases,1244,B,"brute force, implementation",,,,,,,,,,
Maximum Square,1243,A,implementation,,,,,,,,,,
"Swiper, no swiping!",1239,F,"graphs, implementation",,,,,,,,,,
Turtle,1239,E,"dp, implementation",,,,,,,,,,
Queue in the Train,1239,C,"data structures, greedy, implementation",,,,,,,,,,
The World Is Just a Programming Task (Hard Version),1239,B,implementation,,,,,,,,,,
Balanced Playlist,1237,D,"binary search, data structures, implementation",,,,,,,,,,
Balanced Removals (Harder),1237,C2,"binary search, constructive algorithms, divide and conquer, greedy, implementation, sortings",,,,,,,,,,
Balanced Rating Changes,1237,A,"implementation, math",,,,,,,,,,
Alice and the Doll,1236,D,"brute force, data structures, greedy, implementation",,,,,,,,,,
Labs,1236,C,"constructive algorithms, greedy, implementation",,,,,,,,,,
Pipes,1234,C,"dp, implementation",,,,,,,,,,
Social Network (hard version),1234,B2,"data structures, implementation",,,,,,,,,,
Social Network (easy version),1234,B1,implementation,,,,,,,,,,
Ania and Minimizing,1230,B,"greedy, implementation",,,,,,,,,,
Dawid and Bags of Candies,1230,A,"brute force, implementation",,,,,,,,,,
One Node is Gone,1228,F,"constructive algorithms, implementation, trees",,,,,,,,,,
Complete Tripartite,1228,D,"brute force, constructive algorithms, graphs, hashing, implementation",,,,,,,,,,
Filling the Grid,1228,B,"implementation, math",,,,,,,,,,
Distinct Digits,1228,A,"brute force, implementation",,,,,,,,,,
TV Subscriptions (Hard Version),1225,B2,"implementation, two pointers",,,,,,,,,,
TV Subscriptions (Easy Version),1225,B1,implementation,,,,,,,,,,
Cards,1220,A,"implementation, sortings, strings",,,,,,,,,,
Harvester,1219,G,implementation,,,,,,,,,,
Periodic integer number,1219,C,"implementation, strings",,,,,,,,,,
Sum Queries?,1217,E,"data structures, greedy, implementation, math",,,,,,,,,,
Shooting,1216,B,"greedy, implementation, sortings",,,,,,,,,,
The Number of Products,1215,B,"combinatorics, dp, implementation",,,,,,,,,,
Yellow Cards,1215,A,"greedy, implementation, math",,,,,,,,,,
Unstable String Sort,1213,F,"data structures, dfs and similar, dsu, graphs, greedy, implementation, strings",,,,,,,,,,
Equalizing by Division (easy version),1213,D1,"brute force, implementation",,,,,,,,,,
Bad Prices,1213,B,"data structures, implementation",,,,,,,,,,
kotlinkotlinkotlinkotlin...,1211,F,"*special, graphs, implementation, strings",,,,,,,,,,
Traveling Around the Golden Ring of Berland,1211,B,"*special, implementation",,,,,,,,,,
Three Problems,1211,A,"*special, implementation",,,,,,,,,,
Into Blocks (easy version),1209,G1,"data structures, dsu, greedy, implementation, two pointers",,,,,,,,,,
Paint the Digits,1209,C,"constructive algorithms, greedy, implementation",,,,,,,,,,
Koala and Lights,1209,B,"implementation, math, number theory",,,,,,,,,,
Paint the Numbers,1209,A,"greedy, implementation, math",,,,,,,,,,
Red Blue Tree,1208,H,"data structures, implementation, trees",,,,,,,,,,
Let Them Slide,1208,E,"data structures, implementation",,,,,,,,,,
Restore Permutation,1208,D,"binary search, data structures, greedy, implementation",,,,,,,,,,
Uniqueness,1208,B,"binary search, brute force, implementation, two pointers",,,,,,,,,,
Remainder Problem,1207,F,"brute force, data structures, implementation",,,,,,,,,,
Square Filling,1207,B,"constructive algorithms, greedy, implementation",,,,,,,,,,
There Are Two Types Of Burgers,1207,A,"brute force, greedy, implementation, math",,,,,,,,,,
Make Product Equal One,1206,B,"dp, implementation",,,,,,,,,,
Palindromic Paths,1205,C,"implementation, interactive",,,,,,,,,,
Remove the Substring (hard version),1203,D2,"binary search, greedy, implementation, two pointers",,,,,,,,,,
Remove the Substring (easy version),1203,D1,"greedy, implementation",,,,,,,,,,
Common Divisors,1203,C,"implementation, math",,,,,,,,,,
Circle of Students,1203,A,implementation,,,,,,,,,,
You Are Given Some Letters...,1202,F,"binary search, implementation, math",,,,,,,,,,
You Are Given a WASD-string...,1202,C,"brute force, data structures, dp, greedy, implementation, math, strings",,,,,,,,,,
Treasure Hunting,1201,D,"binary search, dp, greedy, implementation",,,,,,,,,,
Important Exam,1201,A,"implementation, strings",,,,,,,,,,
Graph Traveler,1200,F,"brute force, data structures, dfs and similar, dp, graphs, implementation, math, number theory",,,,,,,,,,
Compress Words,1200,E,"brute force, hashing, implementation, string suffix structures, strings",,,,,,,,,,
White Lines,1200,D,"brute force, data structures, dp, implementation, two pointers",,,,,,,,,,
Hotelier,1200,A,"brute force, data structures, implementation",,,,,,,,,,
City Day,1199,A,implementation,,,,,,,,,,
Pillars,1197,B,"greedy, implementation",,,,,,,,,,
Connected Component on a Chessboard,1196,E,"constructive algorithms, implementation",,,,,,,,,,
RGB Substring (hard version),1196,D2,"data structures, dp, implementation, two pointers",,,,,,,,,,
RGB Substring (easy version),1196,D1,implementation,,,,,,,,,,
Robot Breakout,1196,C,implementation,,,,,,,,,,
From S To T,1194,C,"implementation, strings",,,,,,,,,,
Yet Another Crosses Problem,1194,B,implementation,,,,,,,,,,
Tokitsukaze and Mahjong,1191,B,"brute force, implementation",,,,,,,,,,
Tokitsukaze and Discard Items,1190,A,"implementation, two pointers",,,,,,,,,,
Candies!,1189,C,"data structures, dp, implementation, math",,,,,,,,,,
Add on a Tree: Revolution,1188,A2,"constructive algorithms, dfs and similar, implementation, trees",,,,,,,,,,
Vasya And Array,1187,C,"constructive algorithms, greedy, implementation",,,,,,,,,,
Letters Shop,1187,B,"binary search, implementation, strings",,,,,,,,,,
Vus the Cossack and a Graph,1186,F,"dfs and similar, graphs, greedy, implementation",,,,,,,,,,
Vus the Cossack and a Field,1186,E,"divide and conquer, implementation, math",,,,,,,,,,
Vus the Cossack and Strings,1186,C,"implementation, math",,,,,,,,,,
Vus the Cossack and a Contest,1186,A,implementation,,,,,,,,,,
Polycarp and Snakes,1185,E,"brute force, implementation",,,,,,,,,,
Extra Element,1185,D,"implementation, math",,,,,,,,,,
Email from Polycarp,1185,B,"implementation, strings",,,,,,,,,,
Parallel Universes (Easy),1184,D1,implementation,,,,,,,,,,
Heidi and the Turing Test (Easy),1184,C1,implementation,,,,,,,,,,
Candy Box (hard version),1183,G,"greedy, implementation, sortings",,,,,,,,,,
Subsequences (easy version),1183,E,"dp, graphs, implementation, shortest paths",,,,,,,,,,
Nearest Interesting Number,1183,A,implementation,,,,,,,,,,
