Problem,Contest,Index,Tags,solvedCount
Was it Rated?,1812,B,"*special, *special, *special, brute force, implementation",4715
Is It Flower?,1811,F,"dfs and similar, graphs, implementation",1537
Umka and a Long Flight,1811,D,"constructive algorithms, implementation, math",6317
Conveyor Belts,1811,B,"implementation, math",18376
Traveling in Berland,1809,F,"binary search, data structures, graphs, greedy, implementation",639
Two Tanks,1809,E,"binary search, dp, implementation, math",713
Garland,1809,A,implementation,22523
Unlucky Numbers,1808,C,"brute force, dp, greedy, implementation",3224
Lucky Numbers,1808,A,"brute force, implementation",15923
Subsequence Addition (Hard Version),1807,G2,"bitmasks, dp, greedy, implementation, sortings",15770
Subsequence Addition (Easy Version),1807,G1,"brute force, data structures, dp, greedy, implementation, sortings",16282
Bouncy Ball,1807,F,"brute force, dfs and similar, implementation",5242
Interview,1807,E,"binary search, implementation, interactive",10410
Odd Queries,1807,D,"data structures, implementation",24089
Find and Replace,1807,C,"greedy, implementation, strings",26877
Plus or Minus,1807,A,implementation,45284
Survival of the Weakest (easy version),1805,F1,"binary search, brute force, implementation, math, sortings",682
Flow Control,1804,G,"data structures, dsu, implementation",164
Accommodation,1804,D,"brute force, dp, greedy, implementation",4148
Vaccination,1804,B,"greedy, implementation",13043
Settlement of Guinea Pigs,1802,B,"greedy, implementation, math",12065
Likes,1802,A,"greedy, implementation",14999
Symmetree,1800,G,"dfs and similar, hashing, implementation, trees",1694
Is It a Cat?,1800,A,"implementation, strings",27436
City Union,1799,E,"constructive algorithms, dfs and similar, dsu, geometry, greedy, implementation, math",1055
Recent Actions,1799,A,"data structures, greedy, implementation, math",10957
Three Sevens,1798,B,"brute force, data structures, greedy, implementation",14762
Showstopper,1798,A,"greedy, implementation, sortings",18571
Li Hua and Tree,1797,D,"brute force, data structures, dfs and similar, dp, implementation, trees",3270
Li Hua and Maze,1797,A,"constructive algorithms, flows, graphs, greedy, implementation",15864
Asterisk-Minor Template,1796,B,"implementation, strings",15094
Typical Interview Problem,1796,A,"brute force, implementation, strings",17906
Tea Tasting,1795,C,"binary search, data structures, implementation",10150
Two Towers,1795,A,"brute force, implementation, strings",22357
Labeling the Tree with Distances,1794,E,"data structures, dp, greedy, hashing, implementation, trees",874
Rebrending,1793,F,"brute force, data structures, divide and conquer, implementation",1108
Moscow Gorillas,1793,D,"binary search, dp, greedy, implementation, math, two pointers",5232
Prepend and Append,1791,C,"implementation, two pointers",35460
Following Directions,1791,B,"geometry, implementation",38148
Codeforces Checking,1791,A,"implementation, strings",46227
Premutation,1790,C,"brute force, implementation, math",21344
Polycarp and the Day of Pi,1790,A,"implementation, math, strings",33499
Serval and Brain Power,1789,F,"bitmasks, brute force, dp, greedy, implementation, strings",443
Serval and Music Game,1789,E,"brute force, dp, implementation, math, number theory",698
Serval and Shift-Shift-Shift,1789,D,"bitmasks, brute force, constructive algorithms, implementation",1465
Serval and Toxel's Arrays,1789,C,"combinatorics, dp, implementation, math",7327
Serval and Inversion Magic,1789,B,"brute force, implementation, strings, two pointers",14998
"XOR, Tree, and Queries",1788,F,"bitmasks, constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, trees",692
Sum of Two Numbers,1788,B,"constructive algorithms, greedy, implementation, math, probabilities",17751
One and Two,1788,A,"brute force, implementation, math",24367
Inverse Transformation,1787,F,"constructive algorithms, implementation, math",591
Game on Axis,1787,D,"combinatorics, dfs and similar, dsu, graphs, implementation",3055
Alternating Deck (hard version),1786,A2,implementation,10869
Non-alternating Deck (easy version),1786,A1,implementation,13207
Weighed Tree Radius,1783,G,"data structures, divide and conquer, implementation, trees",371
Different Arrays,1783,D,"brute force, dp, implementation",3796
Rectangle Shrinking,1781,E,"binary search, brute force, data structures, greedy, implementation, two pointers",1223
Equal Frequencies,1781,C,"brute force, constructive algorithms, greedy, implementation, sortings, strings",6345
Flip Flop Sum,1778,A,"greedy, implementation",22886
The Human Equation,1775,E,"greedy, implementation",2768
Gardener and the Capybaras (easy version),1775,A1,"brute force, constructive algorithms, implementation",18823
Magician and Pigs (Hard Version),1774,F2,"binary search, brute force, data structures, implementation",566
Magician and Pigs (Easy Version),1774,F1,"brute force, data structures, implementation",959
Same Count One,1774,D,"brute force, constructive algorithms, greedy, implementation, two pointers",6771
Interactive Factorial Guessing,1773,I,"brute force, games, implementation, interactive",413
BinCoin,1773,B,"binary search, divide and conquer, hashing, implementation, probabilities, trees",660
Gaining Rating,1772,G,"binary search, greedy, implementation, math, sortings, two pointers",1180
Copy of a Copy of a Copy,1772,F,"constructive algorithms, dfs and similar, graphs, implementation, sortings",2033
Matrix Rotation,1772,B,"brute force, implementation",26751
A+B?,1772,A,implementation,38688
Hossam and a Letter,1771,E,"brute force, dp, implementation, two pointers",613
Koxia and Game,1770,D,"constructive algorithms, data structures, dfs and similar, dsu, flows, games, graph matchings, graphs, implementation",3433
Копирование файлов I,1769,B1,"*special, brute force, implementation, math",1250
Elemental Decompress,1768,C,"constructive algorithms, greedy, implementation, sortings",12649
Cut the Triangle,1767,A,implementation,19683
Hamiltonian Wall,1766,C,"dp, implementation",12133
Notepad#,1766,B,implementation,18677
Extremely Round,1766,A,"brute force, implementation",21247
Project Manager,1765,L,"brute force, data structures, implementation",512
Infinite Chess,1765,I,"implementation, shortest paths",156
Hospital Queue,1765,H,"binary search, graphs, greedy, implementation",1066
Valid Bitonic Permutations,1763,D,"combinatorics, dp, implementation, math, number theory",1839
Incinerate,1763,B,"binary search, brute force, data structures, implementation, math, sortings",12858
Make Array Good,1762,B,"constructive algorithms, implementation, number theory, sortings",15300
Elimination of a Ring,1761,B,"constructive algorithms, greedy, implementation",12314
Challenging Valleys,1760,D,"implementation, two pointers",20384
Advantage,1760,C,"data structures, implementation, sortings",31830
