Problem,Contest,Index,Tags,solvedCount
Parity Shuffle Sorting,1733,C,"constructive algorithms, sortings",13981
Balance (Easy version),1732,D1,"brute force, data structures, implementation, number theory",7502
Digital Logarithm,1728,C,"data structures, greedy, sortings",13868
Jatayu's Balanced Bracket Sequence,1726,C,"data structures, dsu, graphs, greedy",11348
Garage,1725,G,"binary search, geometry, math",5131
Even-Odd XOR,1722,G,"bitmasks, constructive algorithms, greedy",8935
Min-Max Array Transformation,1721,C,"binary search, greedy, two pointers",12164
Fighting Tournament,1719,C,"binary search, data structures, implementation, two pointers",12116
Madoka and Formal Statement,1717,C,greedy,13157
Add Modulo 10,1714,E,"brute force, math, number theory",13708
Party,1711,B,"brute force, graphs",12548
Color the Picture,1710,A,"constructive algorithms, greedy, math",10065
Qpwoeirut And The City,1706,C,"dp, flows, greedy, implementation",13563
Mark and His Unfinished Essay,1705,C,"brute force, implementation",12323
Yet Another Problem About Pairs Satisfying an Inequality,1703,F,"binary search, data structures, dp, greedy, sortings",15948
Schedule Management,1701,C,"binary search, greedy, implementation, two pointers",14359
3SUM Closure,1698,C,"brute force, data structures",16730
awoo's Favorite Problem,1697,C,"binary search, constructive algorithms, data structures, greedy, implementation, strings, two pointers",13137
Fishingprince Plays With Array,1696,C,"constructive algorithms, greedy, implementation, math",10824
Directional Increase,1693,A,greedy,14806
2^Sort,1692,G,"data structures, dp, sortings, two pointers",13854
3SUM,1692,F,"brute force, math",18445
Sum of Substrings,1691,C,"brute force, constructive algorithms, greedy, math, strings",14279
Price Maximization,1690,E,"binary search, greedy, math, two pointers",13398
Column Swapping,1684,C,"brute force, constructive algorithms, greedy, implementation, sortings",11475
LIS or Reverse LIS?,1682,C,"constructive algorithms, greedy, implementation, math",13321
Rooks Defenders,1679,C,"data structures, implementation",9356
Maximum Crossings (Hard Version),1676,H2,"data structures, divide and conquer, sortings",8983
Maximum Crossings (Easy Version),1676,H1,brute force,12137
White-Black Balanced Subtrees,1676,G,"dfs and similar, dp, graphs, trees",12535
Longest Strike,1676,F,"data structures, greedy, implementation, sortings, two pointers",14427
"Replace With the Previous, Minimize",1675,E,"dsu, greedy, strings",9229
Vertical Paths,1675,D,"graphs, implementation, trees",11730
Palindrome Basis,1673,C,"brute force, dp, math, number theory",10590
Where is the Pizza?,1670,C,"data structures, dfs and similar, dsu, graphs, implementation, math",8882
Maximal AND,1669,H,"bitmasks, greedy, math",14244
Make it Increasing,1667,A,"brute force, greedy, math",13643
Getting Zero,1661,B,"bitmasks, brute force, dfs and similar, dp, graphs, greedy, shortest paths",15753
Get an Even String,1660,C,"dp, greedy, strings",17631
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math",8868
Bit Flipping,1659,B,"bitmasks, constructive algorithms, greedy, strings",10103
Alice and the Cake,1654,C,"data structures, greedy, implementation, sortings",12585
Fault-tolerant Network,1651,C,"brute force, data structures, implementation",10034
Twist the Permutation,1650,D,"brute force, constructive algorithms, implementation, math",12135
Game of Ball Passing,1649,B,"greedy, implementation",12286
Weird Sum,1648,A,"combinatorics, data structures, geometry, math, matrices, sortings",10886
Madoka and Childish Pranks,1647,C,"constructive algorithms, greedy",11982
Factorials and Powers of Two,1646,C,"bitmasks, brute force, constructive algorithms, dp, math",12129
Increase Subarray Sums,1644,C,"brute force, dp, greedy, implementation",12822
Inversion Graph,1638,C,"data structures, dsu, graphs, math",13852
Fortune Telling,1634,B,"bitmasks, math",14858
And Matching,1630,A,"bitmasks, constructive algorithms",13362
Meximum Array,1628,A,"binary search, constructive algorithms, greedy, implementation, math, two pointers",14572
Not Assigning,1627,C,"constructive algorithms, dfs and similar, number theory, trees",13324
Not Sitting,1627,B,"games, greedy, sortings",15745
Palindromes Coloring,1624,D,"binary search, greedy, sortings, strings",15200
Integers Shop,1621,B,"data structures, greedy, implementation",12481
Array and Operations,1618,D,"dp, greedy, math",17171
Paprika and Permutation,1617,C,"binary search, greedy, math, sortings",13800
Representative Edges,1616,C,"brute force, geometry, implementation, math",11418
And It's Non-Zero,1615,B,"bitmasks, greedy, math",14350
Divan and bitwise operations,1614,C,"bitmasks, combinatorics, constructive algorithms, dp, math",9419
Chat Ban,1612,C,"binary search, math",14455
Weights Assignment For Tree Edges,1611,D,"constructive algorithms, trees",8962
Complex Market Analysis,1609,C,"binary search, dp, implementation, number theory, schedules, two pointers",9145
Blue-Red Permutation,1607,D,"greedy, math, sortings",15533
Banknotes,1606,C,"greedy, number theory",13071
Dominant Character,1605,C,"brute force, greedy, implementation, strings",15314
Di-visible Confusion,1603,A,"constructive algorithms, math, number theory",15480
Array Elimination,1601,A,"bitmasks, greedy, math, number theory",12140
Robot Factory,1600,J,"bitmasks, dfs and similar",3605
Rubik's Cube Coloring (easy version),1594,E1,"combinatorics, math",10493
Minimize Distance,1585,C,greedy,11012
Productive Meeting,1579,D,"constructive algorithms, graphs, greedy",14386
Ticks,1579,C,"greedy, implementation",9814
Jeopardy of Dropped Balls,1575,J,"binary search, brute force, dsu, implementation",3403
Slay the Dragon,1574,C,"binary search, greedy, sortings, ternary search",15712
Swaps,1573,B,"greedy, math, sortings",13550
Epic Novel,1571,B,"*special, math",629
Jury Meeting,1569,C,"combinatorics, math",11013
Rings,1562,C,"constructive algorithms, math",12409
Deep Down Below,1561,C,"binary search, greedy, sortings",12740
Make a Power of Two,1560,D,"greedy, math, strings",16937
Mocha and Diana (Easy Version),1559,D1,"brute force, constructive algorithms, dsu, graphs, greedy, trees",12647
Charmed by the Game,1558,A,"brute force, math",10763
Take Your Places!,1556,B,implementation,12174
