Handle,Max Rating_x,Result,Solved Problems,Problem Count
r1atsa1a,1595.0,Yes,"{(1872, 'E'), (1869, 'C'), (1867, 'C'), (1863, 'D')}",4
__Lonny,1649.0,Yes,"{(1851, 'E'), (1833, 'D'), (1846, 'E1'), (1857, 'D'), (1873, 'G'), (1821, 'C'), (1869, 'C'), (1823, 'C'), (1867, 'C'), (1873, 'F'), (1845, 'C'), (1825, 'C'), (1490, 'E'), (1490, 'F'), (1816, 'C'), (1818, 'C'), (1866, 'B'), (1844, 'C'), (1831, 'C'), (1857, 'E'), (1863, 'D'), (1872, 'E'), (1462, 'E1'), (1850, 'G'), (1842, 'C'), (1462, 'D'), (1879, 'C'), (1850, 'F'), (1870, 'C'), (1851, 'D'), (1855, 'C1'), (1840, 'D'), (1862, 'D'), (1804, 'C'), (1741, 'D'), (1844, 'D'), (1858, 'B')}",37
.utk.,1654.0,Yes,"{(469, 'B'), (1605, 'C'), (1726, 'C'), (1860, 'C'), (1526, 'C1'), (687, 'A'), (858, 'B'), (1838, 'C'), (1466, 'C'), (1573, 'B'), (975, 'C'), (1809, 'C'), (1443, 'B'), (1498, 'B'), (1470, 'A'), (1679, 'C'), (1722, 'G'), (159, 'D'), (1340, 'A'), (1604, 'C'), (1705, 'C'), (1694, 'C'), (455, 'A'), (1839, 'C'), (1284, 'B'), (1540, 'A'), (1311, 'C'), (954, 'B'), (1139, 'C'), (1328, 'B'), (1484, 'B'), (1788, 'C'), (960, 'B'), (799, 'B'), (1579, 'C'), (1144, 'D'), (1418, 'C'), (1869, 'C'), (485, 'A'), (1167, 'C'), (1183, 'D'), (1556, 'B'), (1794, 'C'), (1263, 'B'), (233, 'B'), (1740, 'D'), (1631, 'C'), (843, 'A'), (1369, 'C'), (1569, 'C'), (719, 'B'), (1463, 'B'), (1201, 'B'), (567, 'B'), (1307, 'C'), (1786, 'B'), (1562, 'C'), (1654, 'C'), (1101, 'E'), (1748, 'B'), (1546, 'C'), (797, 'B'), (1180, 'B'), (1560, 'D'), (1733, 'C'), (1454, 'D'), (1638, 'C'), (1627, 'C'), (1682, 'C'), (1616, 'C'), (1559, 'D1'), (293, 'A'), (1490, 'E'), (570, 'B'), (1459, 'B'), (546, 'C'), (1690, 'E'), (1292, 'A'), (1659, 'B'), (977, 'E'), (1131, 'B'), (1487, 'D'), (1733, 'D1'), (1669, 'H'), (1499, 'C'), (295, 'A'), (1644, 'C'), (1516, 'B'), (1250, 'A'), (1831, 'C'), (1659, 'C'), (1263, 'C'), (1579, 'D'), (1476, 'B'), (1621, 'B'), (1555, 'B'), (1594, 'E1'), (1278, 'B'), (1409, 'D'), (1606, 'C'), (893, 'C'), (1421, 'C'), (844, 'B'), (1555, 'C'), (604, 'B'), (1862, 'D'), (1214, 'A'), (1740, 'C'), (1736, 'C1'), (1795, 'C'), (977, 'D'), (1425, 'A'), (1600, 'J'), (1561, 'B'), (650, 'A'), (1548, 'A'), (1691, 'C'), (1603, 'A'), (1867, 'C'), (1433, 'E'), (1561, 'C'), (1096, 'B'), (1706, 'C'), (1446, 'A'), (1837, 'D'), (1574, 'C'), (1629, 'C'), (1719, 'C'), (1615, 'B'), (1864, 'C'), (475, 'B'), (1468, 'C'), (1534, 'C'), (1602, 'C'), (1703, 'F'), (1283, 'C'), (1789, 'C'), (1379, 'B'), (1538, 'C'), (1721, 'C'), (1591, 'C'), (1607, 'D'), (1870, 'C'), (1291, 'B'), (1804, 'C'), (1741, 'D'), (492, 'C'), (1263, 'D'), (1370, 'C'), (509, 'B'), (485, 'B')}",151
Petercc,1743.0,Yes,"{(1800, 'E1'), (1851, 'E'), (1517, 'C'), (1352, 'F'), (1846, 'E1'), (1857, 'D'), (1873, 'G'), (1579, 'C'), (1821, 'C'), (1603, 'A'), (1605, 'C'), (1869, 'C'), (1845, 'C'), (1867, 'C'), (1873, 'F'), (1829, 'F'), (1860, 'C'), (1847, 'C'), (1807, 'E'), (1814, 'C'), (1609, 'C'), (1805, 'C'), (670, 'D1'), (570, 'B'), (702, 'B'), (1837, 'D'), (330, 'B'), (1739, 'C'), (1400, 'C'), (1446, 'A'), (1325, 'C'), (1800, 'E2'), (1816, 'C'), (1838, 'C'), (1811, 'E'), (1270, 'C'), (1602, 'C'), (1844, 'C'), (1831, 'C'), (1791, 'F'), (1857, 'E'), (1760, 'F'), (1872, 'E'), (1579, 'D'), (268, 'C'), (1453, 'B'), (1676, 'G'), (1850, 'G'), (1594, 'E1'), (1742, 'G'), (1772, 'D'), (1591, 'C'), (1607, 'D'), (1850, 'F'), (1606, 'C'), (478, 'B'), (1604, 'C'), (1540, 'A'), (1851, 'D'), (1676, 'F'), (1839, 'C'), (1826, 'C'), (1628, 'A'), (1855, 'C1'), (604, 'B'), (1840, 'D'), (1862, 'D'), (1611, 'D'), (1487, 'C'), (1368, 'C'), (1844, 'D'), (1627, 'B'), (1858, 'B'), (1810, 'C'), (1471, 'C')}",75
pawanrawat,1678.0,Yes,"{(1242, 'A'), (1768, 'C'), (1754, 'C2'), (628, 'C'), (1851, 'E'), (1517, 'C'), (1447, 'C'), (1186, 'D'), (1821, 'C'), (1143, 'C'), (1605, 'C'), (1515, 'C'), (1660, 'C'), (1649, 'C'), (1249, 'C1'), (777, 'B'), (1475, 'C'), (1081, 'C'), (1519, 'C'), (1609, 'C'), (1526, 'C1'), (962, 'C'), (1650, 'D'), (1538, 'F'), (486, 'B'), (1003, 'B'), (1717, 'C'), (1728, 'C'), (1466, 'C'), (1270, 'C'), (1573, 'B'), (528, 'A'), (1415, 'C'), (1043, 'C'), (1492, 'C'), (937, 'B'), (1857, 'E'), (1010, 'A'), (858, 'C'), (675, 'B'), (1130, 'C'), (1536, 'C'), (413, 'B'), (197, 'B'), (1506, 'D'), (1178, 'D'), (1679, 'C'), (1722, 'G'), (1772, 'D'), (1340, 'A'), (159, 'D'), (1549, 'C'), (994, 'B'), (1604, 'C'), (1694, 'C'), (1311, 'C'), (83, 'A'), (1839, 'C'), (1826, 'C'), (1284, 'B'), (1711, 'B'), (1443, 'C'), (1540, 'A'), (455, 'A'), (450, 'B'), (1526, 'B'), (1696, 'C'), (1272, 'D'), (1844, 'D'), (679, 'A'), (1407, 'B'), (1858, 'B'), (1271, 'C'), (1711, 'C'), (1139, 'C'), (1788, 'C'), (1194, 'C'), (1101, 'B'), (1154, 'C'), (960, 'B'), (1422, 'B'), (1534, 'C'), (1846, 'E1'), (548, 'B'), (1857, 'D'), (1579, 'C'), (1144, 'D'), (1169, 'B'), (1421, 'C'), (1355, 'D'), (1101, 'C'), (1167, 'C'), (1068, 'A'), (1765, 'N'), (1765, 'K'), (762, 'A'), (1794, 'C'), (282, 'C'), (1105, 'C'), (1263, 'B'), (962, 'A'), (1553, 'D'), (816, 'B'), (1792, 'C'), (1631, 'C'), (1106, 'D'), (843, 'A'), (1380, 'C'), (1038, 'C'), (1569, 'C'), (1397, 'B'), (1701, 'C'), (1791, 'F'), (1294, 'C'), (1201, 'B'), (1515, 'D'), (1676, 'G'), (1374, 'D'), (1771, 'B'), (1758, 'C'), (1091, 'C'), (1080, 'C'), (1851, 'D'), (1775, 'B'), (1201, 'C'), (1742, 'F'), (1282, 'B1'), (1152, 'B'), (1401, 'C'), (1562, 'C'), (1095, 'C'), (1754, 'C1'), (1547, 'D'), (1654, 'C'), (1203, 'C'), (580, 'C'), (1627, 'B'), (1790, 'E'), (1097, 'C'), (1546, 'C'), (1614, 'C'), (1535, 'C'), (742, 'B'), (991, 'C'), (1552, 'B'), (1114, 'B'), (1733, 'C'), (1638, 'C'), (1627, 'C'), (1682, 'C'), (1102, 'D'), (1675, 'E'), (1365, 'C'), (1676, 'H1'), (876, 'B'), (1807, 'E'), (1559, 'D1'), (1697, 'C'), (1325, 'C'), (1690, 'E'), (1292, 'A'), (1131, 'B'), (977, 'E'), (508, 'B'), (1249, 'C2'), (1487, 'D'), (1733, 'D1'), (982, 'C'), (1499, 'C'), (1316, 'B'), (821, 'C'), (1644, 'C'), (1141, 'D'), (1516, 'B'), (1844, 'C'), (1831, 'C'), (550, 'A'), (625, 'C'), (1659, 'C'), (270, 'B'), (1579, 'D'), (415, 'B'), (1542, 'B'), (1621, 'B'), (1850, 'G'), (1594, 'E1'), (1646, 'C'), (1278, 'B'), (1617, 'C'), (1606, 'C'), (1520, 'E'), (1106, 'B'), (1203, 'E'), (1634, 'B'), (1238, 'B'), (1093, 'C'), (1855, 'C1'), (1322, 'A'), (604, 'B'), (1066, 'B'), (855, 'B'), (1427, 'B'), (1382, 'C1'), (804, 'B'), (276, 'B'), (1611, 'D'), (1051, 'C'), (1426, 'D'), (1133, 'D'), (1157, 'C1'), (1352, 'F'), (1600, 'J'), (1046, 'F'), (1372, 'C'), (1178, 'B'), (817, 'B'), (670, 'C'), (749, 'C'), (987, 'C'), (1266, 'C'), (1521, 'B'), (1624, 'D'), (887, 'B'), (264, 'B'), (1174, 'C'), (1548, 'A'), (1691, 'C'), (1612, 'C'), (234, 'C'), (1451, 'C'), (1196, 'D1'), (727, 'C'), (1323, 'B'), (1561, 'C'), (489, 'C'), (1279, 'C'), (1189, 'C'), (1096, 'B'), (451, 'B'), (1216, 'D'), (900, 'B'), (1837, 'D'), (955, 'B'), (598, 'B'), (1444, 'A'), (1575, 'J'), (1103, 'A'), (1629, 'C'), (1574, 'C'), (1615, 'B'), (1864, 'C'), (1030, 'C'), (1391, 'C'), (1213, 'D1'), (1440, 'C1'), (1703, 'F'), (1285, 'C'), (1102, 'B'), (1602, 'C'), (891, 'A'), (807, 'B'), (862, 'B'), (957, 'A'), (534, 'B'), (1166, 'C'), (123, 'A'), (1538, 'C'), (1436, 'C'), (1742, 'G'), (1352, 'D'), (1462, 'D'), (1591, 'C'), (1670, 'C'), (1618, 'D'), (1850, 'F'), (1276, 'A'), (1607, 'D'), (1320, 'A'), (1291, 'B'), (1676, 'F'), (230, 'B'), (1009, 'B'), (1551, 'C'), (1513, 'B'), (1330, 'B'), (1183, 'C'), (628, 'B'), (1675, 'D'), (1741, 'D'), (1487, 'C'), (1698, 'C'), (1263, 'D'), (1764, 'C'), (1364, 'B'), (1649, 'B'), (1253, 'B'), (1141, 'C'), (1506, 'E'), (1647, 'C'), (1453, 'B')}",300
PabloChocobarT_T,1600.0,Yes,"{(1833, 'D'), (1857, 'D'), (1873, 'G'), (1579, 'C'), (1733, 'C'), (1746, 'C'), (1869, 'C'), (1845, 'C'), (1867, 'C'), (1873, 'F'), (1829, 'F'), (1706, 'C'), (1753, 'A2'), (1659, 'B'), (1728, 'C'), (1816, 'C'), (1719, 'C'), (1809, 'C'), (1820, 'C'), (1857, 'E'), (1789, 'C'), (1872, 'E'), (1621, 'B'), (1850, 'G'), (1879, 'C'), (1850, 'F'), (1870, 'C'), (1676, 'F'), (1839, 'C'), (1826, 'C'), (1804, 'C'), (1741, 'D'), (1711, 'C')}",33
SiberianKhatru,1626.0,Yes,"{(1800, 'E1'), (1851, 'E'), (1833, 'D'), (1846, 'E1'), (1857, 'D'), (1873, 'G'), (1821, 'C'), (1823, 'C'), (1845, 'C'), (1829, 'F'), (1873, 'F'), (1867, 'C'), (1814, 'C'), (1825, 'C'), (1807, 'E'), (1847, 'C'), (1869, 'C'), (1805, 'C'), (1794, 'C'), (1860, 'C'), (1837, 'D'), (1800, 'E2'), (1816, 'C'), (1838, 'C'), (1818, 'C'), (1864, 'C'), (1811, 'E'), (1866, 'B'), (1809, 'C'), (1820, 'C'), (1831, 'C'), (1844, 'C'), (1857, 'E'), (1789, 'C'), (1863, 'D'), (1872, 'E'), (1850, 'G'), (1842, 'C'), (1879, 'C'), (1850, 'F'), (1870, 'C'), (1851, 'D'), (1839, 'C'), (1826, 'C'), (1855, 'C1'), (1840, 'D'), (1862, 'D'), (1804, 'C'), (1795, 'C'), (1844, 'D'), (1858, 'B'), (1810, 'C')}",52
autoastt,1643.0,Yes,"{(862, 'B'), (1872, 'E'), (1621, 'B'), (1624, 'D'), (1721, 'C'), (1470, 'A'), (1862, 'D'), (755, 'C'), (1873, 'G'), (1879, 'C'), (1869, 'C'), (1864, 'C'), (1867, 'C'), (1870, 'C'), (1617, 'C'), (1860, 'C'), (1706, 'C'), (1873, 'F')}",18
shiworm,1650.0,Yes,"{(1735, 'C'), (1733, 'C'), (1821, 'C'), (1869, 'C'), (1823, 'C'), (1867, 'C'), (1860, 'C'), (1814, 'C'), (1725, 'G'), (1733, 'D1'), (1728, 'C'), (1717, 'C'), (1816, 'C'), (1838, 'C'), (1864, 'C'), (1811, 'E'), (1820, 'C'), (1863, 'D'), (1722, 'G'), (1879, 'C'), (1738, 'C'), (1795, 'C'), (1858, 'B'), (1810, 'C')}",24
wfeng2,1591.0,Yes,"{(1851, 'E'), (1850, 'G'), (1862, 'D'), (1850, 'F'), (1867, 'C'), (1851, 'D'), (1839, 'C')}",7
